E(V)	i(A/cm²)	T(s)
2.84314E+00	-1.80416E-01	0.00000
2.84291E+00	-1.78006E-01	1.00000
2.84240E+00	-1.78116E-01	2.00000
2.84192E+00	-1.77806E-01	3.00000
2.84142E+00	-1.78747E-01	4.00000
2.84090E+00	-1.79436E-01	5.00000
2.84041E+00	-1.79666E-01	6.00000
2.83993E+00	-1.79950E-01	7.00000
2.83941E+00	-1.81589E-01	8.00000
2.83890E+00	-1.83059E-01	9.00000
2.83842E+00	-1.83549E-01	10.00000
2.83792E+00	-1.84860E-01	11.00000
2.83741E+00	-1.86828E-01	12.00000
2.83691E+00	-1.87678E-01	13.00000
2.83643E+00	-1.87962E-01	14.00000
2.83593E+00	-1.89692E-01	15.00000
2.83541E+00	-1.91647E-01	16.00000
2.83492E+00	-1.92299E-01	17.00000
2.83444E+00	-1.93003E-01	18.00000
2.83393E+00	-1.94725E-01	19.00000
2.83342E+00	-1.95947E-01	20.00000
2.83294E+00	-1.96355E-01	21.00000
2.83244E+00	-1.97881E-01	22.00000
2.83192E+00	-1.99576E-01	23.00000
2.83143E+00	-2.00085E-01	24.00000
2.83095E+00	-2.00255E-01	25.00000
2.83044E+00	-2.01663E-01	26.00000
2.82992E+00	-2.02892E-01	27.00000
2.82945E+00	-2.03301E-01	28.00000
2.82896E+00	-2.04140E-01	29.00000
2.82843E+00	-2.05714E-01	30.00000
2.82793E+00	-2.06251E-01	31.00000
2.82745E+00	-2.06430E-01	32.00000
2.82695E+00	-2.07482E-01	33.00000
2.82643E+00	-2.08707E-01	34.00000
2.82595E+00	-2.09084E-01	35.00000
2.82546E+00	-2.09210E-01	36.00000
2.82495E+00	-2.10114E-01	37.00000
2.82444E+00	-2.10718E-01	38.00000
2.82396E+00	-2.10919E-01	39.00000
2.82347E+00	-2.11846E-01	40.00000
2.82295E+00	-2.12951E-01	41.00000
2.82245E+00	-2.12847E-01	42.00000
2.82198E+00	-2.12969E-01	43.00000
2.82147E+00	-2.13805E-01	44.00000
2.82095E+00	-2.14550E-01	45.00000
2.82047E+00	-2.14798E-01	46.00000
2.81998E+00	-2.15098E-01	47.00000
2.81947E+00	-2.15909E-01	48.00000
2.81895E+00	-2.16015E-01	49.00000
2.81848E+00	-2.16202E-01	50.00000
2.81798E+00	-2.17007E-01	51.00000
2.81746E+00	-2.17625E-01	52.00000
2.81697E+00	-2.17300E-01	53.00000
2.81649E+00	-2.17378E-01	54.00000
2.81598E+00	-2.17874E-01	55.00000
2.81546E+00	-2.18089E-01	56.00000
2.81499E+00	-2.18302E-01	57.00000
2.81450E+00	-2.18789E-01	58.00000
2.81398E+00	-2.19396E-01	59.00000
2.81347E+00	-2.19203E-01	60.00000
2.81299E+00	-2.19341E-01	61.00000
2.81249E+00	-2.19751E-01	62.00000
2.81197E+00	-2.19934E-01	63.00000
2.81149E+00	-2.19823E-01	64.00000
2.81100E+00	-2.19847E-01	65.00000
2.81049E+00	-2.19986E-01	66.00000
2.80998E+00	-2.20041E-01	67.00000
2.80950E+00	-2.20106E-01	68.00000
2.80900E+00	-2.20721E-01	69.00000
2.80848E+00	-2.20948E-01	70.00000
2.80799E+00	-2.20584E-01	71.00000
2.80751E+00	-2.20538E-01	72.00000
2.80700E+00	-2.20726E-01	73.00000
2.80648E+00	-2.20774E-01	74.00000
2.80600E+00	-2.20836E-01	75.00000
2.80551E+00	-2.20873E-01	76.00000
2.80500E+00	-2.20906E-01	77.00000
2.80450E+00	-2.20661E-01	78.00000
2.80402E+00	-2.20590E-01	79.00000
2.80352E+00	-2.20893E-01	80.00000
2.80299E+00	-2.20971E-01	81.00000
2.80250E+00	-2.20453E-01	82.00000
2.80203E+00	-2.20306E-01	83.00000
2.80152E+00	-2.20421E-01	84.00000
2.80100E+00	-2.20410E-01	85.00000
2.80051E+00	-2.20444E-01	86.00000
2.80002E+00	-2.20664E-01	87.00000
2.79950E+00	-2.20749E-01	88.00000
2.79901E+00	-2.20180E-01	89.00000
2.79853E+00	-2.20019E-01	90.00000
2.79802E+00	-2.20094E-01	91.00000
2.79750E+00	-2.20065E-01	92.00000
2.79701E+00	-2.19535E-01	93.00000
2.79653E+00	-2.19352E-01	94.00000
2.79602E+00	-2.19177E-01	95.00000
2.79551E+00	-2.19058E-01	96.00000
2.79504E+00	-2.18960E-01	97.00000
2.79454E+00	-2.19088E-01	98.00000
2.79402E+00	-2.19098E-01	99.00000
2.79352E+00	-2.18460E-01	100.00000
2.79304E+00	-2.18251E-01	101.00000
2.79253E+00	-2.18141E-01	102.00000
2.79202E+00	-2.18035E-01	103.00000
2.79154E+00	-2.17712E-01	104.00000
2.79105E+00	-2.17712E-01	105.00000
2.79054E+00	-2.17604E-01	106.00000
2.79003E+00	-2.17287E-01	107.00000
2.78955E+00	-2.17146E-01	108.00000
2.78904E+00	-2.17042E-01	109.00000
2.78852E+00	-2.16960E-01	110.00000
2.78804E+00	-2.16043E-01	111.00000
2.78756E+00	-2.15826E-01	112.00000
2.78705E+00	-2.15604E-01	113.00000
2.78653E+00	-2.15458E-01	114.00000
2.78605E+00	-2.15191E-01	115.00000
2.78556E+00	-2.15245E-01	116.00000
2.78504E+00	-2.15202E-01	117.00000
2.78454E+00	-2.14635E-01	118.00000
2.78406E+00	-2.14431E-01	119.00000
2.78356E+00	-2.14149E-01	120.00000
2.78304E+00	-2.13987E-01	121.00000
2.78256E+00	-2.13229E-01	122.00000
2.78208E+00	-2.13178E-01	123.00000
2.78156E+00	-2.12908E-01	124.00000
2.78105E+00	-2.12608E-01	125.00000
2.78057E+00	-2.12418E-01	126.00000
2.78007E+00	-2.12375E-01	127.00000
2.77955E+00	-2.12297E-01	128.00000
2.77906E+00	-2.11534E-01	129.00000
2.77858E+00	-2.11328E-01	130.00000
2.77807E+00	-2.11070E-01	131.00000
2.77755E+00	-2.10915E-01	132.00000
2.77707E+00	-2.10351E-01	133.00000
2.77658E+00	-2.10147E-01	134.00000
2.77607E+00	-2.10080E-01	135.00000
2.77556E+00	-2.09536E-01	136.00000
2.77509E+00	-2.09318E-01	137.00000
2.77458E+00	-2.09072E-01	138.00000
2.77406E+00	-2.08917E-01	139.00000
2.77357E+00	-2.07886E-01	140.00000
2.77310E+00	-2.07587E-01	141.00000
2.77259E+00	-2.07304E-01	142.00000
2.77207E+00	-2.07110E-01	143.00000
2.77159E+00	-2.06739E-01	144.00000
2.77110E+00	-2.06681E-01	145.00000
2.77058E+00	-2.06661E-01	146.00000
2.77007E+00	-2.05935E-01	147.00000
2.76960E+00	-2.05652E-01	148.00000
2.76909E+00	-2.05299E-01	149.00000
2.76858E+00	-2.05087E-01	150.00000
2.76810E+00	-2.04116E-01	151.00000
2.76761E+00	-2.03827E-01	152.00000
2.76709E+00	-2.03631E-01	153.00000
2.76658E+00	-2.03147E-01	154.00000
2.76611E+00	-2.02651E-01	155.00000
2.76562E+00	-2.02506E-01	156.00000
2.76510E+00	-2.02400E-01	157.00000
2.76461E+00	-2.01439E-01	158.00000
2.76413E+00	-2.01078E-01	159.00000
2.76362E+00	-2.00732E-01	160.00000
2.76311E+00	-2.00496E-01	161.00000
2.76263E+00	-1.99939E-01	162.00000
2.76214E+00	-1.99889E-01	163.00000
2.76162E+00	-1.99824E-01	164.00000
2.76111E+00	-1.99215E-01	165.00000
2.76064E+00	-1.98985E-01	166.00000
2.76013E+00	-1.98765E-01	167.00000
2.75961E+00	-1.98616E-01	168.00000
2.75912E+00	-1.97618E-01	169.00000
2.75864E+00	-1.97361E-01	170.00000
2.75813E+00	-1.96984E-01	171.00000
2.75762E+00	-1.96693E-01	172.00000
2.75714E+00	-1.96263E-01	173.00000
2.75664E+00	-1.96227E-01	174.00000
2.75612E+00	-1.96183E-01	175.00000
2.75563E+00	-1.95356E-01	176.00000
2.75515E+00	-1.95073E-01	177.00000
2.75464E+00	-1.94748E-01	178.00000
2.75412E+00	-1.94546E-01	179.00000
2.75364E+00	-1.93700E-01	180.00000
2.75316E+00	-1.93399E-01	181.00000
2.75264E+00	-1.93279E-01	182.00000
2.75213E+00	-1.92723E-01	183.00000
2.75165E+00	-1.92293E-01	184.00000
2.75115E+00	-1.92107E-01	185.00000
2.75063E+00	-1.91920E-01	186.00000
2.75014E+00	-1.90964E-01	187.00000
2.74966E+00	-1.90633E-01	188.00000
2.74915E+00	-1.90294E-01	189.00000
2.74864E+00	-1.90070E-01	190.00000
2.74816E+00	-1.89420E-01	191.00000
2.74767E+00	-1.89144E-01	192.00000
2.74715E+00	-1.89052E-01	193.00000
2.74665E+00	-1.88306E-01	194.00000
2.74618E+00	-1.87949E-01	195.00000
2.74567E+00	-1.87726E-01	196.00000
2.74515E+00	-1.87533E-01	197.00000
2.74467E+00	-1.86451E-01	198.00000
2.74418E+00	-1.85979E-01	199.00000
2.74367E+00	-1.85776E-01	200.00000
2.74316E+00	-1.85319E-01	201.00000
2.74268E+00	-1.84878E-01	202.00000
2.74219E+00	-1.84766E-01	203.00000
2.74167E+00	-1.84651E-01	204.00000
2.74117E+00	-1.83701E-01	205.00000
2.74069E+00	-1.83472E-01	206.00000
2.74018E+00	-1.83121E-01	207.00000
2.73966E+00	-1.82928E-01	208.00000
2.73918E+00	-1.82128E-01	209.00000
2.73869E+00	-1.81889E-01	210.00000
2.73818E+00	-1.81762E-01	211.00000
2.73767E+00	-1.81216E-01	212.00000
2.73720E+00	-1.80790E-01	213.00000
2.73670E+00	-1.80636E-01	214.00000
2.73618E+00	-1.80461E-01	215.00000
2.73569E+00	-1.79347E-01	216.00000
2.73521E+00	-1.78937E-01	217.00000
2.73469E+00	-1.78607E-01	218.00000
2.73418E+00	-1.78296E-01	219.00000
2.73370E+00	-1.77689E-01	220.00000
2.73321E+00	-1.77460E-01	221.00000
2.73269E+00	-1.77384E-01	222.00000
2.73219E+00	-1.76567E-01	223.00000
2.73172E+00	-1.76174E-01	224.00000
2.73121E+00	-1.75924E-01	225.00000
2.73069E+00	-1.75709E-01	226.00000
2.73020E+00	-1.74665E-01	227.00000
2.72973E+00	-1.74322E-01	228.00000
2.72921E+00	-1.74081E-01	229.00000
2.72870E+00	-1.73694E-01	230.00000
2.72822E+00	-1.73267E-01	231.00000
2.72773E+00	-1.73017E-01	232.00000
2.72721E+00	-1.72880E-01	233.00000
2.72671E+00	-1.71857E-01	234.00000
2.72624E+00	-1.71496E-01	235.00000
2.72573E+00	-1.71149E-01	236.00000
2.72521E+00	-1.70913E-01	237.00000
2.72473E+00	-1.70103E-01	238.00000
2.72424E+00	-1.69781E-01	239.00000
2.72372E+00	-1.69674E-01	240.00000
2.72322E+00	-1.69001E-01	241.00000
2.72275E+00	-1.68617E-01	242.00000
2.72225E+00	-1.68442E-01	243.00000
2.72172E+00	-1.68256E-01	244.00000
2.72123E+00	-1.67243E-01	245.00000
2.72074E+00	-1.66905E-01	246.00000
2.72023E+00	-1.66557E-01	247.00000
2.71972E+00	-1.66205E-01	248.00000
2.71924E+00	-1.65621E-01	249.00000
2.71875E+00	-1.65401E-01	250.00000
2.71823E+00	-1.65328E-01	251.00000
2.71774E+00	-1.64468E-01	252.00000
2.71726E+00	-1.64105E-01	253.00000
2.71675E+00	-1.63728E-01	254.00000
2.71623E+00	-1.63481E-01	255.00000
2.71574E+00	-1.62453E-01	256.00000
2.71526E+00	-1.62079E-01	257.00000
2.71475E+00	-1.61933E-01	258.00000
2.71424E+00	-1.61477E-01	259.00000
2.71376E+00	-1.61055E-01	260.00000
2.71326E+00	-1.60847E-01	261.00000
2.71274E+00	-1.60706E-01	262.00000
2.71225E+00	-1.59668E-01	263.00000
2.71177E+00	-1.59352E-01	264.00000
2.71126E+00	-1.58953E-01	265.00000
2.71074E+00	-1.58715E-01	266.00000
2.71026E+00	-1.57983E-01	267.00000
2.70977E+00	-1.57688E-01	268.00000
2.70926E+00	-1.57590E-01	269.00000
2.70876E+00	-1.56933E-01	270.00000
2.70828E+00	-1.56406E-01	271.00000
2.70778E+00	-1.56099E-01	272.00000
2.70726E+00	-1.55879E-01	273.00000
2.70677E+00	-1.54757E-01	274.00000
2.70629E+00	-1.54462E-01	275.00000
2.70578E+00	-1.54159E-01	276.00000
2.70526E+00	-1.53868E-01	277.00000
2.70478E+00	-1.53446E-01	278.00000
2.70429E+00	-1.53278E-01	279.00000
2.70377E+00	-1.53209E-01	280.00000
2.70327E+00	-1.52312E-01	281.00000
2.70280E+00	-1.51957E-01	282.00000
2.70229E+00	-1.51626E-01	283.00000
2.70177E+00	-1.51398E-01	284.00000
2.70128E+00	-1.50478E-01	285.00000
2.70080E+00	-1.50116E-01	286.00000
2.70028E+00	-1.49995E-01	287.00000
2.69978E+00	-1.49457E-01	288.00000
2.69931E+00	-1.49050E-01	289.00000
2.69880E+00	-1.48900E-01	290.00000
2.69828E+00	-1.48722E-01	291.00000
2.69779E+00	-1.48556E-01	292.00000
2.69728E+00	-1.47985E-01	293.00000
2.69675E+00	-1.47739E-01	294.00000
2.69626E+00	-1.46408E-01	295.00000
2.69578E+00	-1.45953E-01	296.00000
2.69527E+00	-1.45723E-01	297.00000
2.69476E+00	-1.45403E-01	298.00000
2.69429E+00	-1.44967E-01	299.00000
2.69379E+00	-1.44736E-01	300.00000
2.69326E+00	-1.44660E-01	301.00000
2.69277E+00	-1.43731E-01	302.00000
2.69229E+00	-1.43494E-01	303.00000
2.69178E+00	-1.43093E-01	304.00000
2.69126E+00	-1.42880E-01	305.00000
2.69078E+00	-1.41949E-01	306.00000
2.69030E+00	-1.41610E-01	307.00000
2.68978E+00	-1.41491E-01	308.00000
2.68928E+00	-1.40991E-01	309.00000
2.68881E+00	-1.40608E-01	310.00000
2.68831E+00	-1.40304E-01	311.00000
2.68779E+00	-1.40085E-01	312.00000
2.68730E+00	-1.38946E-01	313.00000
2.68682E+00	-1.38717E-01	314.00000
2.68631E+00	-1.38362E-01	315.00000
2.68579E+00	-1.38167E-01	316.00000
2.68532E+00	-1.37663E-01	317.00000
2.68483E+00	-1.37584E-01	318.00000
2.68431E+00	-1.37550E-01	319.00000
2.68381E+00	-1.36835E-01	320.00000
2.68334E+00	-1.36503E-01	321.00000
2.68283E+00	-1.36282E-01	322.00000
2.68230E+00	-1.36097E-01	323.00000
2.68181E+00	-1.35084E-01	324.00000
2.68134E+00	-1.34754E-01	325.00000
2.68083E+00	-1.34496E-01	326.00000
2.68031E+00	-1.34182E-01	327.00000
2.67983E+00	-1.33841E-01	328.00000
2.67934E+00	-1.33687E-01	329.00000
2.67882E+00	-1.33568E-01	330.00000
2.67832E+00	-1.32705E-01	331.00000
2.67785E+00	-1.32547E-01	332.00000
2.67733E+00	-1.32192E-01	333.00000
2.67681E+00	-1.32021E-01	334.00000
2.67632E+00	-1.31260E-01	335.00000
2.67584E+00	-1.31070E-01	336.00000
2.67533E+00	-1.30922E-01	337.00000
2.67483E+00	-1.30353E-01	338.00000
2.67435E+00	-1.30090E-01	339.00000
2.67385E+00	-1.29960E-01	340.00000
2.67332E+00	-1.29829E-01	341.00000
2.67283E+00	-1.28953E-01	342.00000
2.67236E+00	-1.28742E-01	343.00000
2.67184E+00	-1.28293E-01	344.00000
2.67132E+00	-1.28073E-01	345.00000
2.67085E+00	-1.27585E-01	346.00000
2.67036E+00	-1.27502E-01	347.00000
2.66984E+00	-1.27475E-01	348.00000
2.66934E+00	-1.26741E-01	349.00000
2.66887E+00	-1.26405E-01	350.00000
2.66837E+00	-1.26097E-01	351.00000
2.66784E+00	-1.25883E-01	352.00000
2.66736E+00	-1.25036E-01	353.00000
2.66688E+00	-1.24958E-01	354.00000
2.66636E+00	-1.24691E-01	355.00000
2.66584E+00	-1.24356E-01	356.00000
2.66537E+00	-1.24088E-01	357.00000
2.66487E+00	-1.23980E-01	358.00000
2.66435E+00	-1.23854E-01	359.00000
2.66386E+00	-1.22914E-01	360.00000
2.66339E+00	-1.22721E-01	361.00000
2.66287E+00	-1.22411E-01	362.00000
2.66236E+00	-1.22243E-01	363.00000
2.66187E+00	-1.21686E-01	364.00000
2.66139E+00	-1.21608E-01	365.00000
2.66087E+00	-1.21503E-01	366.00000
2.66037E+00	-1.21043E-01	367.00000
2.65989E+00	-1.20855E-01	368.00000
2.65939E+00	-1.20653E-01	369.00000
2.65887E+00	-1.20524E-01	370.00000
2.65838E+00	-1.19581E-01	371.00000
2.65790E+00	-1.19420E-01	372.00000
2.65739E+00	-1.19065E-01	373.00000
2.65687E+00	-1.18892E-01	374.00000
2.65639E+00	-1.18606E-01	375.00000
2.65590E+00	-1.18587E-01	376.00000
2.65538E+00	-1.18539E-01	377.00000
2.65488E+00	-1.17770E-01	378.00000
2.65441E+00	-1.17553E-01	379.00000
2.65390E+00	-1.17276E-01	380.00000
2.65338E+00	-1.17111E-01	381.00000
2.65289E+00	-1.16399E-01	382.00000
2.65240E+00	-1.16364E-01	383.00000
2.65189E+00	-1.16115E-01	384.00000
2.65139E+00	-1.15792E-01	385.00000
2.65091E+00	-1.15601E-01	386.00000
2.65042E+00	-1.15485E-01	387.00000
2.64990E+00	-1.15383E-01	388.00000
2.64940E+00	-1.14595E-01	389.00000
2.64893E+00	-1.14438E-01	390.00000
2.64842E+00	-1.14220E-01	391.00000
2.64790E+00	-1.14095E-01	392.00000
2.64742E+00	-1.13699E-01	393.00000
2.64693E+00	-1.13658E-01	394.00000
2.64641E+00	-1.13577E-01	395.00000
2.64591E+00	-1.12977E-01	396.00000
2.64543E+00	-1.12749E-01	397.00000
2.64493E+00	-1.12447E-01	398.00000
2.64441E+00	-1.12270E-01	399.00000
2.64392E+00	-1.11456E-01	400.00000
2.64344E+00	-1.11403E-01	401.00000
2.64293E+00	-1.11114E-01	402.00000
2.64241E+00	-1.10985E-01	403.00000
2.64193E+00	-1.10846E-01	404.00000
2.64144E+00	-1.10829E-01	405.00000
2.64092E+00	-1.10777E-01	406.00000
2.64042E+00	-1.10080E-01	407.00000
2.63994E+00	-1.09888E-01	408.00000
2.63944E+00	-1.09616E-01	409.00000
2.63892E+00	-1.09462E-01	410.00000
2.63843E+00	-1.08870E-01	411.00000
2.63795E+00	-1.08867E-01	412.00000
2.63743E+00	-1.08669E-01	413.00000
2.63692E+00	-1.08294E-01	414.00000
2.63645E+00	-1.08103E-01	415.00000
2.63595E+00	-1.08046E-01	416.00000
2.63543E+00	-1.07963E-01	417.00000
2.63493E+00	-1.07207E-01	418.00000
2.63446E+00	-1.07029E-01	419.00000
2.63395E+00	-1.06757E-01	420.00000
2.63343E+00	-1.06607E-01	421.00000
2.63295E+00	-1.06315E-01	422.00000
2.63246E+00	-1.06395E-01	423.00000
2.63194E+00	-1.06338E-01	424.00000
2.63143E+00	-1.05778E-01	425.00000
2.63096E+00	-1.05572E-01	426.00000
2.63046E+00	-1.05312E-01	427.00000
2.62994E+00	-1.05156E-01	428.00000
2.62945E+00	-1.04308E-01	429.00000
2.62898E+00	-1.04216E-01	430.00000
