E(V)	i(A/cm²)	T(s)
3.24704E+00	-4.93850E-01	0.00000
3.24679E+00	-4.92056E-01	1.00000
3.24628E+00	-4.95339E-01	2.00000
3.24580E+00	-4.96486E-01	3.00000
3.24530E+00	-5.00468E-01	4.00000
3.24478E+00	-5.06250E-01	5.00000
3.24429E+00	-5.10379E-01	6.00000
3.24381E+00	-5.14530E-01	7.00000
3.24330E+00	-5.21164E-01	8.00000
3.24279E+00	-5.28004E-01	9.00000
3.24231E+00	-5.32506E-01	10.00000
3.24181E+00	-5.38504E-01	11.00000
3.24130E+00	-5.46371E-01	12.00000
3.24080E+00	-5.52825E-01	13.00000
3.24032E+00	-5.57844E-01	14.00000
3.23982E+00	-5.64802E-01	15.00000
3.23930E+00	-5.73141E-01	16.00000
3.23882E+00	-5.78864E-01	17.00000
3.23833E+00	-5.84573E-01	18.00000
3.23781E+00	-5.92734E-01	19.00000
3.23731E+00	-5.99784E-01	20.00000
3.23684E+00	-6.04635E-01	21.00000
3.23634E+00	-6.11774E-01	22.00000
3.23581E+00	-6.20366E-01	23.00000
3.23531E+00	-6.26984E-01	24.00000
3.23484E+00	-6.32268E-01	25.00000
3.23433E+00	-6.39500E-01	26.00000
3.23382E+00	-6.46954E-01	27.00000
3.23334E+00	-6.51912E-01	28.00000
3.23284E+00	-6.57802E-01	29.00000
3.23232E+00	-6.65610E-01	30.00000
3.23183E+00	-6.71927E-01	31.00000
3.23136E+00	-6.76402E-01	32.00000
3.23085E+00	-6.83125E-01	33.00000
3.23033E+00	-6.90927E-01	34.00000
3.22984E+00	-6.96470E-01	35.00000
3.22936E+00	-7.01109E-01	36.00000
3.22885E+00	-7.08079E-01	37.00000
3.22833E+00	-7.15118E-01	38.00000
3.22786E+00	-7.19478E-01	39.00000
3.22736E+00	-7.25201E-01	40.00000
3.22684E+00	-7.32183E-01	41.00000
3.22635E+00	-7.37469E-01	42.00000
3.22588E+00	-7.41552E-01	43.00000
3.22537E+00	-7.47694E-01	44.00000
3.22485E+00	-7.54709E-01	45.00000
3.22437E+00	-7.59363E-01	46.00000
3.22389E+00	-7.63805E-01	47.00000
3.22337E+00	-7.70480E-01	48.00000
3.22286E+00	-7.76808E-01	49.00000
3.22238E+00	-7.80720E-01	50.00000
3.22188E+00	-7.86298E-01	51.00000
3.22136E+00	-7.93112E-01	52.00000
3.22087E+00	-7.97517E-01	53.00000
3.22039E+00	-8.01227E-01	54.00000
3.21987E+00	-8.07528E-01	55.00000
3.21936E+00	-8.13869E-01	56.00000
3.21888E+00	-8.17553E-01	57.00000
3.21839E+00	-8.21991E-01	58.00000
3.21787E+00	-8.28339E-01	59.00000
3.21737E+00	-8.33610E-01	60.00000
3.21690E+00	-8.37101E-01	61.00000
3.21639E+00	-8.42650E-01	62.00000
3.21587E+00	-8.49025E-01	63.00000
3.21539E+00	-8.53027E-01	64.00000
3.21490E+00	-8.57016E-01	65.00000
3.21439E+00	-8.62671E-01	66.00000
3.21389E+00	-8.67946E-01	67.00000
3.21341E+00	-8.71630E-01	68.00000
3.21291E+00	-8.76681E-01	69.00000
3.21239E+00	-8.82670E-01	70.00000
3.21190E+00	-8.86955E-01	71.00000
3.21143E+00	-8.90163E-01	72.00000
3.21092E+00	-8.95912E-01	73.00000
3.21040E+00	-9.02413E-01	74.00000
3.20992E+00	-9.05949E-01	75.00000
3.20944E+00	-9.10003E-01	76.00000
3.20892E+00	-9.16469E-01	77.00000
3.20841E+00	-9.21985E-01	78.00000
3.20794E+00	-9.25106E-01	79.00000
3.20744E+00	-9.30381E-01	80.00000
3.20691E+00	-9.37402E-01	81.00000
3.20642E+00	-9.41757E-01	82.00000
3.20594E+00	-9.45322E-01	83.00000
3.20543E+00	-9.51590E-01	84.00000
3.20491E+00	-9.57926E-01	85.00000
3.20443E+00	-9.61712E-01	86.00000
3.20395E+00	-9.66028E-01	87.00000
3.20344E+00	-9.72391E-01	88.00000
3.20294E+00	-9.78048E-01	89.00000
3.20246E+00	-9.81872E-01	90.00000
3.20195E+00	-9.87818E-01	91.00000
3.20143E+00	-9.94501E-01	92.00000
3.20095E+00	-9.98795E-01	93.00000
3.20047E+00	-1.00342E+00	94.00000
3.19994E+00	-1.01043E+00	95.00000
3.19944E+00	-1.01675E+00	96.00000
3.19896E+00	-1.02081E+00	97.00000
3.19846E+00	-1.02681E+00	98.00000
3.19794E+00	-1.03387E+00	99.00000
3.19746E+00	-1.03893E+00	100.00000
3.19698E+00	-1.04360E+00	101.00000
3.19647E+00	-1.05067E+00	102.00000
3.19595E+00	-1.05793E+00	103.00000
3.19546E+00	-1.06285E+00	104.00000
3.19498E+00	-1.06830E+00	105.00000
3.19446E+00	-1.07566E+00	106.00000
3.19396E+00	-1.08194E+00	107.00000
3.19349E+00	-1.08633E+00	108.00000
3.19299E+00	-1.09330E+00	109.00000
3.19246E+00	-1.10128E+00	110.00000
3.19197E+00	-1.10694E+00	111.00000
3.19149E+00	-1.11260E+00	112.00000
3.19097E+00	-1.12053E+00	113.00000
3.19046E+00	-1.12838E+00	114.00000
3.18998E+00	-1.13379E+00	115.00000
3.18950E+00	-1.14001E+00	116.00000
3.18898E+00	-1.14808E+00	117.00000
3.18849E+00	-1.15487E+00	118.00000
3.18801E+00	-1.16038E+00	119.00000
3.18750E+00	-1.16853E+00	120.00000
3.18698E+00	-1.17687E+00	121.00000
3.18650E+00	-1.18301E+00	122.00000
3.18601E+00	-1.18958E+00	123.00000
3.18549E+00	-1.19827E+00	124.00000
3.18498E+00	-1.20624E+00	125.00000
3.18452E+00	-1.21168E+00	126.00000
3.18402E+00	-1.21926E+00	127.00000
