E(V)	i(A/cm²)	T(s)
2.99897E+00	-2.77475E-01	0.00000
2.99873E+00	-2.75701E-01	1.00000
2.99822E+00	-2.77961E-01	2.00000
2.99774E+00	-2.78123E-01	3.00000
2.99724E+00	-2.80475E-01	4.00000
2.99672E+00	-2.83962E-01	5.00000
2.99623E+00	-2.85611E-01	6.00000
2.99575E+00	-2.87327E-01	7.00000
2.99523E+00	-2.91160E-01	8.00000
2.99472E+00	-2.94847E-01	9.00000
2.99424E+00	-2.96631E-01	10.00000
2.99375E+00	-2.99480E-01	11.00000
2.99323E+00	-3.03451E-01	12.00000
2.99273E+00	-3.06137E-01	13.00000
2.99226E+00	-3.07704E-01	14.00000
2.99175E+00	-3.11196E-01	15.00000
2.99123E+00	-3.15281E-01	16.00000
2.99075E+00	-3.17179E-01	17.00000
2.99026E+00	-3.19283E-01	18.00000
2.98975E+00	-3.23116E-01	19.00000
2.98924E+00	-3.26406E-01	20.00000
2.98876E+00	-3.27964E-01	21.00000
2.98826E+00	-3.30993E-01	22.00000
2.98774E+00	-3.34739E-01	23.00000
2.98725E+00	-3.36524E-01	24.00000
2.98677E+00	-3.37741E-01	25.00000
2.98626E+00	-3.41037E-01	26.00000
2.98575E+00	-3.44279E-01	27.00000
2.98527E+00	-3.45375E-01	28.00000
2.98478E+00	-3.47374E-01	29.00000
2.98426E+00	-3.50966E-01	30.00000
2.98375E+00	-3.53322E-01	31.00000
2.98328E+00	-3.54224E-01	32.00000
2.98277E+00	-3.56746E-01	33.00000
2.98225E+00	-3.59799E-01	34.00000
2.98176E+00	-3.60986E-01	35.00000
2.98128E+00	-3.62088E-01	36.00000
2.98077E+00	-3.64645E-01	37.00000
2.98026E+00	-3.66873E-01	38.00000
2.97978E+00	-3.67616E-01	39.00000
2.97929E+00	-3.69563E-01	40.00000
2.97877E+00	-3.72438E-01	41.00000
2.97827E+00	-3.73955E-01	42.00000
2.97780E+00	-3.74461E-01	43.00000
2.97729E+00	-3.76575E-01	44.00000
2.97677E+00	-3.78937E-01	45.00000
2.97629E+00	-3.79724E-01	46.00000
2.97580E+00	-3.80790E-01	47.00000
2.97529E+00	-3.83104E-01	48.00000
2.97478E+00	-3.84603E-01	49.00000
2.97430E+00	-3.85103E-01	50.00000
2.97380E+00	-3.86859E-01	51.00000
2.97328E+00	-3.89047E-01	52.00000
2.97279E+00	-3.89828E-01	53.00000
2.97231E+00	-3.90088E-01	54.00000
2.97180E+00	-3.91741E-01	55.00000
2.97128E+00	-3.93244E-01	56.00000
2.97081E+00	-3.93744E-01	57.00000
2.97032E+00	-3.94752E-01	58.00000
2.96980E+00	-3.96518E-01	59.00000
2.96930E+00	-3.97122E-01	60.00000
2.96882E+00	-3.97323E-01	61.00000
2.96831E+00	-3.98754E-01	62.00000
2.96779E+00	-4.00345E-01	63.00000
2.96731E+00	-4.00875E-01	64.00000
2.96683E+00	-4.01151E-01	65.00000
2.96631E+00	-4.02610E-01	66.00000
2.96580E+00	-4.03581E-01	67.00000
2.96532E+00	-4.03905E-01	68.00000
2.96482E+00	-4.05147E-01	69.00000
2.96430E+00	-4.06724E-01	70.00000
2.96380E+00	-4.06714E-01	71.00000
2.96333E+00	-4.06835E-01	72.00000
2.96282E+00	-4.07864E-01	73.00000
2.96231E+00	-4.08745E-01	74.00000
2.96182E+00	-4.09039E-01	75.00000
2.96134E+00	-4.09479E-01	76.00000
2.96083E+00	-4.10473E-01	77.00000
2.96032E+00	-4.10653E-01	78.00000
2.95985E+00	-4.10805E-01	79.00000
2.95934E+00	-4.12014E-01	80.00000
2.95882E+00	-4.13009E-01	81.00000
2.95833E+00	-4.12726E-01	82.00000
2.95785E+00	-4.12826E-01	83.00000
2.95734E+00	-4.13596E-01	84.00000
2.95682E+00	-4.14073E-01	85.00000
2.95634E+00	-4.14296E-01	86.00000
2.95585E+00	-4.14949E-01	87.00000
2.95533E+00	-4.15726E-01	88.00000
2.95483E+00	-4.15474E-01	89.00000
2.95435E+00	-4.15649E-01	90.00000
2.95385E+00	-4.16335E-01	91.00000
2.95333E+00	-4.16768E-01	92.00000
2.95284E+00	-4.16624E-01	93.00000
2.95236E+00	-4.16721E-01	94.00000
2.95185E+00	-4.17224E-01	95.00000
2.95133E+00	-4.17376E-01	96.00000
2.95086E+00	-4.17594E-01	97.00000
2.95036E+00	-4.18488E-01	98.00000
2.94984E+00	-4.19076E-01	99.00000
2.94935E+00	-4.18603E-01	100.00000
2.94887E+00	-4.18641E-01	101.00000
2.94836E+00	-4.19108E-01	102.00000
2.94784E+00	-4.19276E-01	103.00000
2.94736E+00	-4.19440E-01	104.00000
2.94687E+00	-4.19550E-01	105.00000
2.94636E+00	-4.19694E-01	106.00000
2.94585E+00	-4.19613E-01	107.00000
2.94537E+00	-4.19635E-01	108.00000
2.94487E+00	-4.20246E-01	109.00000
2.94434E+00	-4.20457E-01	110.00000
2.94386E+00	-4.19809E-01	111.00000
2.94338E+00	-4.19663E-01	112.00000
2.94287E+00	-4.19881E-01	113.00000
2.94235E+00	-4.19906E-01	114.00000
2.94188E+00	-4.19986E-01	115.00000
2.94139E+00	-4.20206E-01	116.00000
2.94087E+00	-4.20306E-01	117.00000
2.94036E+00	-4.19989E-01	118.00000
2.93989E+00	-4.19917E-01	119.00000
2.93938E+00	-4.20030E-01	120.00000
2.93886E+00	-4.20044E-01	121.00000
2.93839E+00	-4.19706E-01	122.00000
2.93790E+00	-4.19598E-01	123.00000
2.93738E+00	-4.19451E-01	124.00000
2.93687E+00	-4.19366E-01	125.00000
2.93640E+00	-4.19288E-01	126.00000
2.93590E+00	-4.19712E-01	127.00000
2.93537E+00	-4.19828E-01	128.00000
2.93488E+00	-4.19234E-01	129.00000
2.93440E+00	-4.19074E-01	130.00000
