E(V)	i(A/cm²)	T(s)
2.93063E+00	-2.65484E-01	0.00000
2.93040E+00	-2.60820E-01	1.00000
2.92989E+00	-2.58916E-01	2.00000
2.92941E+00	-2.57190E-01	3.00000
2.92891E+00	-2.56755E-01	4.00000
2.92839E+00	-2.56610E-01	5.00000
2.92790E+00	-2.55946E-01	6.00000
2.92743E+00	-2.55827E-01	7.00000
2.92691E+00	-2.56880E-01	8.00000
2.92639E+00	-2.57837E-01	9.00000
2.92592E+00	-2.58156E-01	10.00000
2.92542E+00	-2.59393E-01	11.00000
2.92490E+00	-2.61719E-01	12.00000
2.92441E+00	-2.62934E-01	13.00000
2.92393E+00	-2.63339E-01	14.00000
2.92342E+00	-2.65525E-01	15.00000
2.92291E+00	-2.68040E-01	16.00000
2.92242E+00	-2.68878E-01	17.00000
2.92194E+00	-2.69761E-01	18.00000
2.92143E+00	-2.72030E-01	19.00000
2.92093E+00	-2.73685E-01	20.00000
2.92046E+00	-2.74237E-01	21.00000
2.91996E+00	-2.76199E-01	22.00000
2.91944E+00	-2.78691E-01	23.00000
2.91895E+00	-2.79550E-01	24.00000
2.91847E+00	-2.79836E-01	25.00000
2.91796E+00	-2.81978E-01	26.00000
2.91744E+00	-2.84143E-01	27.00000
2.91696E+00	-2.84865E-01	28.00000
2.91647E+00	-2.86081E-01	29.00000
2.91595E+00	-2.88439E-01	30.00000
2.91545E+00	-2.89533E-01	31.00000
2.91497E+00	-2.89897E-01	32.00000
2.91447E+00	-2.91690E-01	33.00000
2.91395E+00	-2.93726E-01	34.00000
2.91346E+00	-2.94240E-01	35.00000
2.91298E+00	-2.94412E-01	36.00000
2.91247E+00	-2.96051E-01	37.00000
2.91195E+00	-2.97336E-01	38.00000
2.91148E+00	-2.97764E-01	39.00000
2.91098E+00	-2.98890E-01	40.00000
2.91046E+00	-3.00632E-01	41.00000
2.90997E+00	-3.00921E-01	42.00000
2.90950E+00	-3.01017E-01	43.00000
2.90899E+00	-3.02480E-01	44.00000
2.90847E+00	-3.03923E-01	45.00000
2.90799E+00	-3.04404E-01	46.00000
2.90750E+00	-3.04798E-01	47.00000
2.90698E+00	-3.06336E-01	48.00000
2.90647E+00	-3.06916E-01	49.00000
2.90599E+00	-3.07131E-01	50.00000
2.90549E+00	-3.08566E-01	51.00000
2.90497E+00	-3.09764E-01	52.00000
2.90448E+00	-3.09361E-01	53.00000
2.90401E+00	-3.09457E-01	54.00000
2.90349E+00	-3.10464E-01	55.00000
2.90298E+00	-3.11153E-01	56.00000
2.90250E+00	-3.11397E-01	57.00000
2.90201E+00	-3.11897E-01	58.00000
2.90149E+00	-3.12718E-01	59.00000
2.90099E+00	-3.12578E-01	60.00000
2.90052E+00	-3.12804E-01	61.00000
2.90002E+00	-3.13759E-01	62.00000
2.89949E+00	-3.14525E-01	63.00000
2.89901E+00	-3.14346E-01	64.00000
2.89853E+00	-3.14487E-01	65.00000
2.89802E+00	-3.15035E-01	66.00000
2.89750E+00	-3.15183E-01	67.00000
2.89702E+00	-3.15415E-01	68.00000
2.89653E+00	-3.16218E-01	69.00000
2.89601E+00	-3.16892E-01	70.00000
2.89551E+00	-3.16504E-01	71.00000
2.89504E+00	-3.16599E-01	72.00000
2.89453E+00	-3.17281E-01	73.00000
2.89401E+00	-3.17540E-01	74.00000
2.89353E+00	-3.17538E-01	75.00000
2.89304E+00	-3.17624E-01	76.00000
2.89252E+00	-3.17743E-01	77.00000
2.89201E+00	-3.17727E-01	78.00000
2.89154E+00	-3.17761E-01	79.00000
2.89104E+00	-3.18511E-01	80.00000
2.89051E+00	-3.18772E-01	81.00000
2.89002E+00	-3.18131E-01	82.00000
2.88955E+00	-3.18004E-01	83.00000
2.88904E+00	-3.18351E-01	84.00000
2.88853E+00	-3.18425E-01	85.00000
2.88805E+00	-3.18565E-01	86.00000
2.88755E+00	-3.18828E-01	87.00000
2.88703E+00	-3.18963E-01	88.00000
2.88653E+00	-3.18608E-01	89.00000
2.88606E+00	-3.18534E-01	90.00000
2.88555E+00	-3.18763E-01	91.00000
2.88503E+00	-3.18815E-01	92.00000
2.88455E+00	-3.18293E-01	93.00000
2.88407E+00	-3.18136E-01	94.00000
2.88355E+00	-3.18213E-01	95.00000
2.88304E+00	-3.18186E-01	96.00000
2.88257E+00	-3.18203E-01	97.00000
2.88208E+00	-3.18624E-01	98.00000
2.88155E+00	-3.18770E-01	99.00000
2.88106E+00	-3.17999E-01	100.00000
2.88058E+00	-3.17791E-01	101.00000
2.88007E+00	-3.17924E-01	102.00000
2.87955E+00	-3.17899E-01	103.00000
2.87907E+00	-3.17599E-01	104.00000
2.87858E+00	-3.17491E-01	105.00000
2.87807E+00	-3.17355E-01	106.00000
2.87756E+00	-3.17234E-01	107.00000
2.87709E+00	-3.17149E-01	108.00000
2.87658E+00	-3.17319E-01	109.00000
2.87606E+00	-3.17347E-01	110.00000
2.87557E+00	-3.16490E-01	111.00000
2.87510E+00	-3.16214E-01	112.00000
2.87458E+00	-3.16093E-01	113.00000
2.87407E+00	-3.15961E-01	114.00000
2.87359E+00	-3.15766E-01	115.00000
2.87310E+00	-3.15830E-01	116.00000
2.87258E+00	-3.15787E-01	117.00000
2.87208E+00	-3.15218E-01	118.00000
2.87160E+00	-3.15014E-01	119.00000
2.87109E+00	-3.14945E-01	120.00000
2.87057E+00	-3.14854E-01	121.00000
2.87009E+00	-3.13960E-01	122.00000
2.86961E+00	-3.13745E-01	123.00000
2.86910E+00	-3.13495E-01	124.00000
2.86858E+00	-3.13339E-01	125.00000
2.86811E+00	-3.13204E-01	126.00000
2.86760E+00	-3.13323E-01	127.00000
2.86709E+00	-3.13318E-01	128.00000
2.86659E+00	-3.12513E-01	129.00000
2.86611E+00	-3.12243E-01	130.00000
2.86561E+00	-3.11932E-01	131.00000
2.86509E+00	-3.11739E-01	132.00000
2.86461E+00	-3.10981E-01	133.00000
2.86412E+00	-3.10962E-01	134.00000
2.86360E+00	-3.10703E-01	135.00000
2.86310E+00	-3.10179E-01	136.00000
2.86262E+00	-3.09918E-01	137.00000
2.86212E+00	-3.09849E-01	138.00000
2.86160E+00	-3.09739E-01	139.00000
2.86111E+00	-3.08582E-01	140.00000
2.86064E+00	-3.08293E-01	141.00000
2.86012E+00	-3.07959E-01	142.00000
2.85961E+00	-3.07752E-01	143.00000
2.85913E+00	-3.07257E-01	144.00000
2.85864E+00	-3.07341E-01	145.00000
2.85812E+00	-3.07204E-01	146.00000
2.85762E+00	-3.06487E-01	147.00000
2.85714E+00	-3.06203E-01	148.00000
2.85663E+00	-3.05965E-01	149.00000
2.85612E+00	-3.05791E-01	150.00000
2.85563E+00	-3.04709E-01	151.00000
2.85515E+00	-3.04527E-01	152.00000
2.85463E+00	-3.04122E-01	153.00000
2.85413E+00	-3.03871E-01	154.00000
2.85365E+00	-3.03652E-01	155.00000
2.85315E+00	-3.03619E-01	156.00000
2.85262E+00	-3.03535E-01	157.00000
2.85213E+00	-3.02517E-01	158.00000
2.85165E+00	-3.02206E-01	159.00000
2.85114E+00	-3.01894E-01	160.00000
2.85063E+00	-3.01686E-01	161.00000
2.85015E+00	-3.00933E-01	162.00000
2.84966E+00	-3.00881E-01	163.00000
2.84914E+00	-3.00656E-01	164.00000
2.84864E+00	-3.00054E-01	165.00000
2.84816E+00	-2.99778E-01	166.00000
2.84766E+00	-2.99649E-01	167.00000
2.84713E+00	-2.99514E-01	168.00000
2.84664E+00	-2.98152E-01	169.00000
2.84617E+00	-2.97713E-01	170.00000
2.84566E+00	-2.97266E-01	171.00000
2.84514E+00	-2.96971E-01	172.00000
2.84467E+00	-2.96405E-01	173.00000
2.84417E+00	-2.96328E-01	174.00000
2.84366E+00	-2.96303E-01	175.00000
2.84317E+00	-2.95207E-01	176.00000
2.84270E+00	-2.94853E-01	177.00000
2.84219E+00	-2.94612E-01	178.00000
2.84167E+00	-2.94414E-01	179.00000
2.84119E+00	-2.93457E-01	180.00000
2.84070E+00	-2.93351E-01	181.00000
2.84018E+00	-2.92997E-01	182.00000
2.83968E+00	-2.92592E-01	183.00000
2.83920E+00	-2.92338E-01	184.00000
2.83870E+00	-2.92503E-01	185.00000
2.83817E+00	-2.92473E-01	186.00000
2.83768E+00	-2.91527E-01	187.00000
2.83721E+00	-2.91197E-01	188.00000
2.83670E+00	-2.90848E-01	189.00000
2.83618E+00	-2.90622E-01	190.00000
2.83570E+00	-2.89748E-01	191.00000
2.83521E+00	-2.89588E-01	192.00000
2.83469E+00	-2.89379E-01	193.00000
2.83419E+00	-2.88665E-01	194.00000
2.83372E+00	-2.88357E-01	195.00000
2.83321E+00	-2.88216E-01	196.00000
2.83269E+00	-2.88067E-01	197.00000
2.83220E+00	-2.86847E-01	198.00000
2.83172E+00	-2.86493E-01	199.00000
2.83120E+00	-2.86010E-01	200.00000
2.83069E+00	-2.85731E-01	201.00000
2.83022E+00	-2.85153E-01	202.00000
2.82972E+00	-2.85106E-01	203.00000
