E(V)	i(A/cm²)	T(s)
2.86168E+00	-2.86607E-01	0.00000
2.86146E+00	-2.79873E-01	1.00000
2.86094E+00	-2.76103E-01	2.00000
2.86046E+00	-2.71794E-01	3.00000
2.85996E+00	-2.68490E-01	4.00000
2.85944E+00	-2.67337E-01	5.00000
2.85895E+00	-2.64560E-01	6.00000
2.85847E+00	-2.63284E-01	7.00000
2.85796E+00	-2.62814E-01	8.00000
2.85744E+00	-2.62367E-01	9.00000
2.85696E+00	-2.61461E-01	10.00000
2.85647E+00	-2.61526E-01	11.00000
2.85595E+00	-2.61333E-01	12.00000
2.85545E+00	-2.60768E-01	13.00000
2.85497E+00	-2.60515E-01	14.00000
2.85446E+00	-2.60922E-01	15.00000
2.85394E+00	-2.60973E-01	16.00000
2.85346E+00	-2.60702E-01	17.00000
2.85298E+00	-2.60629E-01	18.00000
2.85247E+00	-2.61058E-01	19.00000
2.85196E+00	-2.61176E-01	20.00000
2.85148E+00	-2.61359E-01	21.00000
2.85098E+00	-2.62109E-01	22.00000
2.85046E+00	-2.62486E-01	23.00000
2.84997E+00	-2.62050E-01	24.00000
2.84950E+00	-2.62030E-01	25.00000
2.84899E+00	-2.62753E-01	26.00000
2.84847E+00	-2.62988E-01	27.00000
2.84799E+00	-2.63307E-01	28.00000
2.84750E+00	-2.63542E-01	29.00000
2.84697E+00	-2.63862E-01	30.00000
2.84647E+00	-2.63704E-01	31.00000
2.84600E+00	-2.63758E-01	32.00000
2.84549E+00	-2.64240E-01	33.00000
2.84497E+00	-2.64418E-01	34.00000
2.84449E+00	-2.63911E-01	35.00000
2.84401E+00	-2.63801E-01	36.00000
2.84350E+00	-2.63959E-01	37.00000
2.84299E+00	-2.63975E-01	38.00000
2.84251E+00	-2.64033E-01	39.00000
2.84201E+00	-2.64554E-01	40.00000
2.84149E+00	-2.64747E-01	41.00000
2.84100E+00	-2.64086E-01	42.00000
2.84053E+00	-2.63930E-01	43.00000
2.84002E+00	-2.64320E-01	44.00000
2.83950E+00	-2.64398E-01	45.00000
2.83902E+00	-2.64231E-01	46.00000
2.83853E+00	-2.64202E-01	47.00000
2.83801E+00	-2.64136E-01	48.00000
2.83750E+00	-2.64093E-01	49.00000
2.83703E+00	-2.64056E-01	50.00000
2.83652E+00	-2.64396E-01	51.00000
2.83600E+00	-2.64498E-01	52.00000
2.83552E+00	-2.63675E-01	53.00000
2.83504E+00	-2.63434E-01	54.00000
2.83453E+00	-2.63475E-01	55.00000
2.83401E+00	-2.63409E-01	56.00000
2.83353E+00	-2.63400E-01	57.00000
2.83304E+00	-2.63438E-01	58.00000
