E(V)	i(A/cm²)	T(s)
2.93200E+00	-2.12761E-01	0.00000
2.93176E+00	-2.11092E-01	1.00000
2.93126E+00	-2.12797E-01	2.00000
2.93077E+00	-2.12809E-01	3.00000
2.93027E+00	-2.14727E-01	4.00000
2.92975E+00	-2.17484E-01	5.00000
2.92926E+00	-2.18658E-01	6.00000
2.92878E+00	-2.19805E-01	7.00000
2.92827E+00	-2.22717E-01	8.00000
2.92775E+00	-2.25530E-01	9.00000
2.92728E+00	-2.26728E-01	10.00000
2.92678E+00	-2.28946E-01	11.00000
2.92626E+00	-2.32209E-01	12.00000
2.92576E+00	-2.34299E-01	13.00000
2.92528E+00	-2.35501E-01	14.00000
2.92477E+00	-2.38287E-01	15.00000
2.92425E+00	-2.41280E-01	16.00000
2.92377E+00	-2.42439E-01	17.00000
2.92329E+00	-2.43941E-01	18.00000
2.92278E+00	-2.46803E-01	19.00000
2.92227E+00	-2.49075E-01	20.00000
2.92180E+00	-2.49833E-01	21.00000
2.92130E+00	-2.51980E-01	22.00000
2.92078E+00	-2.55029E-01	23.00000
2.92029E+00	-2.56533E-01	24.00000
2.91981E+00	-2.57534E-01	25.00000
2.91930E+00	-2.60013E-01	26.00000
2.91878E+00	-2.62422E-01	27.00000
2.91830E+00	-2.63225E-01	28.00000
2.91782E+00	-2.64629E-01	29.00000
2.91730E+00	-2.67210E-01	30.00000
2.91680E+00	-2.68997E-01	31.00000
2.91632E+00	-2.69621E-01	32.00000
2.91581E+00	-2.71703E-01	33.00000
2.91529E+00	-2.73995E-01	34.00000
2.91479E+00	-2.74759E-01	35.00000
2.91431E+00	-2.75301E-01	36.00000
2.91380E+00	-2.77188E-01	37.00000
2.91329E+00	-2.78852E-01	38.00000
2.91282E+00	-2.79407E-01	39.00000
2.91233E+00	-2.80700E-01	40.00000
2.91181E+00	-2.82742E-01	41.00000
2.91130E+00	-2.83734E-01	42.00000
2.91083E+00	-2.84065E-01	43.00000
2.91032E+00	-2.85565E-01	44.00000
2.90980E+00	-2.87136E-01	45.00000
2.90931E+00	-2.87660E-01	46.00000
2.90883E+00	-2.88374E-01	47.00000
2.90832E+00	-2.90062E-01	48.00000
2.90781E+00	-2.90944E-01	49.00000
2.90733E+00	-2.91238E-01	50.00000
2.90683E+00	-2.92598E-01	51.00000
2.90630E+00	-2.94325E-01	52.00000
2.90581E+00	-2.94773E-01	53.00000
2.90533E+00	-2.94922E-01	54.00000
2.90482E+00	-2.96039E-01	55.00000
2.90431E+00	-2.97017E-01	56.00000
2.90383E+00	-2.97343E-01	57.00000
2.90334E+00	-2.98111E-01	58.00000
2.90282E+00	-2.99342E-01	59.00000
2.90232E+00	-2.99598E-01	60.00000
2.90184E+00	-2.99683E-01	61.00000
2.90134E+00	-3.00892E-01	62.00000
2.90082E+00	-3.02148E-01	63.00000
2.90033E+00	-3.02466E-01	64.00000
2.89985E+00	-3.02573E-01	65.00000
2.89934E+00	-3.03456E-01	66.00000
2.89883E+00	-3.03981E-01	67.00000
2.89835E+00	-3.04157E-01	68.00000
2.89785E+00	-3.05126E-01	69.00000
2.89733E+00	-3.06235E-01	70.00000
2.89683E+00	-3.06127E-01	71.00000
2.89636E+00	-3.06234E-01	72.00000
2.89585E+00	-3.07045E-01	73.00000
2.89533E+00	-3.07639E-01	74.00000
2.89485E+00	-3.07838E-01	75.00000
2.89437E+00	-3.08125E-01	76.00000
2.89385E+00	-3.08760E-01	77.00000
2.89335E+00	-3.08714E-01	78.00000
2.89288E+00	-3.08910E-01	79.00000
2.89237E+00	-3.09670E-01	80.00000
2.89185E+00	-3.10321E-01	81.00000
2.89136E+00	-3.10054E-01	82.00000
2.89088E+00	-3.10104E-01	83.00000
2.89037E+00	-3.10659E-01	84.00000
2.88985E+00	-3.10917E-01	85.00000
2.88937E+00	-3.11132E-01	86.00000
2.88888E+00	-3.11622E-01	87.00000
2.88836E+00	-3.12059E-01	88.00000
2.88786E+00	-3.11807E-01	89.00000
2.88739E+00	-3.11868E-01	90.00000
2.88688E+00	-3.12524E-01	91.00000
2.88636E+00	-3.12871E-01	92.00000
2.88587E+00	-3.12706E-01	93.00000
2.88539E+00	-3.12766E-01	94.00000
2.88487E+00	-3.12964E-01	95.00000
2.88436E+00	-3.13045E-01	96.00000
2.88389E+00	-3.13138E-01	97.00000
2.88339E+00	-3.13559E-01	98.00000
2.88287E+00	-3.13730E-01	99.00000
2.88238E+00	-3.13336E-01	100.00000
2.88191E+00	-3.13261E-01	101.00000
2.88139E+00	-3.13558E-01	102.00000
2.88087E+00	-3.13632E-01	103.00000
2.88040E+00	-3.13671E-01	104.00000
2.87991E+00	-3.13709E-01	105.00000
2.87940E+00	-3.13735E-01	106.00000
2.87889E+00	-3.13679E-01	107.00000
2.87841E+00	-3.13669E-01	108.00000
2.87791E+00	-3.13999E-01	109.00000
2.87738E+00	-3.14106E-01	110.00000
2.87689E+00	-3.13632E-01	111.00000
2.87641E+00	-3.13509E-01	112.00000
2.87590E+00	-3.13574E-01	113.00000
2.87539E+00	-3.13555E-01	114.00000
2.87492E+00	-3.13570E-01	115.00000
2.87442E+00	-3.13822E-01	116.00000
2.87390E+00	-3.13911E-01	117.00000
2.87340E+00	-3.13524E-01	118.00000
2.87293E+00	-3.13424E-01	119.00000
2.87242E+00	-3.13618E-01	120.00000
2.87190E+00	-3.13649E-01	121.00000
2.87141E+00	-3.13324E-01	122.00000
2.87093E+00	-3.13227E-01	123.00000
2.87041E+00	-3.13086E-01	124.00000
2.86990E+00	-3.12946E-01	125.00000
2.86943E+00	-3.12853E-01	126.00000
2.86893E+00	-3.12996E-01	127.00000
2.86841E+00	-3.13013E-01	128.00000
2.86791E+00	-3.12542E-01	129.00000
2.86743E+00	-3.12391E-01	130.00000
