E(V)	i(A/cm²)	T(s)
3.24183E+00	-5.11265E-01	0.00000
3.24160E+00	-5.10174E-01	1.00000
3.24109E+00	-5.14633E-01	2.00000
3.24062E+00	-5.17033E-01	3.00000
3.24011E+00	-5.22171E-01	4.00000
3.23959E+00	-5.29214E-01	5.00000
3.23910E+00	-5.34025E-01	6.00000
3.23863E+00	-5.38432E-01	7.00000
3.23811E+00	-5.45890E-01	8.00000
3.23759E+00	-5.53880E-01	9.00000
3.23711E+00	-5.59418E-01	10.00000
3.23662E+00	-5.66135E-01	11.00000
3.23611E+00	-5.74273E-01	12.00000
3.23561E+00	-5.81108E-01	13.00000
3.23513E+00	-5.86884E-01	14.00000
3.23462E+00	-5.94861E-01	15.00000
3.23410E+00	-6.03065E-01	16.00000
3.23362E+00	-6.08949E-01	17.00000
3.23314E+00	-6.15453E-01	18.00000
3.23262E+00	-6.23841E-01	19.00000
3.23211E+00	-6.31353E-01	20.00000
3.23164E+00	-6.36943E-01	21.00000
3.23114E+00	-6.44013E-01	22.00000
3.23062E+00	-6.52289E-01	23.00000
3.23013E+00	-6.59114E-01	24.00000
3.22966E+00	-6.64404E-01	25.00000
3.22915E+00	-6.72078E-01	26.00000
3.22863E+00	-6.80273E-01	27.00000
3.22815E+00	-6.85708E-01	28.00000
3.22766E+00	-6.91948E-01	29.00000
3.22714E+00	-6.99885E-01	30.00000
3.22664E+00	-7.06581E-01	31.00000
3.22617E+00	-7.11345E-01	32.00000
3.22566E+00	-7.18108E-01	33.00000
3.22515E+00	-7.25756E-01	34.00000
3.22466E+00	-7.31160E-01	35.00000
3.22417E+00	-7.36526E-01	36.00000
3.22365E+00	-7.43948E-01	37.00000
3.22314E+00	-7.50983E-01	38.00000
3.22266E+00	-7.55808E-01	39.00000
3.22217E+00	-7.61583E-01	40.00000
3.22166E+00	-7.68445E-01	41.00000
3.22116E+00	-7.74166E-01	42.00000
3.22068E+00	-7.78756E-01	43.00000
3.22017E+00	-7.84979E-01	44.00000
3.21966E+00	-7.91832E-01	45.00000
3.21917E+00	-7.96504E-01	46.00000
3.21868E+00	-8.01284E-01	47.00000
3.21817E+00	-8.08164E-01	48.00000
3.21767E+00	-8.14141E-01	49.00000
3.21719E+00	-8.17924E-01	50.00000
3.21669E+00	-8.23669E-01	51.00000
3.21617E+00	-8.30687E-01	52.00000
3.21568E+00	-8.35611E-01	53.00000
3.21519E+00	-8.39601E-01	54.00000
3.21468E+00	-8.45656E-01	55.00000
3.21417E+00	-8.51941E-01	56.00000
3.21369E+00	-8.55902E-01	57.00000
3.21320E+00	-8.60534E-01	58.00000
3.21268E+00	-8.66999E-01	59.00000
3.21218E+00	-8.72236E-01	60.00000
3.21171E+00	-8.75353E-01	61.00000
3.21120E+00	-8.80797E-01	62.00000
3.21068E+00	-8.87497E-01	63.00000
3.21019E+00	-8.91636E-01	64.00000
3.20972E+00	-8.95388E-01	65.00000
3.20920E+00	-9.01294E-01	66.00000
3.20869E+00	-9.07226E-01	67.00000
3.20822E+00	-9.10487E-01	68.00000
3.20772E+00	-9.15042E-01	69.00000
3.20720E+00	-9.21525E-01	70.00000
3.20670E+00	-9.26350E-01	71.00000
3.20623E+00	-9.29784E-01	72.00000
3.20572E+00	-9.34998E-01	73.00000
3.20521E+00	-9.40624E-01	74.00000
3.20473E+00	-9.44130E-01	75.00000
3.20424E+00	-9.48445E-01	76.00000
3.20372E+00	-9.54524E-01	77.00000
3.20322E+00	-9.59713E-01	78.00000
3.20274E+00	-9.63544E-01	79.00000
3.20223E+00	-9.69301E-01	80.00000
3.20170E+00	-9.76000E-01	81.00000
3.20121E+00	-9.80355E-01	82.00000
3.20074E+00	-9.83800E-01	83.00000
3.20023E+00	-9.89576E-01	84.00000
3.19971E+00	-9.95852E-01	85.00000
3.19923E+00	-9.99847E-01	86.00000
3.19874E+00	-1.00469E+00	87.00000
3.19822E+00	-1.01105E+00	88.00000
3.19772E+00	-1.01616E+00	89.00000
3.19724E+00	-1.02012E+00	90.00000
3.19674E+00	-1.02588E+00	91.00000
3.19622E+00	-1.03267E+00	92.00000
3.19574E+00	-1.03704E+00	93.00000
3.19526E+00	-1.04126E+00	94.00000
3.19474E+00	-1.04794E+00	95.00000
3.19424E+00	-1.05400E+00	96.00000
3.19376E+00	-1.05827E+00	97.00000
3.19326E+00	-1.06418E+00	98.00000
3.19273E+00	-1.07155E+00	99.00000
3.19224E+00	-1.07701E+00	100.00000
3.19176E+00	-1.08123E+00	101.00000
3.19125E+00	-1.08805E+00	102.00000
3.19073E+00	-1.09536E+00	103.00000
3.19026E+00	-1.09987E+00	104.00000
3.18978E+00	-1.10478E+00	105.00000
3.18926E+00	-1.11224E+00	106.00000
3.18876E+00	-1.11873E+00	107.00000
3.18828E+00	-1.12348E+00	108.00000
3.18778E+00	-1.13035E+00	109.00000
3.18726E+00	-1.13834E+00	110.00000
3.18676E+00	-1.14457E+00	111.00000
3.18629E+00	-1.14979E+00	112.00000
3.18578E+00	-1.15745E+00	113.00000
3.18526E+00	-1.16531E+00	114.00000
3.18479E+00	-1.17043E+00	115.00000
3.18430E+00	-1.17724E+00	116.00000
3.18377E+00	-1.18594E+00	117.00000
3.18327E+00	-1.19287E+00	118.00000
3.18279E+00	-1.19839E+00	119.00000
3.18229E+00	-1.20617E+00	120.00000
3.18177E+00	-1.21473E+00	121.00000
3.18129E+00	-1.22090E+00	122.00000
3.18081E+00	-1.22679E+00	123.00000
3.18030E+00	-1.23485E+00	124.00000
3.17979E+00	-1.24336E+00	125.00000
3.17931E+00	-1.24961E+00	126.00000
3.17882E+00	-1.25685E+00	127.00000
3.17830E+00	-1.26607E+00	128.00000
3.17780E+00	-1.27357E+00	129.00000
3.17733E+00	-1.27975E+00	130.00000
3.17681E+00	-1.28860E+00	131.00000
3.17630E+00	-1.29768E+00	132.00000
3.17582E+00	-1.30442E+00	133.00000
3.17532E+00	-1.31216E+00	134.00000
3.17480E+00	-1.32152E+00	135.00000
3.17430E+00	-1.32958E+00	136.00000
3.17383E+00	-1.33596E+00	137.00000
3.17333E+00	-1.34469E+00	138.00000
3.17281E+00	-1.35418E+00	139.00000
