E(V)	i(A/cm²)	T(s)
2.98256E+00	-2.01513E-01	0.00000
2.98231E+00	-2.01920E-01	1.00000
2.98181E+00	-2.05397E-01	2.00000
2.98134E+00	-2.07976E-01	3.00000
2.98084E+00	-2.11645E-01	4.00000
2.98031E+00	-2.15749E-01	5.00000
2.97982E+00	-2.18646E-01	6.00000
2.97935E+00	-2.21358E-01	7.00000
2.97884E+00	-2.25217E-01	8.00000
2.97832E+00	-2.29045E-01	9.00000
2.97784E+00	-2.31631E-01	10.00000
2.97735E+00	-2.34667E-01	11.00000
2.97684E+00	-2.38410E-01	12.00000
2.97634E+00	-2.41367E-01	13.00000
2.97587E+00	-2.43643E-01	14.00000
2.97536E+00	-2.47087E-01	15.00000
2.97483E+00	-2.50829E-01	16.00000
2.97435E+00	-2.53242E-01	17.00000
2.97386E+00	-2.55668E-01	18.00000
2.97335E+00	-2.59023E-01	19.00000
2.97284E+00	-2.62047E-01	20.00000
2.97237E+00	-2.63872E-01	21.00000
2.97187E+00	-2.66498E-01	22.00000
2.97135E+00	-2.69778E-01	23.00000
2.97086E+00	-2.71950E-01	24.00000
2.97039E+00	-2.73586E-01	25.00000
2.96987E+00	-2.76453E-01	26.00000
2.96935E+00	-2.79495E-01	27.00000
2.96887E+00	-2.81120E-01	28.00000
2.96838E+00	-2.83140E-01	29.00000
2.96787E+00	-2.85995E-01	30.00000
2.96736E+00	-2.88114E-01	31.00000
2.96689E+00	-2.89243E-01	32.00000
2.96639E+00	-2.91526E-01	33.00000
2.96587E+00	-2.94318E-01	34.00000
2.96538E+00	-2.95753E-01	35.00000
2.96490E+00	-2.97127E-01	36.00000
2.96438E+00	-2.99582E-01	37.00000
2.96387E+00	-3.01802E-01	38.00000
2.96340E+00	-3.02867E-01	39.00000
2.96290E+00	-3.04548E-01	40.00000
2.96238E+00	-3.06866E-01	41.00000
2.96189E+00	-3.08350E-01	42.00000
2.96141E+00	-3.09224E-01	43.00000
2.96090E+00	-3.11210E-01	44.00000
2.96038E+00	-3.13391E-01	45.00000
2.95991E+00	-3.14198E-01	46.00000
2.95942E+00	-3.15251E-01	47.00000
2.95890E+00	-3.17340E-01	48.00000
2.95839E+00	-3.18994E-01	49.00000
2.95792E+00	-3.19546E-01	50.00000
2.95742E+00	-3.21084E-01	51.00000
2.95690E+00	-3.23220E-01	52.00000
2.95641E+00	-3.24236E-01	53.00000
2.95593E+00	-3.24843E-01	54.00000
2.95541E+00	-3.26531E-01	55.00000
2.95490E+00	-3.28193E-01	56.00000
2.95442E+00	-3.28787E-01	57.00000
2.95393E+00	-3.29749E-01	58.00000
2.95341E+00	-3.31427E-01	59.00000
2.95291E+00	-3.32462E-01	60.00000
2.95244E+00	-3.32807E-01	61.00000
2.95193E+00	-3.34229E-01	62.00000
2.95141E+00	-3.35775E-01	63.00000
2.95093E+00	-3.36290E-01	64.00000
2.95045E+00	-3.36744E-01	65.00000
2.94993E+00	-3.38222E-01	66.00000
2.94942E+00	-3.39375E-01	67.00000
2.94894E+00	-3.39760E-01	68.00000
2.94845E+00	-3.40624E-01	69.00000
2.94793E+00	-3.42007E-01	70.00000
2.94743E+00	-3.42676E-01	71.00000
2.94695E+00	-3.42899E-01	72.00000
2.94644E+00	-3.43972E-01	73.00000
2.94592E+00	-3.45185E-01	74.00000
2.94544E+00	-3.45590E-01	75.00000
2.94494E+00	-3.46156E-01	76.00000
2.94443E+00	-3.47263E-01	77.00000
2.94393E+00	-3.47816E-01	78.00000
2.94345E+00	-3.48000E-01	79.00000
2.94295E+00	-3.48910E-01	80.00000
2.94243E+00	-3.50038E-01	81.00000
2.94194E+00	-3.50270E-01	82.00000
2.94146E+00	-3.50348E-01	83.00000
2.94095E+00	-3.51146E-01	84.00000
2.94044E+00	-3.51911E-01	85.00000
2.93996E+00	-3.52167E-01	86.00000
2.93947E+00	-3.52714E-01	87.00000
2.93895E+00	-3.53632E-01	88.00000
2.93845E+00	-3.53779E-01	89.00000
2.93797E+00	-3.53866E-01	90.00000
2.93746E+00	-3.54708E-01	91.00000
2.93694E+00	-3.55489E-01	92.00000
2.93646E+00	-3.55588E-01	93.00000
2.93598E+00	-3.55691E-01	94.00000
2.93546E+00	-3.56372E-01	95.00000
2.93495E+00	-3.56787E-01	96.00000
2.93447E+00	-3.56926E-01	97.00000
2.93397E+00	-3.57578E-01	98.00000
2.93345E+00	-3.58247E-01	99.00000
2.93296E+00	-3.58043E-01	100.00000
2.93248E+00	-3.58145E-01	101.00000
2.93197E+00	-3.58690E-01	102.00000
2.93146E+00	-3.59078E-01	103.00000
2.93098E+00	-3.59216E-01	104.00000
2.93049E+00	-3.59461E-01	105.00000
2.92997E+00	-3.59975E-01	106.00000
2.92946E+00	-3.59937E-01	107.00000
2.92899E+00	-3.60096E-01	108.00000
2.92849E+00	-3.60591E-01	109.00000
2.92797E+00	-3.60914E-01	110.00000
2.92748E+00	-3.60647E-01	111.00000
2.92701E+00	-3.60666E-01	112.00000
2.92649E+00	-3.61034E-01	113.00000
2.92598E+00	-3.61207E-01	114.00000
2.92550E+00	-3.61344E-01	115.00000
2.92500E+00	-3.61722E-01	116.00000
2.92448E+00	-3.61978E-01	117.00000
2.92398E+00	-3.61766E-01	118.00000
2.92351E+00	-3.61781E-01	119.00000
2.92301E+00	-3.62111E-01	120.00000
2.92248E+00	-3.62226E-01	121.00000
2.92200E+00	-3.61926E-01	122.00000
2.92152E+00	-3.61864E-01	123.00000
2.92101E+00	-3.61932E-01	124.00000
2.92050E+00	-3.61934E-01	125.00000
2.92003E+00	-3.61957E-01	126.00000
2.91953E+00	-3.62250E-01	127.00000
2.91901E+00	-3.62355E-01	128.00000
2.91852E+00	-3.62043E-01	129.00000
2.91804E+00	-3.61974E-01	130.00000
2.91753E+00	-3.62068E-01	131.00000
2.91702E+00	-3.62076E-01	132.00000
2.91654E+00	-3.62098E-01	133.00000
2.91605E+00	-3.62108E-01	134.00000
2.91553E+00	-3.62119E-01	135.00000
2.91503E+00	-3.62030E-01	136.00000
2.91455E+00	-3.62004E-01	137.00000
2.91405E+00	-3.62128E-01	138.00000
2.91353E+00	-3.62161E-01	139.00000
2.91304E+00	-3.61690E-01	140.00000
2.91256E+00	-3.61544E-01	141.00000
2.91205E+00	-3.61534E-01	142.00000
2.91153E+00	-3.61482E-01	143.00000
2.91105E+00	-3.61406E-01	144.00000
2.91056E+00	-3.61419E-01	145.00000
2.91004E+00	-3.61398E-01	146.00000
