E(V)	i(A/cm²)	T(s)
3.26984E+00	-3.28454E-01	0.00000
3.26959E+00	-3.31576E-01	1.00000
3.26909E+00	-3.39226E-01	2.00000
3.26862E+00	-3.45691E-01	3.00000
3.26811E+00	-3.53611E-01	4.00000
3.26758E+00	-3.62291E-01	5.00000
3.26710E+00	-3.69438E-01	6.00000
3.26662E+00	-3.76450E-01	7.00000
3.26611E+00	-3.84634E-01	8.00000
3.26559E+00	-3.92812E-01	9.00000
3.26512E+00	-3.99799E-01	10.00000
3.26462E+00	-4.07550E-01	11.00000
3.26409E+00	-4.16215E-01	12.00000
3.26359E+00	-4.23763E-01	13.00000
3.26311E+00	-4.30489E-01	14.00000
3.26261E+00	-4.38349E-01	15.00000
3.26209E+00	-4.46563E-01	16.00000
3.26161E+00	-4.53375E-01	17.00000
3.26114E+00	-4.60159E-01	18.00000
3.26062E+00	-4.68205E-01	19.00000
3.26011E+00	-4.76042E-01	20.00000
3.25963E+00	-4.82490E-01	21.00000
3.25913E+00	-4.89955E-01	22.00000
3.25861E+00	-4.98102E-01	23.00000
3.25813E+00	-5.04812E-01	24.00000
3.25766E+00	-5.11012E-01	25.00000
3.25714E+00	-5.18735E-01	26.00000
3.25662E+00	-5.26716E-01	27.00000
3.25614E+00	-5.33177E-01	28.00000
3.25565E+00	-5.40042E-01	29.00000
3.25513E+00	-5.47903E-01	30.00000
3.25463E+00	-5.54875E-01	31.00000
3.25416E+00	-5.60959E-01	32.00000
3.25365E+00	-5.68294E-01	33.00000
3.25313E+00	-5.75838E-01	34.00000
3.25265E+00	-5.81961E-01	35.00000
3.25218E+00	-5.88020E-01	36.00000
3.25167E+00	-5.95362E-01	37.00000
3.25115E+00	-6.02770E-01	38.00000
3.25067E+00	-6.08867E-01	39.00000
3.25017E+00	-6.15476E-01	40.00000
3.24965E+00	-6.22866E-01	41.00000
3.24916E+00	-6.29316E-01	42.00000
3.24869E+00	-6.35110E-01	43.00000
3.24818E+00	-6.41985E-01	44.00000
3.24767E+00	-6.49193E-01	45.00000
3.24719E+00	-6.55296E-01	46.00000
3.24670E+00	-6.61485E-01	47.00000
3.24618E+00	-6.68682E-01	48.00000
3.24567E+00	-6.75564E-01	49.00000
3.24520E+00	-6.81092E-01	50.00000
3.24469E+00	-6.87567E-01	51.00000
3.24417E+00	-6.94876E-01	52.00000
3.24368E+00	-7.01064E-01	53.00000
3.24320E+00	-7.06668E-01	54.00000
3.24269E+00	-7.13220E-01	55.00000
3.24218E+00	-7.20084E-01	56.00000
3.24170E+00	-7.25801E-01	57.00000
3.24121E+00	-7.31710E-01	58.00000
3.24069E+00	-7.38624E-01	59.00000
3.24019E+00	-7.45019E-01	60.00000
3.23972E+00	-7.50165E-01	61.00000
3.23922E+00	-7.56489E-01	62.00000
3.23870E+00	-7.63430E-01	63.00000
3.23821E+00	-7.69120E-01	64.00000
3.23773E+00	-7.74828E-01	65.00000
3.23722E+00	-7.81575E-01	66.00000
3.23670E+00	-7.88134E-01	67.00000
3.23622E+00	-7.93554E-01	68.00000
3.23572E+00	-7.99647E-01	69.00000
3.23521E+00	-8.06298E-01	70.00000
3.23472E+00	-8.12088E-01	71.00000
3.23424E+00	-8.17459E-01	72.00000
3.23373E+00	-8.23887E-01	73.00000
3.23322E+00	-8.30387E-01	74.00000
3.23274E+00	-8.35572E-01	75.00000
3.23226E+00	-8.41107E-01	76.00000
3.23173E+00	-8.47831E-01	77.00000
3.23123E+00	-8.54024E-01	78.00000
3.23075E+00	-8.59114E-01	79.00000
3.23025E+00	-8.65237E-01	80.00000
3.22973E+00	-8.71744E-01	81.00000
3.22925E+00	-8.77121E-01	82.00000
3.22878E+00	-8.82232E-01	83.00000
3.22826E+00	-8.88716E-01	84.00000
3.22775E+00	-8.95271E-01	85.00000
3.22727E+00	-9.00339E-01	86.00000
3.22677E+00	-9.06104E-01	87.00000
3.22625E+00	-9.12681E-01	88.00000
3.22576E+00	-9.18457E-01	89.00000
3.22528E+00	-9.23434E-01	90.00000
3.22477E+00	-9.29601E-01	91.00000
3.22424E+00	-9.36313E-01	92.00000
3.22376E+00	-9.41712E-01	93.00000
3.22328E+00	-9.46793E-01	94.00000
3.22277E+00	-9.53079E-01	95.00000
3.22225E+00	-9.59341E-01	96.00000
3.22177E+00	-9.64316E-01	97.00000
3.22128E+00	-9.70113E-01	98.00000
3.22075E+00	-9.76637E-01	99.00000
3.22026E+00	-9.81975E-01	100.00000
3.21979E+00	-9.86820E-01	101.00000
3.21928E+00	-9.93027E-01	102.00000
3.21876E+00	-9.99299E-01	103.00000
3.21828E+00	-1.00439E+00	104.00000
3.21779E+00	-1.00975E+00	105.00000
3.21728E+00	-1.01610E+00	106.00000
3.21677E+00	-1.02209E+00	107.00000
3.21629E+00	-1.02701E+00	108.00000
3.21579E+00	-1.03273E+00	109.00000
3.21528E+00	-1.03891E+00	110.00000
3.21480E+00	-1.04410E+00	111.00000
3.21432E+00	-1.04924E+00	112.00000
3.21379E+00	-1.05559E+00	113.00000
3.21328E+00	-1.06172E+00	114.00000
3.21280E+00	-1.06650E+00	115.00000
3.21231E+00	-1.07204E+00	116.00000
3.21179E+00	-1.07846E+00	117.00000
3.21129E+00	-1.08413E+00	118.00000
3.21082E+00	-1.08897E+00	119.00000
3.21032E+00	-1.09491E+00	120.00000
3.20980E+00	-1.10143E+00	121.00000
3.20932E+00	-1.10642E+00	122.00000
3.20883E+00	-1.11143E+00	123.00000
3.20832E+00	-1.11773E+00	124.00000
3.20781E+00	-1.12372E+00	125.00000
3.20733E+00	-1.12858E+00	126.00000
3.20683E+00	-1.13433E+00	127.00000
3.20631E+00	-1.14088E+00	128.00000
3.20582E+00	-1.14620E+00	129.00000
3.20535E+00	-1.15099E+00	130.00000
3.20483E+00	-1.15719E+00	131.00000
3.20431E+00	-1.16360E+00	132.00000
3.20383E+00	-1.16856E+00	133.00000
3.20335E+00	-1.17376E+00	134.00000
3.20283E+00	-1.17991E+00	135.00000
3.20233E+00	-1.18565E+00	136.00000
3.20185E+00	-1.19061E+00	137.00000
3.20135E+00	-1.19662E+00	138.00000
3.20082E+00	-1.20314E+00	139.00000
3.20033E+00	-1.20836E+00	140.00000
3.19985E+00	-1.21333E+00	141.00000
3.19934E+00	-1.21962E+00	142.00000
3.19883E+00	-1.22568E+00	143.00000
3.19835E+00	-1.23051E+00	144.00000
3.19786E+00	-1.23596E+00	145.00000
3.19735E+00	-1.24236E+00	146.00000
3.19685E+00	-1.24820E+00	147.00000
3.19637E+00	-1.25302E+00	148.00000
3.19586E+00	-1.25908E+00	149.00000
3.19534E+00	-1.26553E+00	150.00000
3.19485E+00	-1.27053E+00	151.00000
3.19437E+00	-1.27570E+00	152.00000
3.19386E+00	-1.28191E+00	153.00000
3.19336E+00	-1.28765E+00	154.00000
3.19288E+00	-1.29257E+00	155.00000
3.19238E+00	-1.29850E+00	156.00000
3.19186E+00	-1.30494E+00	157.00000
3.19137E+00	-1.31023E+00	158.00000
3.19089E+00	-1.31515E+00	159.00000
3.19037E+00	-1.32147E+00	160.00000
3.18986E+00	-1.32773E+00	161.00000
3.18938E+00	-1.33271E+00	162.00000
3.18890E+00	-1.33799E+00	163.00000
3.18838E+00	-1.34439E+00	164.00000
3.18787E+00	-1.35046E+00	165.00000
3.18740E+00	-1.35539E+00	166.00000
3.18689E+00	-1.36143E+00	167.00000
