E(V)	i(A/cm²)	T(s)
2.90430E+00	-2.39996E-01	0.00000
2.90407E+00	-2.35671E-01	1.00000
2.90356E+00	-2.33817E-01	2.00000
2.90307E+00	-2.32320E-01	3.00000
2.90257E+00	-2.31921E-01	4.00000
2.90205E+00	-2.31781E-01	5.00000
2.90156E+00	-2.30697E-01	6.00000
2.90108E+00	-2.30562E-01	7.00000
2.90057E+00	-2.31386E-01	8.00000
2.90006E+00	-2.31951E-01	9.00000
2.89958E+00	-2.32139E-01	10.00000
2.89909E+00	-2.33333E-01	11.00000
2.89857E+00	-2.35261E-01	12.00000
2.89807E+00	-2.36132E-01	13.00000
2.89759E+00	-2.36422E-01	14.00000
2.89708E+00	-2.38517E-01	15.00000
2.89656E+00	-2.40914E-01	16.00000
2.89608E+00	-2.41713E-01	17.00000
2.89560E+00	-2.42491E-01	18.00000
2.89508E+00	-2.44597E-01	19.00000
2.89458E+00	-2.46109E-01	20.00000
2.89410E+00	-2.46613E-01	21.00000
2.89360E+00	-2.48288E-01	22.00000
2.89307E+00	-2.50306E-01	23.00000
2.89259E+00	-2.51118E-01	24.00000
2.89212E+00	-2.51389E-01	25.00000
2.89160E+00	-2.53476E-01	26.00000
2.89108E+00	-2.55335E-01	27.00000
2.89061E+00	-2.55955E-01	28.00000
2.89012E+00	-2.56689E-01	29.00000
2.88960E+00	-2.58528E-01	30.00000
2.88909E+00	-2.59525E-01	31.00000
2.88862E+00	-2.59857E-01	32.00000
2.88811E+00	-2.61447E-01	33.00000
2.88759E+00	-2.63217E-01	34.00000
2.88711E+00	-2.63679E-01	35.00000
2.88662E+00	-2.63833E-01	36.00000
2.88611E+00	-2.65286E-01	37.00000
2.88560E+00	-2.66142E-01	38.00000
2.88512E+00	-2.66427E-01	39.00000
2.88462E+00	-2.67521E-01	40.00000
2.88410E+00	-2.69037E-01	41.00000
2.88361E+00	-2.69138E-01	42.00000
2.88314E+00	-2.69257E-01	43.00000
2.88263E+00	-2.70438E-01	44.00000
2.88211E+00	-2.71500E-01	45.00000
2.88163E+00	-2.71854E-01	46.00000
2.88115E+00	-2.72227E-01	47.00000
2.88063E+00	-2.73383E-01	48.00000
2.88013E+00	-2.73784E-01	49.00000
2.87965E+00	-2.73921E-01	50.00000
2.87915E+00	-2.75111E-01	51.00000
2.87863E+00	-2.76167E-01	52.00000
2.87814E+00	-2.75892E-01	53.00000
2.87766E+00	-2.75940E-01	54.00000
2.87715E+00	-2.76947E-01	55.00000
2.87663E+00	-2.77683E-01	56.00000
2.87615E+00	-2.77928E-01	57.00000
2.87566E+00	-2.78463E-01	58.00000
2.87514E+00	-2.79235E-01	59.00000
2.87464E+00	-2.79054E-01	60.00000
2.87417E+00	-2.79252E-01	61.00000
2.87366E+00	-2.80000E-01	62.00000
2.87314E+00	-2.80407E-01	63.00000
2.87265E+00	-2.80337E-01	64.00000
2.87217E+00	-2.80449E-01	65.00000
2.87165E+00	-2.81147E-01	66.00000
2.87114E+00	-2.81328E-01	67.00000
2.87066E+00	-2.81621E-01	68.00000
2.87017E+00	-2.82154E-01	69.00000
2.86965E+00	-2.82615E-01	70.00000
2.86916E+00	-2.82315E-01	71.00000
2.86868E+00	-2.82368E-01	72.00000
2.86817E+00	-2.82857E-01	73.00000
2.86765E+00	-2.83038E-01	74.00000
2.86716E+00	-2.83189E-01	75.00000
2.86667E+00	-2.83300E-01	76.00000
2.86616E+00	-2.83525E-01	77.00000
2.86565E+00	-2.83476E-01	78.00000
2.86518E+00	-2.83534E-01	79.00000
2.86468E+00	-2.84152E-01	80.00000
2.86416E+00	-2.84378E-01	81.00000
2.86366E+00	-2.83776E-01	82.00000
2.86319E+00	-2.83651E-01	83.00000
2.86268E+00	-2.83884E-01	84.00000
2.86217E+00	-2.83920E-01	85.00000
2.86168E+00	-2.84009E-01	86.00000
2.86119E+00	-2.84175E-01	87.00000
2.86067E+00	-2.84260E-01	88.00000
2.86018E+00	-2.83911E-01	89.00000
2.85970E+00	-2.83823E-01	90.00000
2.85920E+00	-2.84126E-01	91.00000
2.85868E+00	-2.84198E-01	92.00000
2.85819E+00	-2.83734E-01	93.00000
2.85771E+00	-2.83604E-01	94.00000
2.85719E+00	-2.83666E-01	95.00000
2.85668E+00	-2.83643E-01	96.00000
2.85620E+00	-2.83655E-01	97.00000
2.85571E+00	-2.83965E-01	98.00000
2.85518E+00	-2.84072E-01	99.00000
2.85469E+00	-2.83352E-01	100.00000
2.85422E+00	-2.83148E-01	101.00000
2.85371E+00	-2.83306E-01	102.00000
2.85319E+00	-2.83291E-01	103.00000
2.85270E+00	-2.82940E-01	104.00000
2.85221E+00	-2.82818E-01	105.00000
2.85170E+00	-2.82660E-01	106.00000
2.85119E+00	-2.82339E-01	107.00000
2.85072E+00	-2.82179E-01	108.00000
2.85022E+00	-2.82378E-01	109.00000
2.84970E+00	-2.82391E-01	110.00000
2.84921E+00	-2.81582E-01	111.00000
2.84873E+00	-2.81317E-01	112.00000
2.84822E+00	-2.81403E-01	113.00000
2.84770E+00	-2.81343E-01	114.00000
2.84722E+00	-2.81276E-01	115.00000
2.84672E+00	-2.81265E-01	116.00000
2.84620E+00	-2.81239E-01	117.00000
2.84570E+00	-2.80565E-01	118.00000
2.84523E+00	-2.80331E-01	119.00000
2.84472E+00	-2.80223E-01	120.00000
2.84421E+00	-2.80109E-01	121.00000
2.84373E+00	-2.79055E-01	122.00000
2.84325E+00	-2.78815E-01	123.00000
2.84274E+00	-2.78679E-01	124.00000
2.84223E+00	-2.78554E-01	125.00000
2.84175E+00	-2.78467E-01	126.00000
2.84125E+00	-2.78576E-01	127.00000
2.84073E+00	-2.78583E-01	128.00000
2.84024E+00	-2.77704E-01	129.00000
2.83976E+00	-2.77413E-01	130.00000
2.83925E+00	-2.77323E-01	131.00000
2.83873E+00	-2.77196E-01	132.00000
2.83825E+00	-2.76654E-01	133.00000
2.83776E+00	-2.76588E-01	134.00000
2.83725E+00	-2.76385E-01	135.00000
2.83674E+00	-2.76033E-01	136.00000
2.83626E+00	-2.75848E-01	137.00000
2.83576E+00	-2.75769E-01	138.00000
2.83524E+00	-2.75681E-01	139.00000
2.83475E+00	-2.74530E-01	140.00000
2.83427E+00	-2.74232E-01	141.00000
2.83376E+00	-2.74070E-01	142.00000
2.83324E+00	-2.73916E-01	143.00000
2.83277E+00	-2.73762E-01	144.00000
2.83228E+00	-2.73867E-01	145.00000
2.83176E+00	-2.73851E-01	146.00000
2.83126E+00	-2.73041E-01	147.00000
2.83078E+00	-2.72766E-01	148.00000
2.83028E+00	-2.72493E-01	149.00000
2.82976E+00	-2.72311E-01	150.00000
2.82927E+00	-2.71313E-01	151.00000
2.82879E+00	-2.71193E-01	152.00000
2.82827E+00	-2.70820E-01	153.00000
2.82777E+00	-2.70513E-01	154.00000
2.82729E+00	-2.70187E-01	155.00000
2.82679E+00	-2.70240E-01	156.00000
2.82627E+00	-2.70148E-01	157.00000
2.82578E+00	-2.69203E-01	158.00000
2.82530E+00	-2.68931E-01	159.00000
2.82479E+00	-2.68645E-01	160.00000
2.82427E+00	-2.68459E-01	161.00000
2.82380E+00	-2.67759E-01	162.00000
2.82331E+00	-2.67745E-01	163.00000
2.82279E+00	-2.67508E-01	164.00000
2.82229E+00	-2.67065E-01	165.00000
2.82181E+00	-2.66838E-01	166.00000
2.82131E+00	-2.66679E-01	167.00000
2.82078E+00	-2.66550E-01	168.00000
2.82030E+00	-2.65378E-01	169.00000
2.81982E+00	-2.65126E-01	170.00000
2.81931E+00	-2.64801E-01	171.00000
2.81879E+00	-2.64609E-01	172.00000
2.81831E+00	-2.64309E-01	173.00000
2.81782E+00	-2.64445E-01	174.00000
2.81730E+00	-2.64390E-01	175.00000
2.81681E+00	-2.63478E-01	176.00000
2.81633E+00	-2.63156E-01	177.00000
2.81582E+00	-2.62925E-01	178.00000
2.81530E+00	-2.62741E-01	179.00000
2.81482E+00	-2.61786E-01	180.00000
2.81433E+00	-2.61668E-01	181.00000
2.81382E+00	-2.61310E-01	182.00000
