E(V)	i(A/cm²)	T(s)
2.80836E+00	-2.26797E-01	0.00000
2.80812E+00	-2.20227E-01	1.00000
2.80761E+00	-2.15864E-01	2.00000
2.80713E+00	-2.11053E-01	3.00000
2.80663E+00	-2.07562E-01	4.00000
2.80611E+00	-2.06207E-01	5.00000
2.80562E+00	-2.03417E-01	6.00000
2.80514E+00	-2.01948E-01	7.00000
2.80463E+00	-2.01255E-01	8.00000
2.80411E+00	-2.00894E-01	9.00000
2.80364E+00	-2.00189E-01	10.00000
2.80314E+00	-2.00425E-01	11.00000
2.80262E+00	-2.00271E-01	12.00000
2.80212E+00	-1.99505E-01	13.00000
2.80165E+00	-1.99199E-01	14.00000
2.80114E+00	-1.99673E-01	15.00000
2.80062E+00	-1.99728E-01	16.00000
2.80013E+00	-1.99765E-01	17.00000
2.79965E+00	-1.99796E-01	18.00000
2.79913E+00	-2.00325E-01	19.00000
2.79862E+00	-2.00469E-01	20.00000
2.79815E+00	-2.00693E-01	21.00000
2.79765E+00	-2.01568E-01	22.00000
2.79713E+00	-2.02177E-01	23.00000
2.79664E+00	-2.01721E-01	24.00000
2.79616E+00	-2.01773E-01	25.00000
2.79564E+00	-2.02304E-01	26.00000
2.79513E+00	-2.02500E-01	27.00000
2.79465E+00	-2.02741E-01	28.00000
2.79416E+00	-2.03195E-01	29.00000
2.79364E+00	-2.03925E-01	30.00000
2.79313E+00	-2.03785E-01	31.00000
2.79266E+00	-2.03981E-01	32.00000
2.79215E+00	-2.04723E-01	33.00000
2.79163E+00	-2.05046E-01	34.00000
2.79115E+00	-2.04713E-01	35.00000
2.79066E+00	-2.04709E-01	36.00000
2.79015E+00	-2.05156E-01	37.00000
2.78963E+00	-2.05304E-01	38.00000
2.78916E+00	-2.05503E-01	39.00000
2.78866E+00	-2.06174E-01	40.00000
2.78814E+00	-2.06463E-01	41.00000
2.78764E+00	-2.05952E-01	42.00000
2.78717E+00	-2.05879E-01	43.00000
2.78666E+00	-2.06435E-01	44.00000
2.78614E+00	-2.06596E-01	45.00000
2.78566E+00	-2.06304E-01	46.00000
2.78517E+00	-2.06260E-01	47.00000
2.78466E+00	-2.06216E-01	48.00000
2.78415E+00	-2.06186E-01	49.00000
2.78368E+00	-2.06162E-01	50.00000
2.78317E+00	-2.06739E-01	51.00000
2.78265E+00	-2.06924E-01	52.00000
2.78216E+00	-2.06341E-01	53.00000
2.78169E+00	-2.06209E-01	54.00000
2.78117E+00	-2.06422E-01	55.00000
2.78066E+00	-2.06449E-01	56.00000
2.78018E+00	-2.06529E-01	57.00000
2.77969E+00	-2.06605E-01	58.00000
2.77916E+00	-2.06658E-01	59.00000
2.77866E+00	-2.06216E-01	60.00000
2.77819E+00	-2.06086E-01	61.00000
2.77768E+00	-2.06351E-01	62.00000
