E(V)	i(A/cm²)	T(s)
3.24474E+00	-4.54857E-01	0.00000
3.24450E+00	-4.54008E-01	1.00000
3.24399E+00	-4.58026E-01	2.00000
3.24351E+00	-4.60142E-01	3.00000
3.24301E+00	-4.64619E-01	4.00000
3.24249E+00	-4.71004E-01	5.00000
3.24200E+00	-4.75995E-01	6.00000
3.24152E+00	-4.80753E-01	7.00000
3.24100E+00	-4.87765E-01	8.00000
3.24048E+00	-4.94915E-01	9.00000
3.24000E+00	-5.00030E-01	10.00000
3.23951E+00	-5.06184E-01	11.00000
3.23900E+00	-5.13466E-01	12.00000
3.23850E+00	-5.19443E-01	13.00000
3.23803E+00	-5.24691E-01	14.00000
3.23752E+00	-5.32322E-01	15.00000
3.23700E+00	-5.40523E-01	16.00000
3.23652E+00	-5.45995E-01	17.00000
3.23603E+00	-5.51740E-01	18.00000
3.23552E+00	-5.59399E-01	19.00000
3.23501E+00	-5.66541E-01	20.00000
3.23454E+00	-5.71748E-01	21.00000
3.23404E+00	-5.78487E-01	22.00000
3.23352E+00	-5.86402E-01	23.00000
3.23303E+00	-5.92039E-01	24.00000
3.23255E+00	-5.97239E-01	25.00000
3.23204E+00	-6.04400E-01	26.00000
3.23153E+00	-6.11687E-01	27.00000
3.23105E+00	-6.16947E-01	28.00000
3.23056E+00	-6.22627E-01	29.00000
3.23005E+00	-6.29999E-01	30.00000
3.22955E+00	-6.36440E-01	31.00000
3.22907E+00	-6.41177E-01	32.00000
3.22856E+00	-6.47700E-01	33.00000
3.22804E+00	-6.54942E-01	34.00000
3.22756E+00	-6.59936E-01	35.00000
3.22708E+00	-6.64778E-01	36.00000
3.22656E+00	-6.71531E-01	37.00000
3.22605E+00	-6.78120E-01	38.00000
3.22557E+00	-6.82852E-01	39.00000
3.22508E+00	-6.88241E-01	40.00000
3.22456E+00	-6.94911E-01	41.00000
3.22406E+00	-7.00338E-01	42.00000
3.22359E+00	-7.04100E-01	43.00000
3.22308E+00	-7.10199E-01	44.00000
3.22256E+00	-7.17220E-01	45.00000
3.22208E+00	-7.21203E-01	46.00000
3.22160E+00	-7.25577E-01	47.00000
3.22107E+00	-7.32404E-01	48.00000
3.22056E+00	-7.38201E-01	49.00000
3.22009E+00	-7.41745E-01	50.00000
3.21958E+00	-7.47116E-01	51.00000
3.21906E+00	-7.53670E-01	52.00000
3.21857E+00	-7.58031E-01	53.00000
3.21810E+00	-7.61435E-01	54.00000
3.21759E+00	-7.67138E-01	55.00000
3.21707E+00	-7.73230E-01	56.00000
3.21659E+00	-7.76936E-01	57.00000
3.21611E+00	-7.81142E-01	58.00000
3.21559E+00	-7.87163E-01	59.00000
3.21509E+00	-7.92141E-01	60.00000
3.21461E+00	-7.95536E-01	61.00000
3.21410E+00	-8.01089E-01	62.00000
3.21358E+00	-8.07106E-01	63.00000
3.21309E+00	-8.10783E-01	64.00000
3.21261E+00	-8.14409E-01	65.00000
3.21210E+00	-8.20079E-01	66.00000
3.21159E+00	-8.25490E-01	67.00000
3.21111E+00	-8.28948E-01	68.00000
3.21062E+00	-8.33194E-01	69.00000
3.21010E+00	-8.38810E-01	70.00000
3.20960E+00	-8.43458E-01	71.00000
3.20913E+00	-8.46651E-01	72.00000
3.20863E+00	-8.51946E-01	73.00000
3.20811E+00	-8.57777E-01	74.00000
3.20763E+00	-8.61259E-01	75.00000
3.20714E+00	-8.65357E-01	76.00000
3.20661E+00	-8.71285E-01	77.00000
3.20611E+00	-8.76156E-01	78.00000
3.20564E+00	-8.79151E-01	79.00000
3.20514E+00	-8.83893E-01	80.00000
3.20462E+00	-8.89795E-01	81.00000
3.20413E+00	-8.93657E-01	82.00000
3.20366E+00	-8.96862E-01	83.00000
3.20315E+00	-9.02691E-01	84.00000
3.20263E+00	-9.08473E-01	85.00000
3.20216E+00	-9.11672E-01	86.00000
3.20166E+00	-9.16263E-01	87.00000
3.20115E+00	-9.22451E-01	88.00000
3.20064E+00	-9.27535E-01	89.00000
3.20016E+00	-9.31274E-01	90.00000
3.19966E+00	-9.36556E-01	91.00000
3.19913E+00	-9.42747E-01	92.00000
3.19865E+00	-9.46870E-01	93.00000
3.19817E+00	-9.50678E-01	94.00000
3.19766E+00	-9.56804E-01	95.00000
3.19715E+00	-9.62738E-01	96.00000
3.19667E+00	-9.66533E-01	97.00000
3.19617E+00	-9.72091E-01	98.00000
3.19566E+00	-9.78513E-01	99.00000
3.19517E+00	-9.83155E-01	100.00000
3.19469E+00	-9.87130E-01	101.00000
3.19417E+00	-9.93602E-01	102.00000
3.19366E+00	-1.00026E+00	103.00000
3.19318E+00	-1.00460E+00	104.00000
3.19269E+00	-1.00972E+00	105.00000
3.19217E+00	-1.01656E+00	106.00000
3.19166E+00	-1.02273E+00	107.00000
3.19118E+00	-1.02711E+00	108.00000
3.19069E+00	-1.03320E+00	109.00000
3.19017E+00	-1.04022E+00	110.00000
3.18968E+00	-1.04546E+00	111.00000
3.18921E+00	-1.05024E+00	112.00000
3.18870E+00	-1.05685E+00	113.00000
3.18819E+00	-1.06360E+00	114.00000
3.18771E+00	-1.06883E+00	115.00000
3.18720E+00	-1.07522E+00	116.00000
3.18668E+00	-1.08255E+00	117.00000
3.18619E+00	-1.08848E+00	118.00000
3.18572E+00	-1.09322E+00	119.00000
3.18521E+00	-1.10002E+00	120.00000
3.18469E+00	-1.10785E+00	121.00000
3.18421E+00	-1.11337E+00	122.00000
3.18373E+00	-1.11874E+00	123.00000
3.18322E+00	-1.12654E+00	124.00000
3.18270E+00	-1.13423E+00	125.00000
3.18221E+00	-1.13990E+00	126.00000
3.18172E+00	-1.14653E+00	127.00000
3.18120E+00	-1.15458E+00	128.00000
3.18070E+00	-1.16132E+00	129.00000
3.18022E+00	-1.16698E+00	130.00000
3.17972E+00	-1.17443E+00	131.00000
3.17920E+00	-1.18230E+00	132.00000
3.17873E+00	-1.18801E+00	133.00000
3.17823E+00	-1.19458E+00	134.00000
3.17771E+00	-1.20326E+00	135.00000
3.17722E+00	-1.21048E+00	136.00000
3.17674E+00	-1.21605E+00	137.00000
3.17623E+00	-1.22385E+00	138.00000
3.17571E+00	-1.23257E+00	139.00000
3.17522E+00	-1.23914E+00	140.00000
3.17475E+00	-1.24516E+00	141.00000
3.17424E+00	-1.25323E+00	142.00000
3.17373E+00	-1.26129E+00	143.00000
3.17325E+00	-1.26749E+00	144.00000
3.17275E+00	-1.27492E+00	145.00000
3.17223E+00	-1.28369E+00	146.00000
3.17174E+00	-1.29120E+00	147.00000
3.17126E+00	-1.29699E+00	148.00000
3.17076E+00	-1.30493E+00	149.00000
3.17024E+00	-1.31401E+00	150.00000
3.16975E+00	-1.32088E+00	151.00000
3.16927E+00	-1.32777E+00	152.00000
3.16875E+00	-1.33659E+00	153.00000
3.16824E+00	-1.34507E+00	154.00000
3.16777E+00	-1.35119E+00	155.00000
3.16728E+00	-1.35898E+00	156.00000
3.16676E+00	-1.36811E+00	157.00000
3.16626E+00	-1.37552E+00	158.00000
3.16578E+00	-1.38240E+00	159.00000
3.16527E+00	-1.39116E+00	160.00000
3.16475E+00	-1.40031E+00	161.00000
3.16427E+00	-1.40728E+00	162.00000
3.16378E+00	-1.41497E+00	163.00000
3.16326E+00	-1.42426E+00	164.00000
3.16277E+00	-1.43214E+00	165.00000
3.16230E+00	-1.43838E+00	166.00000
3.16179E+00	-1.44715E+00	167.00000
3.16126E+00	-1.45713E+00	168.00000
