E(V)	i(A/cm²)	T(s)
2.80064E+00	-1.93412E-01	0.00000
2.80040E+00	-1.88448E-01	1.00000
2.79989E+00	-1.85642E-01	2.00000
2.79941E+00	-1.82756E-01	3.00000
2.79891E+00	-1.80684E-01	4.00000
2.79839E+00	-1.79993E-01	5.00000
2.79790E+00	-1.78192E-01	6.00000
2.79742E+00	-1.77731E-01	7.00000
2.79691E+00	-1.77537E-01	8.00000
2.79640E+00	-1.77319E-01	9.00000
2.79592E+00	-1.77181E-01	10.00000
2.79543E+00	-1.77478E-01	11.00000
2.79491E+00	-1.77598E-01	12.00000
2.79441E+00	-1.77486E-01	13.00000
2.79394E+00	-1.77489E-01	14.00000
2.79343E+00	-1.78368E-01	15.00000
2.79291E+00	-1.78998E-01	16.00000
2.79242E+00	-1.79208E-01	17.00000
2.79194E+00	-1.79456E-01	18.00000
2.79142E+00	-1.80347E-01	19.00000
2.79091E+00	-1.80437E-01	20.00000
2.79044E+00	-1.80736E-01	21.00000
2.78994E+00	-1.81911E-01	22.00000
2.78942E+00	-1.83215E-01	23.00000
2.78892E+00	-1.83019E-01	24.00000
2.78844E+00	-1.83136E-01	25.00000
2.78793E+00	-1.83821E-01	26.00000
2.78742E+00	-1.84276E-01	27.00000
2.78694E+00	-1.84468E-01	28.00000
2.78645E+00	-1.85116E-01	29.00000
2.78593E+00	-1.86042E-01	30.00000
2.78543E+00	-1.85855E-01	31.00000
2.78496E+00	-1.86101E-01	32.00000
2.78445E+00	-1.86980E-01	33.00000
2.78393E+00	-1.87610E-01	34.00000
2.78345E+00	-1.87288E-01	35.00000
2.78296E+00	-1.87391E-01	36.00000
2.78245E+00	-1.87921E-01	37.00000
2.78194E+00	-1.88132E-01	38.00000
2.78147E+00	-1.88379E-01	39.00000
2.78097E+00	-1.89135E-01	40.00000
2.78045E+00	-1.89855E-01	41.00000
2.77995E+00	-1.89509E-01	42.00000
2.77947E+00	-1.89633E-01	43.00000
2.77896E+00	-1.90259E-01	44.00000
2.77844E+00	-1.90509E-01	45.00000
2.77795E+00	-1.90593E-01	46.00000
2.77747E+00	-1.90704E-01	47.00000
2.77696E+00	-1.90982E-01	48.00000
2.77645E+00	-1.90972E-01	49.00000
2.77597E+00	-1.91061E-01	50.00000
2.77547E+00	-1.91634E-01	51.00000
2.77495E+00	-1.91855E-01	52.00000
2.77446E+00	-1.91412E-01	53.00000
2.77398E+00	-1.91338E-01	54.00000
2.77347E+00	-1.91590E-01	55.00000
2.77296E+00	-1.91650E-01	56.00000
2.77248E+00	-1.91754E-01	57.00000
2.77199E+00	-1.91864E-01	58.00000
2.77147E+00	-1.91935E-01	59.00000
2.77097E+00	-1.91624E-01	60.00000
2.77049E+00	-1.91545E-01	61.00000
2.76999E+00	-1.91965E-01	62.00000
2.76947E+00	-1.92078E-01	63.00000
2.76898E+00	-1.91557E-01	64.00000
2.76849E+00	-1.91421E-01	65.00000
2.76798E+00	-1.91425E-01	66.00000
2.76747E+00	-1.91382E-01	67.00000
2.76700E+00	-1.91368E-01	68.00000
2.76650E+00	-1.91370E-01	69.00000
2.76599E+00	-1.91366E-01	70.00000
2.76550E+00	-1.90718E-01	71.00000
2.76503E+00	-1.90505E-01	72.00000
2.76451E+00	-1.90717E-01	73.00000
2.76399E+00	-1.90716E-01	74.00000
2.76351E+00	-1.90411E-01	75.00000
2.76303E+00	-1.90309E-01	76.00000
2.76251E+00	-1.90173E-01	77.00000
2.76200E+00	-1.89995E-01	78.00000
2.76152E+00	-1.89891E-01	79.00000
2.76102E+00	-1.90080E-01	80.00000
2.76051E+00	-1.90108E-01	81.00000
2.76002E+00	-1.89269E-01	82.00000
2.75953E+00	-1.88998E-01	83.00000
2.75902E+00	-1.88968E-01	84.00000
2.75850E+00	-1.88868E-01	85.00000
2.75802E+00	-1.88719E-01	86.00000
2.75754E+00	-1.88746E-01	87.00000
2.75702E+00	-1.88706E-01	88.00000
2.75652E+00	-1.88109E-01	89.00000
2.75604E+00	-1.87897E-01	90.00000
2.75553E+00	-1.87868E-01	91.00000
2.75502E+00	-1.87787E-01	92.00000
2.75453E+00	-1.86913E-01	93.00000
2.75405E+00	-1.86685E-01	94.00000
2.75353E+00	-1.86397E-01	95.00000
2.75302E+00	-1.86225E-01	96.00000
2.75255E+00	-1.86063E-01	97.00000
2.75205E+00	-1.86056E-01	98.00000
2.75153E+00	-1.85999E-01	99.00000
2.75103E+00	-1.85245E-01	100.00000
2.75055E+00	-1.85034E-01	101.00000
2.75003E+00	-1.84915E-01	102.00000
2.74951E+00	-1.84805E-01	103.00000
2.74904E+00	-1.84111E-01	104.00000
2.74856E+00	-1.83884E-01	105.00000
2.74804E+00	-1.83686E-01	106.00000
2.74753E+00	-1.83258E-01	107.00000
2.74706E+00	-1.83010E-01	108.00000
2.74656E+00	-1.82874E-01	109.00000
2.74604E+00	-1.82746E-01	110.00000
2.74555E+00	-1.81710E-01	111.00000
2.74507E+00	-1.81495E-01	112.00000
2.74456E+00	-1.81179E-01	113.00000
2.74404E+00	-1.81002E-01	114.00000
2.74357E+00	-1.80562E-01	115.00000
2.74307E+00	-1.80591E-01	116.00000
2.74255E+00	-1.80502E-01	117.00000
2.74205E+00	-1.79792E-01	118.00000
2.74158E+00	-1.79525E-01	119.00000
2.74107E+00	-1.79244E-01	120.00000
2.74055E+00	-1.79061E-01	121.00000
2.74006E+00	-1.78018E-01	122.00000
2.73958E+00	-1.77750E-01	123.00000
2.73907E+00	-1.77449E-01	124.00000
2.73855E+00	-1.77100E-01	125.00000
2.73808E+00	-1.76685E-01	126.00000
2.73759E+00	-1.76659E-01	127.00000
2.73707E+00	-1.76593E-01	128.00000
2.73657E+00	-1.75545E-01	129.00000
2.73610E+00	-1.75219E-01	130.00000
2.73558E+00	-1.74870E-01	131.00000
2.73506E+00	-1.74645E-01	132.00000
2.73458E+00	-1.73704E-01	133.00000
2.73410E+00	-1.73553E-01	134.00000
2.73358E+00	-1.73292E-01	135.00000
2.73308E+00	-1.72832E-01	136.00000
2.73260E+00	-1.72536E-01	137.00000
2.73210E+00	-1.72404E-01	138.00000
2.73157E+00	-1.72261E-01	139.00000
2.73109E+00	-1.71143E-01	140.00000
2.73061E+00	-1.70909E-01	141.00000
2.73009E+00	-1.70496E-01	142.00000
2.72958E+00	-1.70280E-01	143.00000
2.72910E+00	-1.69728E-01	144.00000
2.72860E+00	-1.69564E-01	145.00000
2.72809E+00	-1.69510E-01	146.00000
2.72759E+00	-1.68584E-01	147.00000
2.72712E+00	-1.68091E-01	148.00000
2.72662E+00	-1.67892E-01	149.00000
2.72610E+00	-1.67661E-01	150.00000
2.72561E+00	-1.66546E-01	151.00000
2.72513E+00	-1.66142E-01	152.00000
2.72461E+00	-1.65887E-01	153.00000
2.72411E+00	-1.65387E-01	154.00000
2.72363E+00	-1.65015E-01	155.00000
2.72313E+00	-1.65013E-01	156.00000
2.72260E+00	-1.64888E-01	157.00000
2.72211E+00	-1.63853E-01	158.00000
2.72163E+00	-1.63500E-01	159.00000
2.72112E+00	-1.63126E-01	160.00000
2.72061E+00	-1.62884E-01	161.00000
2.72013E+00	-1.61947E-01	162.00000
2.71964E+00	-1.61535E-01	163.00000
2.71912E+00	-1.61397E-01	164.00000
2.71862E+00	-1.60713E-01	165.00000
2.71814E+00	-1.60221E-01	166.00000
2.71764E+00	-1.60111E-01	167.00000
2.71712E+00	-1.59911E-01	168.00000
2.71663E+00	-1.58815E-01	169.00000
2.71615E+00	-1.58550E-01	170.00000
2.71563E+00	-1.58053E-01	171.00000
2.71512E+00	-1.57781E-01	172.00000
2.71465E+00	-1.57229E-01	173.00000
2.71415E+00	-1.57188E-01	174.00000
2.71363E+00	-1.57174E-01	175.00000
2.71313E+00	-1.56194E-01	176.00000
2.71266E+00	-1.55789E-01	177.00000
2.71215E+00	-1.55516E-01	178.00000
2.71162E+00	-1.55290E-01	179.00000
2.71113E+00	-1.54204E-01	180.00000
2.71065E+00	-1.53798E-01	181.00000
2.71014E+00	-1.53586E-01	182.00000
2.70963E+00	-1.53048E-01	183.00000
2.70916E+00	-1.52561E-01	184.00000
2.70866E+00	-1.52396E-01	185.00000
