E(V)	i(A/cm²)	T(s)
3.23961E+00	-4.60691E-01	0.00000
3.23938E+00	-4.58861E-01	1.00000
3.23886E+00	-4.64400E-01	2.00000
3.23838E+00	-4.66967E-01	3.00000
3.23788E+00	-4.72061E-01	4.00000
3.23736E+00	-4.78615E-01	5.00000
3.23688E+00	-4.83750E-01	6.00000
3.23640E+00	-4.88816E-01	7.00000
3.23588E+00	-4.96263E-01	8.00000
3.23536E+00	-5.04108E-01	9.00000
3.23488E+00	-5.09645E-01	10.00000
3.23438E+00	-5.16303E-01	11.00000
3.23386E+00	-5.24725E-01	12.00000
3.23337E+00	-5.31835E-01	13.00000
3.23289E+00	-5.37597E-01	14.00000
3.23239E+00	-5.45483E-01	15.00000
3.23187E+00	-5.54069E-01	16.00000
3.23139E+00	-5.60414E-01	17.00000
3.23091E+00	-5.66816E-01	18.00000
3.23039E+00	-5.75178E-01	19.00000
3.22988E+00	-5.83101E-01	20.00000
3.22941E+00	-5.89190E-01	21.00000
3.22891E+00	-5.96598E-01	22.00000
3.22839E+00	-6.05159E-01	23.00000
3.22789E+00	-6.12021E-01	24.00000
3.22742E+00	-6.17887E-01	25.00000
3.22691E+00	-6.25803E-01	26.00000
3.22639E+00	-6.34163E-01	27.00000
3.22591E+00	-6.40399E-01	28.00000
3.22542E+00	-6.46944E-01	29.00000
3.22491E+00	-6.55209E-01	30.00000
3.22440E+00	-6.62608E-01	31.00000
3.22393E+00	-6.68136E-01	32.00000
3.22342E+00	-6.75413E-01	33.00000
3.22290E+00	-6.83584E-01	34.00000
3.22242E+00	-6.89754E-01	35.00000
3.22194E+00	-6.95510E-01	36.00000
3.22142E+00	-7.03280E-01	37.00000
3.22091E+00	-7.11017E-01	38.00000
3.22043E+00	-7.16491E-01	39.00000
3.21993E+00	-7.23097E-01	40.00000
3.21942E+00	-7.30925E-01	41.00000
3.21892E+00	-7.37312E-01	42.00000
3.21844E+00	-7.42465E-01	43.00000
3.21794E+00	-7.49602E-01	44.00000
3.21742E+00	-7.57423E-01	45.00000
3.21694E+00	-7.62960E-01	46.00000
3.21646E+00	-7.68393E-01	47.00000
3.21594E+00	-7.75833E-01	48.00000
3.21543E+00	-7.83081E-01	49.00000
3.21495E+00	-7.88126E-01	50.00000
3.21445E+00	-7.94513E-01	51.00000
3.21394E+00	-8.02052E-01	52.00000
3.21344E+00	-8.07874E-01	53.00000
3.21296E+00	-8.12992E-01	54.00000
3.21245E+00	-8.20091E-01	55.00000
3.21194E+00	-8.27136E-01	56.00000
3.21147E+00	-8.31816E-01	57.00000
3.21098E+00	-8.37224E-01	58.00000
3.21046E+00	-8.44552E-01	59.00000
3.20996E+00	-8.50791E-01	60.00000
3.20949E+00	-8.55447E-01	61.00000
3.20898E+00	-8.62325E-01	62.00000
3.20845E+00	-8.69729E-01	63.00000
3.20797E+00	-8.74812E-01	64.00000
3.20749E+00	-8.79660E-01	65.00000
3.20698E+00	-8.86566E-01	66.00000
3.20647E+00	-8.93524E-01	67.00000
3.20599E+00	-8.98244E-01	68.00000
3.20550E+00	-9.04100E-01	69.00000
3.20497E+00	-9.11519E-01	70.00000
3.20447E+00	-9.17395E-01	71.00000
3.20400E+00	-9.21915E-01	72.00000
3.20349E+00	-9.28648E-01	73.00000
3.20298E+00	-9.35776E-01	74.00000
3.20249E+00	-9.40540E-01	75.00000
3.20200E+00	-9.45865E-01	76.00000
3.20148E+00	-9.53062E-01	77.00000
3.20098E+00	-9.59241E-01	78.00000
3.20051E+00	-9.63682E-01	79.00000
3.20001E+00	-9.69990E-01	80.00000
3.19949E+00	-9.77176E-01	81.00000
3.19900E+00	-9.82649E-01	82.00000
3.19852E+00	-9.87618E-01	83.00000
3.19800E+00	-9.94750E-01	84.00000
3.19749E+00	-1.00210E+00	85.00000
3.19700E+00	-1.00718E+00	86.00000
3.19651E+00	-1.01300E+00	87.00000
3.19600E+00	-1.02043E+00	88.00000
3.19550E+00	-1.02673E+00	89.00000
3.19502E+00	-1.03143E+00	90.00000
3.19452E+00	-1.03801E+00	91.00000
3.19400E+00	-1.04531E+00	92.00000
3.19351E+00	-1.05070E+00	93.00000
3.19303E+00	-1.05604E+00	94.00000
3.19252E+00	-1.06342E+00	95.00000
3.19201E+00	-1.07072E+00	96.00000
3.19153E+00	-1.07580E+00	97.00000
3.19104E+00	-1.08202E+00	98.00000
3.19052E+00	-1.08986E+00	99.00000
3.19002E+00	-1.09625E+00	100.00000
3.18955E+00	-1.10141E+00	101.00000
3.18904E+00	-1.10877E+00	102.00000
3.18852E+00	-1.11665E+00	103.00000
3.18804E+00	-1.12232E+00	104.00000
3.18755E+00	-1.12846E+00	105.00000
3.18703E+00	-1.13649E+00	106.00000
3.18653E+00	-1.14380E+00	107.00000
3.18606E+00	-1.14913E+00	108.00000
3.18556E+00	-1.15629E+00	109.00000
3.18504E+00	-1.16452E+00	110.00000
3.18455E+00	-1.17110E+00	111.00000
3.18407E+00	-1.17717E+00	112.00000
3.18356E+00	-1.18525E+00	113.00000
3.18304E+00	-1.19373E+00	114.00000
3.18256E+00	-1.19965E+00	115.00000
3.18207E+00	-1.20673E+00	116.00000
3.18154E+00	-1.21557E+00	117.00000
3.18105E+00	-1.22300E+00	118.00000
3.18058E+00	-1.22890E+00	119.00000
3.18007E+00	-1.23692E+00	120.00000
