E(V)	i(A/cm²)	T(s)
3.04908E+00	-1.76229E-01	0.00000
3.04884E+00	-1.76948E-01	1.00000
3.04833E+00	-1.80833E-01	2.00000
3.04785E+00	-1.83975E-01	3.00000
3.04734E+00	-1.88179E-01	4.00000
3.04682E+00	-1.92888E-01	5.00000
3.04633E+00	-1.96612E-01	6.00000
3.04585E+00	-2.00051E-01	7.00000
3.04534E+00	-2.04402E-01	8.00000
3.04483E+00	-2.08806E-01	9.00000
3.04435E+00	-2.12129E-01	10.00000
3.04386E+00	-2.15954E-01	11.00000
3.04334E+00	-2.20526E-01	12.00000
3.04284E+00	-2.24373E-01	13.00000
3.04236E+00	-2.27593E-01	14.00000
3.04185E+00	-2.31847E-01	15.00000
3.04133E+00	-2.36361E-01	16.00000
3.04085E+00	-2.39597E-01	17.00000
3.04037E+00	-2.42885E-01	18.00000
3.03985E+00	-2.47175E-01	19.00000
3.03934E+00	-2.51106E-01	20.00000
3.03886E+00	-2.54049E-01	21.00000
3.03836E+00	-2.57741E-01	22.00000
3.03784E+00	-2.61862E-01	23.00000
3.03735E+00	-2.65010E-01	24.00000
3.03687E+00	-2.67860E-01	25.00000
3.03636E+00	-2.71731E-01	26.00000
3.03585E+00	-2.75570E-01	27.00000
3.03537E+00	-2.78249E-01	28.00000
3.03488E+00	-2.81288E-01	29.00000
3.03437E+00	-2.85118E-01	30.00000
3.03386E+00	-2.88366E-01	31.00000
3.03339E+00	-2.90839E-01	32.00000
3.03288E+00	-2.94272E-01	33.00000
3.03236E+00	-2.98082E-01	34.00000
3.03187E+00	-3.00847E-01	35.00000
3.03139E+00	-3.03425E-01	36.00000
3.03087E+00	-3.06849E-01	37.00000
3.03036E+00	-3.10124E-01	38.00000
3.02989E+00	-3.12346E-01	39.00000
3.02939E+00	-3.15126E-01	40.00000
3.02887E+00	-3.18617E-01	41.00000
3.02837E+00	-3.21454E-01	42.00000
3.02789E+00	-3.23695E-01	43.00000
3.02738E+00	-3.26823E-01	44.00000
3.02686E+00	-3.30136E-01	45.00000
3.02638E+00	-3.32236E-01	46.00000
3.02590E+00	-3.34451E-01	47.00000
3.02538E+00	-3.37686E-01	48.00000
3.02488E+00	-3.40539E-01	49.00000
3.02440E+00	-3.42399E-01	50.00000
3.02390E+00	-3.45012E-01	51.00000
3.02338E+00	-3.48181E-01	52.00000
3.02289E+00	-3.50462E-01	53.00000
3.02241E+00	-3.52283E-01	54.00000
3.02189E+00	-3.55133E-01	55.00000
3.02138E+00	-3.57989E-01	56.00000
3.02091E+00	-3.59711E-01	57.00000
3.02041E+00	-3.61932E-01	58.00000
3.01989E+00	-3.64862E-01	59.00000
3.01940E+00	-3.67156E-01	60.00000
3.01892E+00	-3.68693E-01	61.00000
3.01841E+00	-3.71160E-01	62.00000
3.01790E+00	-3.74007E-01	63.00000
3.01741E+00	-3.75763E-01	64.00000
3.01693E+00	-3.77441E-01	65.00000
3.01641E+00	-3.80123E-01	66.00000
3.01590E+00	-3.82575E-01	67.00000
3.01543E+00	-3.83912E-01	68.00000
3.01493E+00	-3.85980E-01	69.00000
3.01441E+00	-3.88767E-01	70.00000
3.01392E+00	-3.90711E-01	71.00000
3.01344E+00	-3.92155E-01	72.00000
3.01292E+00	-3.94601E-01	73.00000
