E(V)	i(A/cm²)	T(s)
3.25495E+00	-4.80822E-01	0.00000
3.25470E+00	-4.80526E-01	1.00000
3.25420E+00	-4.85284E-01	2.00000
3.25372E+00	-4.88890E-01	3.00000
3.25321E+00	-4.94649E-01	4.00000
3.25269E+00	-5.01954E-01	5.00000
3.25220E+00	-5.07650E-01	6.00000
3.25172E+00	-5.13177E-01	7.00000
3.25122E+00	-5.20633E-01	8.00000
3.25071E+00	-5.28258E-01	9.00000
3.25023E+00	-5.34268E-01	10.00000
3.24974E+00	-5.41216E-01	11.00000
3.24922E+00	-5.49537E-01	12.00000
3.24873E+00	-5.56807E-01	13.00000
3.24825E+00	-5.62695E-01	14.00000
3.24774E+00	-5.70909E-01	15.00000
3.24721E+00	-5.79974E-01	16.00000
3.24673E+00	-5.86309E-01	17.00000
3.24626E+00	-5.92814E-01	18.00000
3.24574E+00	-6.01218E-01	19.00000
3.24523E+00	-6.09315E-01	20.00000
3.24475E+00	-6.15729E-01	21.00000
3.24426E+00	-6.23203E-01	22.00000
3.24374E+00	-6.31905E-01	23.00000
3.24324E+00	-6.39031E-01	24.00000
3.24276E+00	-6.45135E-01	25.00000
3.24225E+00	-6.53247E-01	26.00000
3.24173E+00	-6.61683E-01	27.00000
3.24125E+00	-6.67672E-01	28.00000
3.24076E+00	-6.74385E-01	29.00000
3.24025E+00	-6.82715E-01	30.00000
3.23974E+00	-6.89934E-01	31.00000
3.23926E+00	-6.95622E-01	32.00000
3.23876E+00	-7.02573E-01	33.00000
3.23825E+00	-7.10356E-01	34.00000
3.23776E+00	-7.16431E-01	35.00000
3.23728E+00	-7.22187E-01	36.00000
3.23676E+00	-7.30050E-01	37.00000
3.23625E+00	-7.37563E-01	38.00000
3.23578E+00	-7.42914E-01	39.00000
3.23528E+00	-7.49379E-01	40.00000
3.23477E+00	-7.57111E-01	41.00000
3.23426E+00	-7.63398E-01	42.00000
3.23379E+00	-7.68106E-01	43.00000
3.23328E+00	-7.74990E-01	44.00000
3.23277E+00	-7.82287E-01	45.00000
3.23229E+00	-7.87403E-01	46.00000
3.23180E+00	-7.92821E-01	47.00000
3.23129E+00	-8.00072E-01	48.00000
3.23078E+00	-8.06811E-01	49.00000
3.23031E+00	-8.11016E-01	50.00000
3.22981E+00	-8.17170E-01	51.00000
3.22929E+00	-8.24815E-01	52.00000
3.22880E+00	-8.30147E-01	53.00000
3.22832E+00	-8.34802E-01	54.00000
3.22780E+00	-8.41652E-01	55.00000
3.22729E+00	-8.48476E-01	56.00000
3.22681E+00	-8.53091E-01	57.00000
3.22631E+00	-8.58585E-01	58.00000
3.22579E+00	-8.65647E-01	59.00000
3.22529E+00	-8.71433E-01	60.00000
3.22482E+00	-8.75550E-01	61.00000
3.22432E+00	-8.81381E-01	62.00000
3.22380E+00	-8.88170E-01	63.00000
3.22331E+00	-8.93156E-01	64.00000
3.22283E+00	-8.97831E-01	65.00000
3.22231E+00	-9.04437E-01	66.00000
3.22181E+00	-9.10516E-01	67.00000
3.22133E+00	-9.14427E-01	68.00000
3.22083E+00	-9.20053E-01	69.00000
3.22031E+00	-9.27136E-01	70.00000
3.21981E+00	-9.32423E-01	71.00000
3.21934E+00	-9.36090E-01	72.00000
3.21884E+00	-9.41817E-01	73.00000
3.21833E+00	-9.48414E-01	74.00000
3.21785E+00	-9.52982E-01	75.00000
3.21736E+00	-9.57874E-01	76.00000
3.21683E+00	-9.64828E-01	77.00000
3.21632E+00	-9.71108E-01	78.00000
3.21585E+00	-9.74960E-01	79.00000
3.21535E+00	-9.80562E-01	80.00000
3.21483E+00	-9.87739E-01	81.00000
3.21433E+00	-9.93034E-01	82.00000
3.21386E+00	-9.96981E-01	83.00000
3.21335E+00	-1.00319E+00	84.00000
3.21283E+00	-1.00982E+00	85.00000
3.21235E+00	-1.01415E+00	86.00000
3.21186E+00	-1.01936E+00	87.00000
3.21135E+00	-1.02579E+00	88.00000
3.21085E+00	-1.03138E+00	89.00000
3.21037E+00	-1.03590E+00	90.00000
3.20987E+00	-1.04224E+00	91.00000
3.20935E+00	-1.04921E+00	92.00000
3.20887E+00	-1.05396E+00	93.00000
3.20838E+00	-1.05886E+00	94.00000
3.20787E+00	-1.06564E+00	95.00000
3.20737E+00	-1.07196E+00	96.00000
3.20689E+00	-1.07669E+00	97.00000
3.20639E+00	-1.08293E+00	98.00000
3.20586E+00	-1.09036E+00	99.00000
3.20537E+00	-1.09609E+00	100.00000
3.20490E+00	-1.10071E+00	101.00000
3.20439E+00	-1.10738E+00	102.00000
3.20387E+00	-1.11473E+00	103.00000
3.20339E+00	-1.12013E+00	104.00000
3.20290E+00	-1.12596E+00	105.00000
3.20239E+00	-1.13327E+00	106.00000
3.20188E+00	-1.14005E+00	107.00000
3.20140E+00	-1.14549E+00	108.00000
3.20090E+00	-1.15206E+00	109.00000
3.20038E+00	-1.15956E+00	110.00000
3.19989E+00	-1.16551E+00	111.00000
3.19941E+00	-1.17105E+00	112.00000
3.19890E+00	-1.17853E+00	113.00000
3.19839E+00	-1.18616E+00	114.00000
3.19791E+00	-1.19180E+00	115.00000
3.19741E+00	-1.19849E+00	116.00000
3.19689E+00	-1.20649E+00	117.00000
3.19640E+00	-1.21319E+00	118.00000
3.19592E+00	-1.21909E+00	119.00000
