E(V)	i(A/cm²)	T(s)
3.01449E+00	-1.22077E-01	0.00000
3.01425E+00	-1.23171E-01	1.00000
3.01374E+00	-1.26949E-01	2.00000
3.01326E+00	-1.30095E-01	3.00000
3.01275E+00	-1.33942E-01	4.00000
3.01223E+00	-1.37986E-01	5.00000
3.01175E+00	-1.41221E-01	6.00000
3.01127E+00	-1.44413E-01	7.00000
3.01075E+00	-1.48317E-01	8.00000
3.01024E+00	-1.52124E-01	9.00000
3.00976E+00	-1.55117E-01	10.00000
3.00927E+00	-1.58544E-01	11.00000
3.00875E+00	-1.62419E-01	12.00000
3.00825E+00	-1.65606E-01	13.00000
3.00777E+00	-1.68381E-01	14.00000
3.00726E+00	-1.71960E-01	15.00000
3.00674E+00	-1.75603E-01	16.00000
3.00626E+00	-1.78327E-01	17.00000
3.00578E+00	-1.81169E-01	18.00000
3.00526E+00	-1.84642E-01	19.00000
3.00475E+00	-1.87798E-01	20.00000
3.00427E+00	-1.90249E-01	21.00000
3.00377E+00	-1.93315E-01	22.00000
3.00325E+00	-1.96724E-01	23.00000
3.00276E+00	-1.99306E-01	24.00000
3.00228E+00	-2.01573E-01	25.00000
3.00177E+00	-2.04639E-01	26.00000
3.00125E+00	-2.07748E-01	27.00000
3.00077E+00	-2.09991E-01	28.00000
3.00028E+00	-2.12505E-01	29.00000
2.99977E+00	-2.15480E-01	30.00000
2.99927E+00	-2.17910E-01	31.00000
2.99880E+00	-2.19807E-01	32.00000
2.99829E+00	-2.22490E-01	33.00000
2.99777E+00	-2.25423E-01	34.00000
2.99729E+00	-2.27479E-01	35.00000
2.99681E+00	-2.29462E-01	36.00000
2.99629E+00	-2.32197E-01	37.00000
2.99578E+00	-2.34768E-01	38.00000
2.99530E+00	-2.36481E-01	39.00000
2.99481E+00	-2.38697E-01	40.00000
2.99429E+00	-2.41373E-01	41.00000
2.99380E+00	-2.43433E-01	42.00000
2.99332E+00	-2.45124E-01	43.00000
