E(V)	i(A/cm²)	T(s)
2.92160E+00	-2.01000E-01	0.00000
2.92136E+00	-2.00410E-01	1.00000
2.92086E+00	-2.02481E-01	2.00000
2.92039E+00	-2.03526E-01	3.00000
2.91988E+00	-2.05869E-01	4.00000
2.91936E+00	-2.08861E-01	5.00000
2.91887E+00	-2.10554E-01	6.00000
2.91839E+00	-2.12120E-01	7.00000
2.91788E+00	-2.14936E-01	8.00000
2.91737E+00	-2.17641E-01	9.00000
2.91689E+00	-2.19065E-01	10.00000
2.91639E+00	-2.21242E-01	11.00000
2.91587E+00	-2.24190E-01	12.00000
2.91537E+00	-2.26125E-01	13.00000
2.91489E+00	-2.27270E-01	14.00000
2.91438E+00	-2.29570E-01	15.00000
2.91386E+00	-2.32158E-01	16.00000
2.91339E+00	-2.33256E-01	17.00000
2.91291E+00	-2.34486E-01	18.00000
2.91239E+00	-2.36817E-01	19.00000
2.91188E+00	-2.38743E-01	20.00000
2.91141E+00	-2.39440E-01	21.00000
2.91090E+00	-2.41182E-01	22.00000
2.91038E+00	-2.43541E-01	23.00000
2.90989E+00	-2.44768E-01	24.00000
2.90941E+00	-2.45436E-01	25.00000
2.90890E+00	-2.47228E-01	26.00000
2.90839E+00	-2.49088E-01	27.00000
2.90791E+00	-2.49708E-01	28.00000
2.90742E+00	-2.50731E-01	29.00000
2.90690E+00	-2.52523E-01	30.00000
2.90640E+00	-2.53707E-01	31.00000
2.90592E+00	-2.54101E-01	32.00000
2.90541E+00	-2.55500E-01	33.00000
2.90489E+00	-2.57119E-01	34.00000
2.90441E+00	-2.57670E-01	35.00000
2.90393E+00	-2.58037E-01	36.00000
2.90342E+00	-2.59413E-01	37.00000
2.90290E+00	-2.60547E-01	38.00000
2.90243E+00	-2.60925E-01	39.00000
2.90193E+00	-2.61739E-01	40.00000
2.90141E+00	-2.63051E-01	41.00000
2.90092E+00	-2.63547E-01	42.00000
2.90044E+00	-2.63712E-01	43.00000
2.89993E+00	-2.64713E-01	44.00000
2.89941E+00	-2.65790E-01	45.00000
2.89893E+00	-2.66149E-01	46.00000
2.89845E+00	-2.66433E-01	47.00000
2.89794E+00	-2.67446E-01	48.00000
2.89743E+00	-2.68061E-01	49.00000
2.89695E+00	-2.68266E-01	50.00000
2.89644E+00	-2.69188E-01	51.00000
2.89592E+00	-2.70240E-01	52.00000
2.89543E+00	-2.70283E-01	53.00000
2.89495E+00	-2.70297E-01	54.00000
2.89444E+00	-2.71000E-01	55.00000
2.89393E+00	-2.71539E-01	56.00000
2.89345E+00	-2.71718E-01	57.00000
2.89296E+00	-2.72147E-01	58.00000
2.89244E+00	-2.72897E-01	59.00000
2.89194E+00	-2.72866E-01	60.00000
2.89147E+00	-2.73041E-01	61.00000
2.89096E+00	-2.73709E-01	62.00000
2.89044E+00	-2.74201E-01	63.00000
