E(V)	i(A/cm²)	T(s)
2.95544E+00	-1.46692E-01	0.00000
2.95519E+00	-1.47603E-01	1.00000
2.95468E+00	-1.51132E-01	2.00000
2.95420E+00	-1.53839E-01	3.00000
2.95369E+00	-1.57390E-01	4.00000
2.95317E+00	-1.61255E-01	5.00000
2.95268E+00	-1.64189E-01	6.00000
2.95220E+00	-1.66970E-01	7.00000
2.95169E+00	-1.70546E-01	8.00000
2.95119E+00	-1.74056E-01	9.00000
2.95071E+00	-1.76613E-01	10.00000
2.95021E+00	-1.79652E-01	11.00000
2.94969E+00	-1.83266E-01	12.00000
2.94919E+00	-1.86153E-01	13.00000
2.94872E+00	-1.88434E-01	14.00000
2.94821E+00	-1.91535E-01	15.00000
2.94769E+00	-1.94835E-01	16.00000
2.94721E+00	-1.97181E-01	17.00000
2.94672E+00	-1.99549E-01	18.00000
2.94620E+00	-2.02589E-01	19.00000
2.94569E+00	-2.05405E-01	20.00000
2.94522E+00	-2.07399E-01	21.00000
2.94471E+00	-2.10014E-01	22.00000
2.94419E+00	-2.13016E-01	23.00000
2.94370E+00	-2.15120E-01	24.00000
2.94323E+00	-2.16863E-01	25.00000
2.94272E+00	-2.19478E-01	26.00000
2.94220E+00	-2.22205E-01	27.00000
2.94172E+00	-2.23924E-01	28.00000
2.94123E+00	-2.25859E-01	29.00000
2.94071E+00	-2.28443E-01	30.00000
2.94021E+00	-2.30556E-01	31.00000
2.93974E+00	-2.31935E-01	32.00000
2.93923E+00	-2.34144E-01	33.00000
2.93871E+00	-2.36663E-01	34.00000
2.93822E+00	-2.38163E-01	35.00000
2.93775E+00	-2.39587E-01	36.00000
2.93723E+00	-2.41911E-01	37.00000
2.93672E+00	-2.44020E-01	38.00000
2.93624E+00	-2.45172E-01	39.00000
2.93574E+00	-2.46958E-01	40.00000
2.93522E+00	-2.49208E-01	41.00000
2.93472E+00	-2.50740E-01	42.00000
2.93424E+00	-2.51806E-01	43.00000
2.93374E+00	-2.53591E-01	44.00000
2.93322E+00	-2.55566E-01	45.00000
2.93274E+00	-2.56561E-01	46.00000
2.93226E+00	-2.57703E-01	47.00000
2.93174E+00	-2.59717E-01	48.00000
2.93123E+00	-2.61321E-01	49.00000
2.93076E+00	-2.62076E-01	50.00000
2.93026E+00	-2.63539E-01	51.00000
2.92974E+00	-2.65408E-01	52.00000
2.92925E+00	-2.66421E-01	53.00000
2.92878E+00	-2.67080E-01	54.00000
2.92826E+00	-2.68646E-01	55.00000
2.92775E+00	-2.70311E-01	56.00000
2.92727E+00	-2.70975E-01	57.00000
2.92678E+00	-2.71955E-01	58.00000
2.92626E+00	-2.73684E-01	59.00000
2.92575E+00	-2.74964E-01	60.00000
2.92527E+00	-2.75486E-01	61.00000
2.92476E+00	-2.76807E-01	62.00000
2.92425E+00	-2.78331E-01	63.00000
2.92377E+00	-2.78907E-01	64.00000
2.92328E+00	-2.79534E-01	65.00000
2.92277E+00	-2.80934E-01	66.00000
2.92226E+00	-2.81992E-01	67.00000
2.92179E+00	-2.82345E-01	68.00000
2.92130E+00	-2.83174E-01	69.00000
2.92078E+00	-2.84642E-01	70.00000
2.92028E+00	-2.85459E-01	71.00000
2.91980E+00	-2.85842E-01	72.00000
2.91930E+00	-2.86920E-01	73.00000
2.91878E+00	-2.88094E-01	74.00000
2.91830E+00	-2.88486E-01	75.00000
2.91781E+00	-2.89137E-01	76.00000
2.91729E+00	-2.90277E-01	77.00000
2.91679E+00	-2.91009E-01	78.00000
2.91631E+00	-2.91252E-01	79.00000
2.91581E+00	-2.92153E-01	80.00000
2.91529E+00	-2.93300E-01	81.00000
2.91480E+00	-2.93839E-01	82.00000
2.91432E+00	-2.94022E-01	83.00000
2.91380E+00	-2.94910E-01	84.00000
