Freq(Hz)	Ampl(mV)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+04	10	3.29671573638916	6.79668E+00	1.17435E-01	4.55940E-02	1.25976E-01	21.2186	0
7.91234E+03	10	3.29671573638916	8.33280E+00	1.17418E-01	3.54518E-02	1.22653E-01	16.8006	0
6.26052E+03	10	3.29671573638916	9.90506E+00	1.17590E-01	2.72921E-02	1.20716E-01	13.0667	0
4.95354E+03	10	3.29671573638916	1.15348E+01	1.17871E-01	2.14071E-02	1.19799E-01	10.2936	0
3.91941E+03	10	3.29671573638916	1.32595E+01	1.18158E-01	1.63343E-02	1.19282E-01	7.87075	0
3.10117E+03	10	3.29671573638916	1.50595E+01	1.18474E-01	1.24233E-02	1.19124E-01	5.98619	0
2.45375E+03	10	3.29671573638916	1.69840E+01	1.18780E-01	9.23610E-03	1.19139E-01	4.44625	0
1.94149E+03	10	3.29671573638916	1.86107E+01	1.19060E-01	6.89999E-03	1.19259E-01	3.31681	0
1.53618E+03	10	3.29671573638916	2.03711E+01	1.19431E-01	4.87554E-03	1.19531E-01	2.33769	0
1.21547E+03	10	3.29671573638916	2.22991E+01	1.19774E-01	3.27067E-03	1.19819E-01	1.56418	0
9.61725E+02	10	3.29671573638916	2.37882E+01	1.20089E-01	2.06115E-03	1.20107E-01	0.983301	0
7.60950E+02	10	3.29671573638916	2.54087E+01	1.20420E-01	1.07483E-03	1.20424E-01	0.511393	0
6.02090E+02	10	3.29671573638916	2.72120E+01	1.20741E-01	2.59681E-04	1.20742E-01	0.123227	0
4.76394E+02	10	3.29671573638916	2.91853E+01	1.21094E-01	-4.01195E-04	1.21095E-01	-0.189824	0
3.76939E+02	10	3.29671573638916	3.14192E+01	1.21439E-01	-9.32799E-04	1.21442E-01	-0.440093	0
2.98247E+02	10	3.29671573638916	3.39708E+01	1.21797E-01	-1.37237E-03	1.21804E-01	-0.645565	0
2.35983E+02	10	3.29671573638916	3.75702E+01	1.23053E-01	-1.73334E-03	1.23066E-01	-0.807018	0
1.86718E+02	10	3.29671573638916	4.09387E+01	1.23447E-01	-2.04396E-03	1.23463E-01	-0.948586	0
1.47738E+02	10	3.29671573638916	4.41346E+01	1.23862E-01	-2.31761E-03	1.23884E-01	-1.07195	0
1.16895E+02	10	3.29671573638916	4.79445E+01	1.24248E-01	-2.55312E-03	1.24274E-01	-1.17718	0
9.24915E+01	10	3.29671573638916	4.94150E+01	1.24593E-01	-2.61071E-03	1.24620E-01	-1.2004	0
7.31824E+01	10	3.29671573638916	5.09380E+01	1.25079E-01	-2.69959E-03	1.25109E-01	-1.23642	0
5.79045E+01	10	3.29671573638916	5.26307E+01	1.25558E-01	-2.76481E-03	1.25588E-01	-1.26146	0
4.58160E+01	10	3.29671573638916	5.36374E+01	1.26069E-01	-2.72356E-03	1.26098E-01	-1.23761	0
3.62512E+01	10	3.29671573638916	5.46907E+01	1.26510E-01	-2.74607E-03	1.26540E-01	-1.24348	0
2.86832E+01	10	3.29671573638916	5.59046E+01	1.26783E-01	-2.78403E-03	1.26814E-01	-1.25795	0
2.26951E+01	10	3.29671573638916	5.71007E+01	1.27235E-01	-2.66880E-03	1.27263E-01	-1.20163	0
1.79572E+01	10	3.29671573638916	5.84019E+01	1.27671E-01	-2.56202E-03	1.27697E-01	-1.14962	0
1.42083E+01	10	3.29671573638916	5.98117E+01	1.28020E-01	-2.45016E-03	1.28043E-01	-1.09644	0
1.12421E+01	10	3.29671573638916	6.14058E+01	1.28363E-01	-2.35894E-03	1.28384E-01	-1.05282	0
8.89514E+00	10	3.29671573638916	6.25842E+01	1.28702E-01	-2.25369E-03	1.28722E-01	-1.0032	0
7.03814E+00	10	3.29671573638916	6.38767E+01	1.28962E-01	-2.16277E-03	1.28980E-01	-0.960795	0
5.56882E+00	10	3.29671573638916	6.52860E+01	1.29264E-01	-2.10286E-03	1.29281E-01	-0.932002	0
4.40624E+00	10	3.29671573638916	6.68146E+01	1.29536E-01	-2.05459E-03	1.29553E-01	-0.9087	0
3.48637E+00	10	3.29671573638916	6.85549E+01	1.29811E-01	-1.95470E-03	1.29826E-01	-0.862693	0
2.75853E+00	10	3.29671573638916	7.05421E+01	1.30048E-01	-1.84708E-03	1.30061E-01	-0.813724	0
2.18265E+00	10	3.29671573638916	7.28215E+01	1.30313E-01	-1.77515E-03	1.30325E-01	-0.780447	0
1.72698E+00	10	3.29671573638916	7.54998E+01	1.30508E-01	-1.72313E-03	1.30520E-01	-0.756445	0
1.36645E+00	10	3.29671573638916	7.86425E+01	1.30654E-01	-1.71661E-03	1.30665E-01	-0.752746	0
1.08118E+00	10	3.29671573638916	8.24186E+01	1.30861E-01	-1.77939E-03	1.30873E-01	-0.779032	0
8.55468E-01	10	3.29671573638916	8.69493E+01	1.31087E-01	-1.70002E-03	1.31098E-01	-0.743006	0
6.76875E-01	10	3.29671573638916	9.24752E+01	1.31239E-01	-1.66180E-03	1.31250E-01	-0.72546	0
