Freq(Hz)	Ampl(mV)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+04	10	3.30753922462463	6.39839E+00	1.20646E-01	4.78583E-02	1.29792E-01	21.6374	0
7.91234E+03	10	3.30753922462463	7.93756E+00	1.19384E-01	3.68364E-02	1.24938E-01	17.1478	0
6.26052E+03	10	3.30753922462463	9.50559E+00	1.18813E-01	2.82707E-02	1.22130E-01	13.3842	0
4.95354E+03	10	3.30753922462463	1.11425E+01	1.18605E-01	2.20022E-02	1.20628E-01	10.5094	0
3.91941E+03	10	3.30753922462463	1.28518E+01	1.18619E-01	1.68646E-02	1.19812E-01	8.09176	0
3.10117E+03	10	3.30753922462463	1.46639E+01	1.18745E-01	1.28507E-02	1.19439E-01	6.17656	0
2.45375E+03	10	3.30753922462463	1.65869E+01	1.18980E-01	9.62451E-03	1.19368E-01	4.6247	0
1.94149E+03	10	3.30753922462463	1.82075E+01	1.19268E-01	7.23879E-03	1.19488E-01	3.47322	0
1.53618E+03	10	3.30753922462463	1.99692E+01	1.19598E-01	5.21202E-03	1.19712E-01	2.49534	0
1.21547E+03	10	3.30753922462463	2.18889E+01	1.19919E-01	3.67167E-03	1.19975E-01	1.75373	0
9.61725E+02	10	3.30753922462463	2.33828E+01	1.20780E-01	2.59519E-03	1.20808E-01	1.23092	0
7.60950E+02	10	3.30753922462463	2.50292E+01	1.21071E-01	1.63695E-03	1.21083E-01	0.774624	0
6.02090E+02	10	3.30753922462463	2.67928E+01	1.21427E-01	8.68581E-04	1.21430E-01	0.409835	0
4.76394E+02	10	3.30753922462463	2.87807E+01	1.21735E-01	2.49312E-04	1.21735E-01	0.117341	0
3.76939E+02	10	3.30753922462463	3.10201E+01	1.22062E-01	-2.55867E-04	1.22063E-01	-0.120103	0
2.98247E+02	10	3.30753922462463	3.35638E+01	1.22381E-01	-6.80898E-04	1.22383E-01	-0.318777	0
2.35983E+02	10	3.30753922462463	3.71495E+01	1.23632E-01	-9.55688E-04	1.23636E-01	-0.442892	0
1.86718E+02	10	3.30753922462463	4.05148E+01	1.23931E-01	-1.23491E-03	1.23937E-01	-0.570907	0
1.47738E+02	10	3.30753922462463	4.37177E+01	1.24372E-01	-1.46979E-03	1.24381E-01	-0.677071	0
