Freq(Hz)	Ampl(mV)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+04	10	3.31425523757935	5.42606E+00	1.53322E-01	6.97584E-02	1.68445E-01	24.4646	1
7.91234E+03	10	3.31425523757935	8.01548E+00	1.15306E-01	3.87943E-02	1.21658E-01	18.5953	0
6.26052E+03	10	3.31425523757935	9.60540E+00	1.14412E-01	3.02282E-02	1.18338E-01	14.7996	0
4.95354E+03	10	3.31425523757935	1.12297E+01	1.13906E-01	2.39289E-02	1.16392E-01	11.864	0
3.91941E+03	10	3.31425523757935	1.29358E+01	1.13631E-01	1.88038E-02	1.15177E-01	9.39621	0
3.10117E+03	10	3.31425523757935	1.47501E+01	1.13465E-01	1.47242E-02	1.14416E-01	7.39387	0
2.45375E+03	10	3.31425523757935	1.66749E+01	1.13405E-01	1.14048E-02	1.13977E-01	5.74272	0
1.94149E+03	10	3.31425523757935	1.82851E+01	1.13426E-01	8.94380E-03	1.13778E-01	4.50852	0
1.53618E+03	10	3.31425523757935	2.00556E+01	1.13474E-01	6.79856E-03	1.13678E-01	3.42865	0
1.21547E+03	10	3.31425523757935	2.19658E+01	1.13557E-01	5.19316E-03	1.13676E-01	2.61841	0
9.61725E+02	10	3.31425523757935	2.34618E+01	1.14213E-01	4.05411E-03	1.14285E-01	2.03291	0
7.60950E+02	10	3.31425523757935	2.50989E+01	1.14317E-01	3.02801E-03	1.14357E-01	1.51729	0
6.02090E+02	10	3.31425523757935	2.68875E+01	1.14444E-01	2.22015E-03	1.14465E-01	1.11137	0
4.76394E+02	10	3.31425523757935	2.88515E+01	1.14549E-01	1.57159E-03	1.14560E-01	0.786037	0
3.76939E+02	10	3.31425523757935	3.10880E+01	1.14684E-01	9.94381E-04	1.14688E-01	0.496779	0
2.98247E+02	10	3.31425523757935	3.36381E+01	1.14835E-01	5.57251E-04	1.14837E-01	0.278032	0
2.35983E+02	10	3.31425523757935	3.72286E+01	1.15812E-01	2.51207E-04	1.15813E-01	0.124279	0
1.86718E+02	10	3.31425523757935	4.05990E+01	1.15956E-01	-3.34812E-05	1.15956E-01	-0.0165436	0
1.47738E+02	10	3.31425523757935	4.37966E+01	1.16156E-01	-3.04822E-04	1.16156E-01	-0.150358	0
1.16895E+02	10	3.31425523757935	4.76087E+01	1.16367E-01	-5.64789E-04	1.16368E-01	-0.278084	0
9.24915E+01	10	3.31425523757935	4.91223E+01	1.16275E-01	-3.15057E-04	1.16275E-01	-0.155248	0
7.31824E+01	10	3.31425523757935	5.05963E+01	1.16426E-01	-4.21700E-04	1.16427E-01	-0.207526	0
5.79045E+01	10	3.31425523757935	5.22997E+01	1.16591E-01	-5.19881E-04	1.16592E-01	-0.255482	0
4.58160E+01	10	3.31425523757935	5.33116E+01	1.16682E-01	-6.01431E-04	1.16683E-01	-0.295326	0
3.62512E+01	10	3.31425523757935	5.43563E+01	1.16723E-01	-5.67651E-04	1.16724E-01	-0.278642	0
2.86832E+01	10	3.31425523757935	5.55754E+01	1.16455E-01	-1.00074E-03	1.16459E-01	-0.492352	0
2.26951E+01	10	3.31425523757935	5.67971E+01	1.16812E-01	-8.25994E-04	1.16815E-01	-0.405139	0
1.79572E+01	10	3.31425523757935	5.80694E+01	1.17019E-01	-7.80357E-04	1.17022E-01	-0.382078	0
1.42083E+01	10	3.31425523757935	5.94827E+01	1.17117E-01	-6.94779E-04	1.17119E-01	-0.339896	0
1.12421E+01	10	3.31425523757935	6.10630E+01	1.17289E-01	-6.46263E-04	1.17290E-01	-0.315698	0
8.89514E+00	10	3.31425523757935	6.22521E+01	1.17102E-01	-6.45002E-04	1.17104E-01	-0.315584	0
7.03814E+00	10	3.31425523757935	6.35505E+01	1.17152E-01	-6.66984E-04	1.17153E-01	-0.326201	0
5.56882E+00	10	3.31425523757935	6.49511E+01	1.17274E-01	-5.53151E-04	1.17275E-01	-0.270247	0
4.40624E+00	10	3.31425523757935	6.64955E+01	1.17357E-01	-5.42619E-04	1.17358E-01	-0.264915	0
3.48637E+00	10	3.31425523757935	6.82307E+01	1.17409E-01	-5.43720E-04	1.17410E-01	-0.265335	0
2.75853E+00	10	3.31425523757935	7.02061E+01	1.17505E-01	-5.41541E-04	1.17506E-01	-0.264055	0
2.18265E+00	10	3.31425523757935	7.25009E+01	1.17513E-01	-5.43725E-04	1.17514E-01	-0.265103	0
1.72698E+00	10	3.31425523757935	7.51710E+01	1.17582E-01	-5.33313E-04	1.17583E-01	-0.259873	0
1.36645E+00	10	3.31425523757935	7.83204E+01	1.17627E-01	-5.79080E-04	1.17629E-01	-0.282066	0
1.08118E+00	10	3.31425523757935	8.20841E+01	1.17699E-01	-6.42731E-04	1.17701E-01	-0.312878	0
8.55468E-01	10	3.31425523757935	8.66472E+01	1.17773E-01	-6.53182E-04	1.17775E-01	-0.317766	0
6.76875E-01	10	3.31425523757935	9.21924E+01	1.17841E-01	-7.08123E-04	1.17843E-01	-0.344294	0
5.35567E-01	10	3.31425523757935	9.89126E+01	1.17920E-01	-8.35054E-04	1.17923E-01	-0.405736	0
4.23759E-01	10	3.31425523757935	1.07206E+02	1.17982E-01	-9.22532E-04	1.17986E-01	-0.447999	0
3.35293E-01	10	3.31425523757935	1.17469E+02	1.18081E-01	-1.02486E-03	1.18086E-01	-0.497272	0
2.65295E-01	10	3.31425523757935	1.26116E+02	1.18183E-01	-1.11307E-03	1.18189E-01	-0.539605	0
2.09910E-01	10	3.31425523757935	1.36715E+02	1.18315E-01	-1.30797E-03	1.18322E-01	-0.633381	0
1.66088E-01	10	3.31425523757935	1.49857E+02	1.18445E-01	-1.51980E-03	1.18455E-01	-0.735135	0
1.31415E-01	10	3.31425523757935	1.66211E+02	1.18573E-01	-1.73294E-03	1.18586E-01	-0.837314	0
1.03980E-01	10	3.31425523757935	1.86676E+02	1.18710E-01	-2.01617E-03	1.18728E-01	-0.973012	0
8.22724E-02	10	3.31425523757935	1.99829E+02	1.18868E-01	-2.33102E-03	1.18891E-01	-1.12343	0
6.50968E-02	10	3.31425523757935	2.16210E+02	1.19175E-01	-2.78705E-03	1.19208E-01	-1.33968	0
5.15068E-02	10	3.31425523757935	2.36700E+02	1.19392E-01	-3.26398E-03	1.19437E-01	-1.56598	0
4.07539E-02	10	3.31425523757935	2.62330E+02	1.19701E-01	-3.90271E-03	1.19764E-01	-1.86741	0
3.22459E-02	10	3.31425523757935	2.94518E+02	1.20027E-01	-4.56186E-03	1.20114E-01	-2.17658	0
2.55141E-02	10	3.31425523757935	3.34978E+02	1.20629E-01	-5.39066E-03	1.20749E-01	-2.55874	0
2.01876E-02	10	3.31425523757935	3.85863E+02	1.21201E-01	-6.44263E-03	1.21373E-01	-3.04277	0
1.59731E-02	10	3.31425523757935	4.49965E+02	1.21921E-01	-7.46733E-03	1.22149E-01	-3.50483	0
1.26385E-02	10	3.31425523757935	5.30653E+02	1.22699E-01	-8.78799E-03	1.23013E-01	-4.09667	0
1.00000E-02	10	3.31425523757935	6.32405E+02	1.23802E-01	-1.01968E-02	1.24221E-01	-4.70848	0
