Freq(Hz)	Ampl(mV)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+04	10	3.26526856422424	6.33571E+00	1.17742E-01	4.48059E-02	1.25979E-01	20.8339	0
7.91234E+03	10	3.26526856422424	7.87966E+00	1.18152E-01	3.46291E-02	1.23122E-01	16.3352	0
6.26052E+03	10	3.26526856422424	9.47147E+00	1.18617E-01	2.64791E-02	1.21536E-01	12.584	0
4.95354E+03	10	3.26526856422424	1.10917E+01	1.19028E-01	2.05286E-02	1.20786E-01	9.78544	0
3.91941E+03	10	3.26526856422424	1.28000E+01	1.19495E-01	1.54150E-02	1.20485E-01	7.35067	0
3.10117E+03	10	3.26526856422424	1.45894E+01	1.19979E-01	1.14634E-02	1.20526E-01	5.45777	0
2.45375E+03	10	3.26526856422424	1.65216E+01	1.20458E-01	8.27719E-03	1.20742E-01	3.93085	0
1.94149E+03	10	3.26526856422424	1.81636E+01	1.20891E-01	5.90033E-03	1.21035E-01	2.79423	0
1.53618E+03	10	3.26526856422424	1.99237E+01	1.21467E-01	3.82722E-03	1.21527E-01	1.8047	0
1.21547E+03	10	3.26526856422424	2.18164E+01	1.21944E-01	2.26214E-03	1.21965E-01	1.06275	0
9.61725E+02	10	3.26526856422424	2.33153E+01	1.22397E-01	1.01719E-03	1.22401E-01	0.47615	0
7.60950E+02	10	3.26526856422424	2.49297E+01	1.22941E-01	-2.23114E-05	1.22941E-01	-0.010398	0
6.02090E+02	10	3.26526856422424	2.67364E+01	1.23441E-01	-8.55519E-04	1.23443E-01	-0.397089	0
4.76394E+02	10	3.26526856422424	2.86978E+01	1.23977E-01	-1.52579E-03	1.23986E-01	-0.705108	0
3.76939E+02	10	3.26526856422424	3.09537E+01	1.24485E-01	-2.08201E-03	1.24503E-01	-0.958177	0
2.98247E+02	10	3.26526856422424	3.34803E+01	1.25046E-01	-2.58389E-03	1.25072E-01	-1.18377	0
2.35983E+02	10	3.26526856422424	3.70480E+01	1.26434E-01	-2.96774E-03	1.26468E-01	-1.34464	0
1.86718E+02	10	3.26526856422424	4.04348E+01	1.26996E-01	-3.33055E-03	1.27039E-01	-1.50228	0
1.47738E+02	10	3.26526856422424	4.36446E+01	1.27584E-01	-3.66730E-03	1.27637E-01	-1.64646	0
1.16895E+02	10	3.26526856422424	4.74405E+01	1.28214E-01	-3.94729E-03	1.28274E-01	-1.7634	0
9.24915E+01	10	3.26526856422424	4.89358E+01	1.28816E-01	-4.11052E-03	1.28881E-01	-1.82769	0
7.31824E+01	10	3.26526856422424	5.04405E+01	1.29528E-01	-4.30616E-03	1.29600E-01	-1.9041	0
5.79045E+01	10	3.26526856422424	5.21321E+01	1.30274E-01	-4.41291E-03	1.30349E-01	-1.9401	0
