Freq(Hz)	Ampl(mV)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+04	10	3.29356646537781	6.25251E+00	1.10706E-01	4.71969E-02	1.20347E-01	23.0898	0
7.91234E+03	10	3.29356646537781	7.79413E+00	1.10191E-01	3.72190E-02	1.16307E-01	18.6633	0
6.26052E+03	10	3.29356646537781	9.35868E+00	1.09835E-01	2.90972E-02	1.13624E-01	14.8378	0
4.95354E+03	10	3.29356646537781	1.10021E+01	1.09774E-01	2.30634E-02	1.12171E-01	11.8652	0
3.91941E+03	10	3.29356646537781	1.27053E+01	1.09708E-01	1.81254E-02	1.11196E-01	9.38133	0
3.10117E+03	10	3.29356646537781	1.45181E+01	1.09718E-01	1.41483E-02	1.10626E-01	7.34785	0
2.45375E+03	10	3.29356646537781	1.64574E+01	1.09764E-01	1.09538E-02	1.10310E-01	5.69888	0
1.94149E+03	10	3.29356646537781	1.80581E+01	1.09769E-01	8.56667E-03	1.10103E-01	4.46248	0
1.53618E+03	10	3.29356646537781	1.98279E+01	1.09920E-01	6.46367E-03	1.10110E-01	3.3653	0
1.21547E+03	10	3.29356646537781	2.17356E+01	1.10019E-01	4.91498E-03	1.10129E-01	2.55792	0
9.61725E+02	10	3.29356646537781	2.32287E+01	1.10088E-01	3.66379E-03	1.10149E-01	1.90613	0
7.60950E+02	10	3.29356646537781	2.48532E+01	1.10209E-01	2.60771E-03	1.10240E-01	1.35545	0
6.02090E+02	10	3.29356646537781	2.66413E+01	1.10383E-01	1.77048E-03	1.10397E-01	0.918908	0
4.76394E+02	10	3.29356646537781	2.86300E+01	1.10552E-01	1.09839E-03	1.10557E-01	0.569246	0
3.76939E+02	10	3.29356646537781	3.08670E+01	1.10714E-01	5.24188E-04	1.10715E-01	0.271272	0
2.98247E+02	10	3.29356646537781	3.34133E+01	1.10911E-01	6.12327E-05	1.10911E-01	0.0316325	0
2.35983E+02	10	3.29356646537781	3.69878E+01	1.12000E-01	-2.72639E-04	1.12001E-01	-0.139473	0
1.86718E+02	10	3.29356646537781	4.03719E+01	1.12185E-01	-5.97704E-04	1.12186E-01	-0.305261	0
1.47738E+02	10	3.29356646537781	4.35724E+01	1.12453E-01	-8.54250E-04	1.12457E-01	-0.435238	0
1.16895E+02	10	3.29356646537781	4.73701E+01	1.12721E-01	-1.06224E-03	1.12726E-01	-0.539915	0
9.24915E+01	10	3.29356646537781	4.88427E+01	1.12902E-01	-1.19109E-03	1.12908E-01	-0.604434	0
7.31824E+01	10	3.29356646537781	5.03648E+01	1.13133E-01	-1.30126E-03	1.13140E-01	-0.658993	0
5.79045E+01	10	3.29356646537781	5.20644E+01	1.13405E-01	-1.37459E-03	1.13413E-01	-0.694456	0
4.58160E+01	10	3.29356646537781	5.30624E+01	1.13668E-01	-1.46267E-03	1.13678E-01	-0.737235	0
3.62512E+01	10	3.29356646537781	5.41297E+01	1.13917E-01	-1.65477E-03	1.13929E-01	-0.832221	0
2.86832E+01	10	3.29356646537781	5.53414E+01	1.14163E-01	-1.52534E-03	1.14173E-01	-0.76549	0
2.26951E+01	10	3.29356646537781	5.65324E+01	1.14394E-01	-1.61010E-03	1.14405E-01	-0.806391	0
1.79572E+01	10	3.29356646537781	5.78280E+01	1.14676E-01	-1.57648E-03	1.14687E-01	-0.787611	0
1.42083E+01	10	3.29356646537781	5.92516E+01	1.14919E-01	-1.61897E-03	1.14931E-01	-0.807121	0
1.12421E+01	10	3.29356646537781	6.08292E+01	1.15211E-01	-1.54584E-03	1.15222E-01	-0.768719	0
8.89514E+00	10	3.29356646537781	6.20195E+01	1.15424E-01	-1.47746E-03	1.15433E-01	-0.733363	0
7.03814E+00	10	3.29356646537781	6.33005E+01	1.15698E-01	-1.46524E-03	1.15707E-01	-0.725576	0
5.56882E+00	10	3.29356646537781	6.47261E+01	1.15849E-01	-1.37070E-03	1.15857E-01	-0.677882	0
4.40624E+00	10	3.29356646537781	6.62591E+01	1.16039E-01	-1.27707E-03	1.16046E-01	-0.630545	0
3.48637E+00	10	3.29356646537781	6.79929E+01	1.16204E-01	-1.25355E-03	1.16211E-01	-0.618053	0
2.75853E+00	10	3.29356646537781	6.99803E+01	1.16398E-01	-1.19044E-03	1.16404E-01	-0.585962	0
