Freq(Hz)	Ampl(mV)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+04	10	3.33211874961853	5.45365E+00	1.15717E-01	4.99875E-02	1.26053E-01	23.3633	0
7.91234E+03	10	3.33211874961853	6.98694E+00	1.14130E-01	3.90943E-02	1.20640E-01	18.9084	0
6.26052E+03	10	3.33211874961853	8.56551E+00	1.13026E-01	3.04811E-02	1.17064E-01	15.0926	0
4.95354E+03	10	3.33211874961853	1.02362E+01	1.12417E-01	2.41963E-02	1.14991E-01	12.1469	0
3.91941E+03	10	3.33211874961853	1.19092E+01	1.12053E-01	1.89557E-02	1.13645E-01	9.6017	0
3.10117E+03	10	3.33211874961853	1.37079E+01	1.11856E-01	1.48478E-02	1.12837E-01	7.56129	0
2.45375E+03	10	3.33211874961853	1.56476E+01	1.11745E-01	1.15413E-02	1.12340E-01	5.89675	0
1.94149E+03	10	3.33211874961853	1.72734E+01	1.11763E-01	9.08320E-03	1.12131E-01	4.64633	0
1.53618E+03	10	3.33211874961853	1.90230E+01	1.11787E-01	6.93845E-03	1.12002E-01	3.55172	0
1.21547E+03	10	3.33211874961853	2.09460E+01	1.11860E-01	5.35597E-03	1.11988E-01	2.74129	0
9.61725E+02	10	3.33211874961853	2.24762E+01	1.12534E-01	4.19759E-03	1.12613E-01	2.13617	0
7.60950E+02	10	3.33211874961853	2.40996E+01	1.12616E-01	3.17960E-03	1.12660E-01	1.61726	0
6.02090E+02	10	3.33211874961853	2.58461E+01	1.12731E-01	2.36619E-03	1.12756E-01	1.20245	0
4.76394E+02	10	3.33211874961853	2.78378E+01	1.12826E-01	1.74607E-03	1.12839E-01	0.886627	0
3.76939E+02	10	3.33211874961853	3.00689E+01	1.12967E-01	1.20935E-03	1.12974E-01	0.613345	0
2.98247E+02	10	3.33211874961853	3.26187E+01	1.13072E-01	7.89840E-04	1.13075E-01	0.400221	0
2.35983E+02	10	3.33211874961853	3.61959E+01	1.13973E-01	4.87419E-04	1.13974E-01	0.245032	0
1.86718E+02	10	3.33211874961853	3.95684E+01	1.14103E-01	1.79013E-04	1.14103E-01	0.0898895	0
1.47738E+02	10	3.33211874961853	4.27730E+01	1.14262E-01	-7.83849E-05	1.14262E-01	-0.0393056	0
1.16895E+02	10	3.33211874961853	4.65936E+01	1.14433E-01	-2.96181E-04	1.14433E-01	-0.148295	0
9.24915E+01	10	3.33211874961853	4.80512E+01	1.14276E-01	-4.67430E-05	1.14276E-01	-0.0234361	0
7.31824E+01	10	3.33211874961853	4.95721E+01	1.14367E-01	-1.15935E-04	1.14367E-01	-0.0580813	0
5.79045E+01	10	3.33211874961853	5.12712E+01	1.14415E-01	-1.47996E-04	1.14415E-01	-0.074112	0
4.58160E+01	10	3.33211874961853	5.22750E+01	1.14429E-01	-1.96853E-04	1.14429E-01	-0.0985662	0
3.62512E+01	10	3.33211874961853	5.33325E+01	1.14508E-01	-3.56085E-04	1.14509E-01	-0.178172	0
2.86832E+01	10	3.33211874961853	5.45481E+01	1.14232E-01	-6.31223E-04	1.14233E-01	-0.316603	0
2.26951E+01	10	3.33211874961853	5.57424E+01	1.14476E-01	-5.43372E-04	1.14477E-01	-0.271958	0
1.79572E+01	10	3.33211874961853	5.70439E+01	1.14596E-01	-4.98481E-04	1.14597E-01	-0.24923	0
1.42083E+01	10	3.33211874961853	5.84692E+01	1.14738E-01	-4.65296E-04	1.14738E-01	-0.232351	0
1.12421E+01	10	3.33211874961853	6.00353E+01	1.14791E-01	-4.32294E-04	1.14792E-01	-0.215771	0
8.89514E+00	10	3.33211874961853	6.12282E+01	1.14544E-01	-4.08468E-04	1.14544E-01	-0.204319	0
7.03814E+00	10	3.33211874961853	6.25022E+01	1.14578E-01	-4.30190E-04	1.14579E-01	-0.215119	0
5.56882E+00	10	3.33211874961853	6.39142E+01	1.14646E-01	-4.55997E-04	1.14647E-01	-0.227889	0
4.40624E+00	10	3.33211874961853	6.54601E+01	1.14678E-01	-4.84197E-04	1.14679E-01	-0.241914	0
3.48637E+00	10	3.33211874961853	6.72003E+01	1.14712E-01	-4.84007E-04	1.14713E-01	-0.241749	0
2.75853E+00	10	3.33211874961853	6.91870E+01	1.14777E-01	-5.17215E-04	1.14778E-01	-0.258188	0
2.18265E+00	10	3.33211874961853	7.14759E+01	1.14865E-01	-5.69232E-04	1.14866E-01	-0.283937	0
1.72698E+00	10	3.33211874961853	7.41326E+01	1.14940E-01	-5.82474E-04	1.14941E-01	-0.290352	0
1.36645E+00	10	3.33211874961853	7.72900E+01	1.14937E-01	-6.53048E-04	1.14939E-01	-0.325538	0
1.08118E+00	10	3.33211874961853	8.10537E+01	1.15027E-01	-7.02123E-04	1.15029E-01	-0.349729	0
8.55468E-01	10	3.33211874961853	8.56018E+01	1.15123E-01	-7.37622E-04	1.15125E-01	-0.367104	0
6.76875E-01	10	3.33211874961853	9.11183E+01	1.15208E-01	-8.15144E-04	1.15211E-01	-0.405385	0
5.35567E-01	10	3.33211874961853	9.78678E+01	1.15320E-01	-9.56804E-04	1.15324E-01	-0.475369	0
4.23759E-01	10	3.33211874961853	1.06164E+02	1.15397E-01	-1.04453E-03	1.15402E-01	-0.518604	0
3.35293E-01	10	3.33211874961853	1.16428E+02	1.15589E-01	-1.16122E-03	1.15594E-01	-0.575581	0
2.65295E-01	10	3.33211874961853	1.25072E+02	1.15797E-01	-1.26432E-03	1.15804E-01	-0.625551	0
2.09910E-01	10	3.33211874961853	1.35653E+02	1.15904E-01	-1.41902E-03	1.15913E-01	-0.701439	0
1.66088E-01	10	3.33211874961853	1.48792E+02	1.16039E-01	-1.58230E-03	1.16049E-01	-0.781234	0
1.31415E-01	10	3.33211874961853	1.65182E+02	1.16237E-01	-1.78987E-03	1.16251E-01	-0.882197	0
1.03980E-01	10	3.33211874961853	1.85632E+02	1.16393E-01	-2.05174E-03	1.16411E-01	-1.00989	0
8.22724E-02	10	3.33211874961853	1.98776E+02	1.16622E-01	-2.40293E-03	1.16647E-01	-1.18038	0
6.50968E-02	10	3.33211874961853	2.15167E+02	1.16890E-01	-2.78813E-03	1.16923E-01	-1.36639	0
5.15068E-02	10	3.33211874961853	2.35634E+02	1.17175E-01	-3.16837E-03	1.17217E-01	-1.54888	0
4.07539E-02	10	3.33211874961853	2.61285E+02	1.17453E-01	-3.73839E-03	1.17512E-01	-1.82305	0
3.22459E-02	10	3.33211874961853	2.93479E+02	1.17983E-01	-4.31366E-03	1.18062E-01	-2.0939	0
2.55141E-02	10	3.33211874961853	3.33915E+02	1.18350E-01	-5.09569E-03	1.18460E-01	-2.46541	0
2.01876E-02	10	3.33211874961853	3.84820E+02	1.19071E-01	-5.88306E-03	1.19216E-01	-2.82858	0
1.59731E-02	10	3.33211874961853	4.48873E+02	1.19822E-01	-6.74648E-03	1.20012E-01	-3.22258	0
1.26385E-02	10	3.33211874961853	5.29611E+02	1.20687E-01	-7.72473E-03	1.20934E-01	-3.6623	0
1.00000E-02	10	3.33211874961853	6.31364E+02	1.21734E-01	-8.83515E-03	1.22054E-01	-4.15109	0
