Freq(Hz)	Ampl(mV)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+04	10	3.29006743431091	5.90805E+00	1.18618E-01	4.53845E-02	1.27004E-01	20.9374	0
7.91234E+03	10	3.29006743431091	7.45512E+00	1.18903E-01	3.50276E-02	1.23955E-01	16.4144	0
6.26052E+03	10	3.29006743431091	9.01418E+00	1.19210E-01	2.67180E-02	1.22168E-01	12.6327	0
4.95354E+03	10	3.29006743431091	1.06501E+01	1.19725E-01	2.06198E-02	1.21487E-01	9.77201	0
3.91941E+03	10	3.29006743431091	1.23574E+01	1.20196E-01	1.54928E-02	1.21190E-01	7.34472	0
3.10117E+03	10	3.29006743431091	1.41647E+01	1.20721E-01	1.14694E-02	1.21265E-01	5.42722	0
2.45375E+03	10	3.29006743431091	1.60883E+01	1.21224E-01	8.18349E-03	1.21500E-01	3.86201	0
1.94149E+03	10	3.29006743431091	1.77146E+01	1.21687E-01	5.75046E-03	1.21823E-01	2.70557	0
1.53618E+03	10	3.29006743431091	1.94686E+01	1.22290E-01	3.64336E-03	1.22344E-01	1.7065	0
1.21547E+03	10	3.29006743431091	2.13815E+01	1.22834E-01	2.02979E-03	1.22850E-01	0.946711	0
9.61725E+02	10	3.29006743431091	2.28795E+01	1.23360E-01	7.53174E-04	1.23363E-01	0.349814	0
7.60950E+02	10	3.29006743431091	2.45114E+01	1.23881E-01	-2.80086E-04	1.23881E-01	-0.129542	0
6.02090E+02	10	3.29006743431091	2.62930E+01	1.24453E-01	-1.06928E-03	1.24457E-01	-0.492265	0
4.76394E+02	10	3.29006743431091	2.82890E+01	1.25010E-01	-1.75436E-03	1.25022E-01	-0.804025	0
3.76939E+02	10	3.29006743431091	3.04932E+01	1.25577E-01	-2.30355E-03	1.25598E-01	-1.0509	0
2.98247E+02	10	3.29006743431091	3.30625E+01	1.26177E-01	-2.73344E-03	1.26207E-01	-1.24103	0
2.35983E+02	10	3.29006743431091	3.66300E+01	1.27683E-01	-3.08246E-03	1.27720E-01	-1.38294	0
1.86718E+02	10	3.29006743431091	4.00347E+01	1.28286E-01	-3.37797E-03	1.28330E-01	-1.50834	0
1.47738E+02	10	3.29006743431091	4.32151E+01	1.28928E-01	-3.61001E-03	1.28978E-01	-1.60388	0
1.16895E+02	10	3.29006743431091	4.70267E+01	1.29516E-01	-3.80334E-03	1.29572E-01	-1.68205	0
9.24915E+01	10	3.29006743431091	4.84999E+01	1.30058E-01	-3.83383E-03	1.30114E-01	-1.68847	0
7.31824E+01	10	3.29006743431091	5.00017E+01	1.30724E-01	-3.87135E-03	1.30781E-01	-1.6963	0
5.79045E+01	10	3.29006743431091	5.17154E+01	1.31431E-01	-3.88063E-03	1.31488E-01	-1.69122	0
4.58160E+01	10	3.29006743431091	5.27351E+01	1.32054E-01	-3.79854E-03	1.32109E-01	-1.64765	0
3.62512E+01	10	3.29006743431091	5.37691E+01	1.32767E-01	-3.74303E-03	1.32820E-01	-1.61488	0
2.86832E+01	10	3.29006743431091	5.49840E+01	1.33182E-01	-3.72986E-03	1.33234E-01	-1.60419	0
2.26951E+01	10	3.29006743431091	5.62002E+01	1.33784E-01	-3.47438E-03	1.33829E-01	-1.48764	0
1.79572E+01	10	3.29006743431091	5.74807E+01	1.34316E-01	-3.25593E-03	1.34356E-01	-1.38862	0
1.42083E+01	10	3.29006743431091	5.88859E+01	1.34798E-01	-3.01113E-03	1.34831E-01	-1.27967	0
1.12421E+01	10	3.29006743431091	6.04902E+01	1.35193E-01	-2.78257E-03	1.35221E-01	-1.17911	0
8.89514E+00	10	3.29006743431091	6.16549E+01	1.35559E-01	-2.58025E-03	1.35583E-01	-1.09045	0
7.03814E+00	10	3.29006743431091	6.29509E+01	1.35832E-01	-2.34901E-03	1.35852E-01	-0.990746	0
5.56882E+00	10	3.29006743431091	6.43394E+01	1.36173E-01	-2.27132E-03	1.36192E-01	-0.955586	0
4.40624E+00	10	3.29006743431091	6.58795E+01	1.36441E-01	-2.00442E-03	1.36456E-01	-0.841655	0
3.48637E+00	10	3.29006743431091	6.76453E+01	1.36615E-01	-1.99565E-03	1.36630E-01	-0.836908	0
2.75853E+00	10	3.29006743431091	6.96223E+01	1.36850E-01	-1.81994E-03	1.36862E-01	-0.761922	0
2.18265E+00	10	3.29006743431091	7.18949E+01	1.37084E-01	-1.74554E-03	1.37095E-01	-0.729528	0
1.72698E+00	10	3.29006743431091	7.45655E+01	1.37244E-01	-1.76549E-03	1.37256E-01	-0.737005	0
1.36645E+00	10	3.29006743431091	7.77347E+01	1.37358E-01	-1.70046E-03	1.37368E-01	-0.709273	0
1.08118E+00	10	3.29006743431091	8.14788E+01	1.37521E-01	-1.77080E-03	1.37532E-01	-0.737734	0
8.55468E-01	10	3.29006743431091	8.60357E+01	1.37793E-01	-1.84751E-03	1.37805E-01	-0.768168	0
6.76875E-01	10	3.29006743431091	9.15518E+01	1.37964E-01	-1.83881E-03	1.37976E-01	-0.763602	0
5.35567E-01	10	3.29006743431091	9.83155E+01	1.38183E-01	-1.91784E-03	1.38196E-01	-0.795157	0
4.23759E-01	10	3.29006743431091	1.06594E+02	1.38405E-01	-2.04325E-03	1.38420E-01	-0.845791	0
3.35293E-01	10	3.29006743431091	1.16839E+02	1.38637E-01	-2.13227E-03	1.38653E-01	-0.881155	0
2.65295E-01	10	3.29006743431091	1.25516E+02	1.38905E-01	-2.07700E-03	1.38921E-01	-0.856658	0
2.09910E-01	10	3.29006743431091	1.36079E+02	1.39134E-01	-2.26364E-03	1.39153E-01	-0.932087	0
1.66088E-01	10	3.29006743431091	1.49212E+02	1.39368E-01	-2.53251E-03	1.39391E-01	-1.04103	0
1.31415E-01	10	3.29006743431091	1.65594E+02	1.39621E-01	-2.80865E-03	1.39649E-01	-1.15242	0
1.03980E-01	10	3.29006743431091	1.86049E+02	1.39738E-01	-3.20907E-03	1.39775E-01	-1.31556	0
8.22724E-02	10	3.29006743431091	1.99201E+02	1.39895E-01	-3.61288E-03	1.39941E-01	-1.47937	0
6.50968E-02	10	3.29006743431091	2.15589E+02	1.40252E-01	-4.15979E-03	1.40313E-01	-1.69886	0
5.15068E-02	10	3.29006743431091	2.36093E+02	1.40650E-01	-4.83071E-03	1.40732E-01	-1.96709	0
4.07539E-02	10	3.29006743431091	2.61744E+02	1.41068E-01	-5.58370E-03	1.41178E-01	-2.26668	0
3.22459E-02	10	3.29006743431091	2.93918E+02	1.41558E-01	-6.56912E-03	1.41711E-01	-2.65694	0
2.55141E-02	10	3.29006743431091	3.34372E+02	1.42090E-01	-7.73429E-03	1.42301E-01	-3.11567	0
2.01876E-02	10	3.29006743431091	3.85257E+02	1.42838E-01	-9.11324E-03	1.43128E-01	-3.6506	0
1.59731E-02	10	3.29006743431091	4.49339E+02	1.43701E-01	-1.07336E-02	1.44102E-01	-4.27172	0
