Freq(Hz)	Ampl(mV)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+04	10	3.2977340221405	6.72889E+00	1.17560E-01	4.61832E-02	1.26306E-01	21.4474	0
7.91234E+03	10	3.2977340221405	8.27484E+00	1.17633E-01	3.59272E-02	1.22997E-01	16.9836	0
6.26052E+03	10	3.2977340221405	9.85845E+00	1.17762E-01	2.76720E-02	1.20969E-01	13.2236	0
4.95354E+03	10	3.2977340221405	1.14974E+01	1.18092E-01	2.16292E-02	1.20056E-01	10.379	0
3.91941E+03	10	3.2977340221405	1.31994E+01	1.18353E-01	1.65686E-02	1.19507E-01	7.96923	0
3.10117E+03	10	3.2977340221405	1.49925E+01	1.18695E-01	1.25715E-02	1.19359E-01	6.04591	0
2.45375E+03	10	3.2977340221405	1.69152E+01	1.19032E-01	9.32746E-03	1.19397E-01	4.4806	0
1.94149E+03	10	3.2977340221405	1.85391E+01	1.19310E-01	6.93724E-03	1.19511E-01	3.32771	0
1.53618E+03	10	3.2977340221405	2.03020E+01	1.19696E-01	4.89557E-03	1.19796E-01	2.3421	0
1.21547E+03	10	3.2977340221405	2.22106E+01	1.20078E-01	3.30679E-03	1.20124E-01	1.57744	0
9.61725E+02	10	3.2977340221405	2.37074E+01	1.20392E-01	2.06484E-03	1.20410E-01	0.982582	0
7.60950E+02	10	3.2977340221405	2.53333E+01	1.20800E-01	1.01854E-03	1.20805E-01	0.483085	0
6.02090E+02	10	3.2977340221405	2.71316E+01	1.21185E-01	2.39203E-04	1.21186E-01	0.113094	0
4.76394E+02	10	3.2977340221405	2.91117E+01	1.21544E-01	-4.51292E-04	1.21544E-01	-0.212739	0
3.76939E+02	10	3.2977340221405	3.13468E+01	1.21934E-01	-9.72770E-04	1.21938E-01	-0.457085	0
2.98247E+02	10	3.2977340221405	3.38927E+01	1.22323E-01	-1.43615E-03	1.22332E-01	-0.672656	0
2.35983E+02	10	3.2977340221405	3.74810E+01	1.23616E-01	-1.78886E-03	1.23629E-01	-0.829073	0
1.86718E+02	10	3.2977340221405	4.08562E+01	1.24062E-01	-2.11897E-03	1.24080E-01	-0.978509	0
1.47738E+02	10	3.2977340221405	4.40599E+01	1.24513E-01	-2.38257E-03	1.24536E-01	-1.09622	0
1.16895E+02	10	3.2977340221405	4.78592E+01	1.25000E-01	-2.63053E-03	1.25028E-01	-1.20556	0
9.24915E+01	10	3.2977340221405	4.93431E+01	1.25377E-01	-2.67273E-03	1.25406E-01	-1.22122	0
7.31824E+01	10	3.2977340221405	5.08655E+01	1.25881E-01	-2.76785E-03	1.25911E-01	-1.25961	0
5.79045E+01	10	3.2977340221405	5.25570E+01	1.26416E-01	-2.82108E-03	1.26448E-01	-1.27839	0
4.58160E+01	10	3.2977340221405	5.35660E+01	1.26888E-01	-2.76728E-03	1.26918E-01	-1.24936	0
3.62512E+01	10	3.2977340221405	5.46142E+01	1.27345E-01	-2.74642E-03	1.27375E-01	-1.23549	0
2.86832E+01	10	3.2977340221405	5.58589E+01	1.27632E-01	-2.81069E-03	1.27663E-01	-1.26156	0
2.26951E+01	10	3.2977340221405	5.70332E+01	1.28135E-01	-2.62769E-03	1.28161E-01	-1.17482	0
1.79572E+01	10	3.2977340221405	5.83286E+01	1.28535E-01	-2.48792E-03	1.28559E-01	-1.10887	0
1.42083E+01	10	3.2977340221405	5.97455E+01	1.28919E-01	-2.37845E-03	1.28941E-01	-1.05694	0
1.12421E+01	10	3.2977340221405	6.13283E+01	1.29256E-01	-2.21518E-03	1.29275E-01	-0.981831	0
8.89514E+00	10	3.2977340221405	6.25174E+01	1.29542E-01	-2.11376E-03	1.29559E-01	-0.934819	0
7.03814E+00	10	3.2977340221405	6.38062E+01	1.29839E-01	-2.03784E-03	1.29855E-01	-0.899187	0
5.56882E+00	10	3.2977340221405	6.52016E+01	1.30055E-01	-1.97628E-03	1.30070E-01	-0.870588	0
4.40624E+00	10	3.2977340221405	6.67839E+01	1.30347E-01	-1.83129E-03	1.30360E-01	-0.804918	0
3.48637E+00	10	3.2977340221405	6.84968E+01	1.30515E-01	-1.80878E-03	1.30528E-01	-0.793998	0
2.75853E+00	10	3.2977340221405	7.04751E+01	1.30758E-01	-1.70945E-03	1.30770E-01	-0.749005	0
2.18265E+00	10	3.2977340221405	7.27673E+01	1.30983E-01	-1.58753E-03	1.30992E-01	-0.694399	0
1.72698E+00	10	3.2977340221405	7.54357E+01	1.31122E-01	-1.59709E-03	1.31132E-01	-0.697839	0
