Freq(Hz)	Ampl(mV)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+04	10	3.29844617843628	6.78068E+00	1.14201E-01	4.71558E-02	1.23553E-01	22.4368	0
7.91234E+03	10	3.29844617843628	8.33398E+00	1.13921E-01	3.69279E-02	1.19756E-01	17.9603	0
6.26052E+03	10	3.29844617843628	9.90659E+00	1.13831E-01	2.86728E-02	1.17387E-01	14.1381	0
4.95354E+03	10	3.29844617843628	1.15202E+01	1.13908E-01	2.26799E-02	1.16144E-01	11.2608	0
3.91941E+03	10	3.29844617843628	1.32417E+01	1.14035E-01	1.75132E-02	1.15372E-01	8.73108	0
3.10117E+03	10	3.29844617843628	1.50445E+01	1.14212E-01	1.34507E-02	1.15001E-01	6.71679	0
2.45375E+03	10	3.29844617843628	1.69640E+01	1.14403E-01	1.01480E-02	1.14853E-01	5.06909	0
1.94149E+03	10	3.29844617843628	1.85914E+01	1.14581E-01	7.73213E-03	1.14842E-01	3.86055	0
1.53618E+03	10	3.29844617843628	2.03527E+01	1.14870E-01	5.64075E-03	1.15008E-01	2.81128	0
1.21547E+03	10	3.29844617843628	2.22583E+01	1.15137E-01	4.01494E-03	1.15207E-01	1.99715	0
9.61725E+02	10	3.29844617843628	2.37707E+01	1.15366E-01	2.73263E-03	1.15399E-01	1.35689	0
7.60950E+02	10	3.29844617843628	2.53968E+01	1.15672E-01	1.65834E-03	1.15684E-01	0.821367	0
6.02090E+02	10	3.29844617843628	2.71995E+01	1.15970E-01	8.09758E-04	1.15973E-01	0.400061	0
4.76394E+02	10	3.29844617843628	2.91856E+01	1.16272E-01	1.00747E-04	1.16272E-01	0.0496456	0
3.76939E+02	10	3.29844617843628	3.13921E+01	1.16623E-01	-4.58945E-04	1.16623E-01	-0.225475	0
2.98247E+02	10	3.29844617843628	3.39492E+01	1.16995E-01	-9.54302E-04	1.16999E-01	-0.467338	0
2.35983E+02	10	3.29844617843628	3.75238E+01	1.18274E-01	-1.30174E-03	1.18282E-01	-0.630577	0
1.86718E+02	10	3.29844617843628	4.09254E+01	1.18675E-01	-1.62813E-03	1.18687E-01	-0.786	0
1.47738E+02	10	3.29844617843628	4.41111E+01	1.19106E-01	-1.86539E-03	1.19121E-01	-0.897271	0
1.16895E+02	10	3.29844617843628	4.79073E+01	1.19561E-01	-2.04379E-03	1.19579E-01	-0.979323	0
9.24915E+01	10	3.29844617843628	4.94000E+01	1.19939E-01	-2.11150E-03	1.19957E-01	-1.00858	0
7.31824E+01	10	3.29844617843628	5.09067E+01	1.20343E-01	-2.13693E-03	1.20362E-01	-1.0173	0
5.79045E+01	10	3.29844617843628	5.26204E+01	1.20773E-01	-2.15872E-03	1.20792E-01	-1.02401	0
4.58160E+01	10	3.29844617843628	5.36032E+01	1.21154E-01	-2.09390E-03	1.21172E-01	-0.990141	0
3.62512E+01	10	3.29844617843628	5.46624E+01	1.21528E-01	-2.05661E-03	1.21545E-01	-0.969523	0
2.86832E+01	10	3.29844617843628	5.58749E+01	1.21800E-01	-2.00557E-03	1.21817E-01	-0.943347	0
2.26951E+01	10	3.29844617843628	5.70687E+01	1.22098E-01	-1.90151E-03	1.22112E-01	-0.892236	0
1.79572E+01	10	3.29844617843628	5.83916E+01	1.22371E-01	-1.80194E-03	1.22384E-01	-0.843631	0
1.42083E+01	10	3.29844617843628	5.97922E+01	1.22694E-01	-1.75550E-03	1.22706E-01	-0.819732	0
1.12421E+01	10	3.29844617843628	6.13614E+01	1.22921E-01	-1.69228E-03	1.22933E-01	-0.788752	0
8.89514E+00	10	3.29844617843628	6.25557E+01	1.23126E-01	-1.61195E-03	1.23136E-01	-0.750068	0
7.03814E+00	10	3.29844617843628	6.38604E+01	1.23368E-01	-1.58993E-03	1.23378E-01	-0.738373	0
5.56882E+00	10	3.29844617843628	6.52511E+01	1.23611E-01	-1.55719E-03	1.23621E-01	-0.721745	0
4.40624E+00	10	3.29844617843628	6.68026E+01	1.23823E-01	-1.45087E-03	1.23832E-01	-0.67132	0
3.48637E+00	10	3.29844617843628	6.85326E+01	1.23998E-01	-1.43982E-03	1.24006E-01	-0.665272	0
2.75853E+00	10	3.29844617843628	7.05275E+01	1.24227E-01	-1.39188E-03	1.24235E-01	-0.641934	0
2.18265E+00	10	3.29844617843628	7.28110E+01	1.24380E-01	-1.31959E-03	1.24387E-01	-0.607845	0
1.72698E+00	10	3.29844617843628	7.54815E+01	1.24571E-01	-1.24622E-03	1.24578E-01	-0.57317	0
1.36645E+00	10	3.29844617843628	7.86294E+01	1.24688E-01	-1.26524E-03	1.24694E-01	-0.581377	0
1.08118E+00	10	3.29844617843628	8.23901E+01	1.24830E-01	-1.25965E-03	1.24836E-01	-0.578149	0
8.55468E-01	10	3.29844617843628	8.69484E+01	1.25046E-01	-1.25122E-03	1.25052E-01	-0.573287	0
6.76875E-01	10	3.29844617843628	9.24746E+01	1.25182E-01	-1.22672E-03	1.25188E-01	-0.56145	0
5.35567E-01	10	3.29844617843628	9.92092E+01	1.25342E-01	-1.29567E-03	1.25348E-01	-0.592252	0
4.23759E-01	10	3.29844617843628	1.07509E+02	1.25525E-01	-1.31744E-03	1.25532E-01	-0.601321	0
3.35293E-01	10	3.29844617843628	1.17768E+02	1.25667E-01	-1.37282E-03	1.25674E-01	-0.625892	0
2.65295E-01	10	3.29844617843628	1.26421E+02	1.25827E-01	-1.37163E-03	1.25834E-01	-0.624554	0
2.09910E-01	10	3.29844617843628	1.37001E+02	1.26018E-01	-1.46789E-03	1.26026E-01	-0.667369	0
1.66088E-01	10	3.29844617843628	1.50151E+02	1.26160E-01	-1.59580E-03	1.26170E-01	-0.724699	0
1.31415E-01	10	3.29844617843628	1.66517E+02	1.26324E-01	-1.74264E-03	1.26336E-01	-0.790344	0
1.03980E-01	10	3.29844617843628	1.86976E+02	1.26434E-01	-1.99759E-03	1.26450E-01	-0.905168	0
8.22724E-02	10	3.29844617843628	2.00135E+02	1.26613E-01	-2.24818E-03	1.26633E-01	-1.01725	0
6.50968E-02	10	3.29844617843628	2.16510E+02	1.26867E-01	-2.67076E-03	1.26895E-01	-1.20599	0
5.15068E-02	10	3.29844617843628	2.36988E+02	1.27104E-01	-3.06568E-03	1.27141E-01	-1.38167	0
4.07539E-02	10	3.29844617843628	2.62633E+02	1.27427E-01	-3.53672E-03	1.27476E-01	-1.58983	0
3.22459E-02	10	3.29844617843628	2.94865E+02	1.27763E-01	-4.17612E-03	1.27831E-01	-1.87213	0
2.55141E-02	10	3.29844617843628	3.35268E+02	1.28112E-01	-4.91924E-03	1.28206E-01	-2.19896	0
2.01876E-02	10	3.29844617843628	3.86174E+02	1.28701E-01	-5.72560E-03	1.28828E-01	-2.54727	0
1.59731E-02	10	3.29844617843628	4.50263E+02	1.29382E-01	-6.82246E-03	1.29562E-01	-3.01848	0
1.26385E-02	10	3.29844617843628	5.30957E+02	1.30182E-01	-7.96537E-03	1.30426E-01	-3.50135	0
1.00000E-02	10	3.29844617843628	6.32712E+02	1.31282E-01	-9.30347E-03	1.31611E-01	-4.05357	0
