Freq(Hz)	Ampl(mV)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+04	10	3.29141068458557	5.96641E+00	1.11731E-01	4.78041E-02	1.21528E-01	23.1637	0
7.91234E+03	10	3.29141068458557	7.49968E+00	1.11251E-01	3.76372E-02	1.17445E-01	18.6911	0
6.26052E+03	10	3.29141068458557	9.07181E+00	1.10908E-01	2.94404E-02	1.14749E-01	14.8663	0
4.95354E+03	10	3.29141068458557	1.07032E+01	1.10828E-01	2.34235E-02	1.13277E-01	11.9338	0
3.91941E+03	10	3.29141068458557	1.24072E+01	1.10788E-01	1.82682E-02	1.12284E-01	9.36343	0
3.10117E+03	10	3.29141068458557	1.42097E+01	1.10858E-01	1.42526E-02	1.11770E-01	7.32614	0
2.45375E+03	10	3.29141068458557	1.61344E+01	1.10900E-01	1.09883E-02	1.11443E-01	5.65855	0
1.94149E+03	10	3.29141068458557	1.77695E+01	1.10945E-01	8.60171E-03	1.11277E-01	4.43337	0
1.53618E+03	10	3.29141068458557	1.95196E+01	1.11118E-01	6.47685E-03	1.11307E-01	3.33588	0
1.21547E+03	10	3.29141068458557	2.14353E+01	1.11242E-01	4.88569E-03	1.11349E-01	2.51479	0
9.61725E+02	10	3.29141068458557	2.29295E+01	1.11345E-01	3.60454E-03	1.11403E-01	1.85417	0
7.60950E+02	10	3.29141068458557	2.45552E+01	1.11499E-01	2.55636E-03	1.11528E-01	1.3134	0
6.02090E+02	10	3.29141068458557	2.63379E+01	1.11696E-01	1.70153E-03	1.11709E-01	0.872754	0
4.76394E+02	10	3.29141068458557	2.83293E+01	1.11882E-01	1.04780E-03	1.11887E-01	0.536573	0
3.76939E+02	10	3.29141068458557	3.05521E+01	1.12066E-01	4.97967E-04	1.12067E-01	0.254593	0
2.98247E+02	10	3.29141068458557	3.30997E+01	1.12297E-01	4.75108E-05	1.12297E-01	0.0242409	0
2.35983E+02	10	3.29141068458557	3.66764E+01	1.13432E-01	-2.74207E-04	1.13433E-01	-0.138504	0
1.86718E+02	10	3.29141068458557	4.00628E+01	1.13646E-01	-5.48872E-04	1.13647E-01	-0.276717	0
1.47738E+02	10	3.29141068458557	4.32694E+01	1.13899E-01	-7.62391E-04	1.13902E-01	-0.383506	0
1.16895E+02	10	3.29141068458557	4.70827E+01	1.14149E-01	-9.05345E-04	1.14153E-01	-0.454417	0
9.24915E+01	10	3.29141068458557	4.85569E+01	1.14312E-01	-9.72430E-04	1.14316E-01	-0.487392	0
7.31824E+01	10	3.29141068458557	5.00592E+01	1.14539E-01	-9.98344E-04	1.14543E-01	-0.499388	0
5.79045E+01	10	3.29141068458557	5.17712E+01	1.14734E-01	-1.02755E-03	1.14739E-01	-0.513124	0
4.58160E+01	10	3.29141068458557	5.27893E+01	1.14937E-01	-9.49829E-04	1.14941E-01	-0.473475	0
3.62512E+01	10	3.29141068458557	5.38260E+01	1.15114E-01	-1.03716E-03	1.15119E-01	-0.516209	0
2.86832E+01	10	3.29141068458557	5.50356E+01	1.15298E-01	-1.05313E-03	1.15303E-01	-0.523321	0
2.26951E+01	10	3.29141068458557	5.62325E+01	1.15393E-01	-9.92106E-04	1.15397E-01	-0.492596	0
1.79572E+01	10	3.29141068458557	5.75347E+01	1.15608E-01	-9.75387E-04	1.15613E-01	-0.483392	0
1.42083E+01	10	3.29141068458557	5.89565E+01	1.15686E-01	-9.53801E-04	1.15690E-01	-0.472379	0
1.12421E+01	10	3.29141068458557	6.05459E+01	1.15837E-01	-8.97337E-04	1.15841E-01	-0.443835	0
8.89514E+00	10	3.29141068458557	6.17188E+01	1.15928E-01	-9.25136E-04	1.15932E-01	-0.457226	0
7.03814E+00	10	3.29141068458557	6.30059E+01	1.16044E-01	-8.78688E-04	1.16047E-01	-0.433836	0
5.56882E+00	10	3.29141068458557	6.44068E+01	1.16193E-01	-8.20124E-04	1.16196E-01	-0.404404	0
4.40624E+00	10	3.29141068458557	6.59568E+01	1.16271E-01	-8.24148E-04	1.16274E-01	-0.406115	0
3.48637E+00	10	3.29141068458557	6.77026E+01	1.16374E-01	-8.84656E-04	1.16378E-01	-0.435544	0
2.75853E+00	10	3.29141068458557	6.96723E+01	1.16456E-01	-8.61063E-04	1.16459E-01	-0.423631	0
2.18265E+00	10	3.29141068458557	7.19749E+01	1.16589E-01	-9.03664E-04	1.16592E-01	-0.444083	0
