Freq(Hz)	Ampl(mV)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+04	10	3.33262038230896	6.54683E+00	1.15101E-01	4.72751E-02	1.24431E-01	22.3293	0
7.91234E+03	10	3.33262038230896	8.08150E+00	1.13676E-01	3.69551E-02	1.19532E-01	18.009	0
6.26052E+03	10	3.33262038230896	9.67058E+00	1.12626E-01	2.87350E-02	1.16234E-01	14.3128	0
4.95354E+03	10	3.33262038230896	1.13025E+01	1.12110E-01	2.28670E-02	1.14418E-01	11.5284	0
3.91941E+03	10	3.33262038230896	1.30055E+01	1.11790E-01	1.78135E-02	1.13200E-01	9.05388	0
3.10117E+03	10	3.33262038230896	1.48194E+01	1.11646E-01	1.39558E-02	1.12515E-01	7.12502	0
2.45375E+03	10	3.33262038230896	1.67557E+01	1.11557E-01	1.07900E-02	1.12077E-01	5.52461	0
1.94149E+03	10	3.33262038230896	1.83722E+01	1.11577E-01	8.42524E-03	1.11895E-01	4.31824	0
1.53618E+03	10	3.33262038230896	2.01345E+01	1.11664E-01	6.43531E-03	1.11849E-01	3.29838	0
1.21547E+03	10	3.33262038230896	2.20438E+01	1.11753E-01	4.90864E-03	1.11860E-01	2.51505	0
9.61725E+02	10	3.33262038230896	2.35327E+01	1.12420E-01	3.82472E-03	1.12485E-01	1.94856	0
7.60950E+02	10	3.33262038230896	2.51666E+01	1.12523E-01	2.83818E-03	1.12559E-01	1.44487	0
6.02090E+02	10	3.33262038230896	2.69745E+01	1.12653E-01	2.08817E-03	1.12672E-01	1.06193	0
4.76394E+02	10	3.33262038230896	2.89295E+01	1.12781E-01	1.50437E-03	1.12791E-01	0.764219	0
3.76939E+02	10	3.33262038230896	3.11743E+01	1.12923E-01	1.00817E-03	1.12928E-01	0.511518	0
2.98247E+02	10	3.33262038230896	3.37229E+01	1.13081E-01	6.12679E-04	1.13083E-01	0.310428	0
2.35983E+02	10	3.33262038230896	3.72893E+01	1.13998E-01	3.55851E-04	1.13999E-01	0.178851	0
1.86718E+02	10	3.33262038230896	4.06632E+01	1.14162E-01	6.33868E-05	1.14162E-01	0.0318126	0
1.47738E+02	10	3.33262038230896	4.38657E+01	1.14321E-01	-1.86868E-04	1.14321E-01	-0.0936552	0
1.16895E+02	10	3.33262038230896	4.76709E+01	1.14507E-01	-4.06499E-04	1.14507E-01	-0.2034	0
9.24915E+01	10	3.33262038230896	4.91429E+01	1.14337E-01	-1.17876E-04	1.14337E-01	-0.0590693	0
7.31824E+01	10	3.33262038230896	5.06489E+01	1.14454E-01	-1.97921E-04	1.14454E-01	-0.0990798	0
5.79045E+01	10	3.33262038230896	5.23632E+01	1.14506E-01	-2.23048E-04	1.14506E-01	-0.111607	0
4.58160E+01	10	3.33262038230896	5.33546E+01	1.14537E-01	-2.80780E-04	1.14537E-01	-0.140457	0
3.62512E+01	10	3.33262038230896	5.44112E+01	1.14622E-01	-2.73350E-04	1.14623E-01	-0.136638	0
2.86832E+01	10	3.33262038230896	5.56303E+01	1.14310E-01	-6.71746E-04	1.14312E-01	-0.336696	0
2.26951E+01	10	3.33262038230896	5.68339E+01	1.14557E-01	-6.51281E-04	1.14559E-01	-0.325734	0
1.79572E+01	10	3.33262038230896	5.81304E+01	1.14715E-01	-5.03392E-04	1.14716E-01	-0.251425	0
1.42083E+01	10	3.33262038230896	5.95394E+01	1.14870E-01	-4.43470E-04	1.14871E-01	-0.221196	0
1.12421E+01	10	3.33262038230896	6.11159E+01	1.14898E-01	-4.26217E-04	1.14899E-01	-0.212539	0
8.89514E+00	10	3.33262038230896	6.23008E+01	1.14712E-01	-3.59409E-04	1.14713E-01	-0.179515	0
7.03814E+00	10	3.33262038230896	6.36155E+01	1.14819E-01	-3.90013E-04	1.14820E-01	-0.194619	0
5.56882E+00	10	3.33262038230896	6.49931E+01	1.14802E-01	-4.01673E-04	1.14803E-01	-0.200467	0
4.40624E+00	10	3.33262038230896	6.65447E+01	1.14873E-01	-3.97955E-04	1.14874E-01	-0.198489	0
3.48637E+00	10	3.33262038230896	6.82770E+01	1.14923E-01	-4.32149E-04	1.14924E-01	-0.21545	0
2.75853E+00	10	3.33262038230896	7.02608E+01	1.14961E-01	-4.21883E-04	1.14961E-01	-0.210263	0
