Freq(Hz)	Ampl(mV)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+04	10	3.29785108566284	6.63382E+00	1.20952E-01	4.57703E-02	1.29322E-01	20.7276	0
7.91234E+03	10	3.29785108566284	8.17847E+00	1.21027E-01	3.54250E-02	1.26105E-01	16.3149	0
6.26052E+03	10	3.29785108566284	9.75523E+00	1.21280E-01	2.70929E-02	1.24269E-01	12.5926	0
4.95354E+03	10	3.29785108566284	1.14076E+01	1.21679E-01	2.09325E-02	1.23467E-01	9.76105	0
3.91941E+03	10	3.29785108566284	1.31038E+01	1.22040E-01	1.58015E-02	1.23059E-01	7.37748	0
3.10117E+03	10	3.29785108566284	1.49024E+01	1.22505E-01	1.17781E-02	1.23070E-01	5.49177	0
2.45375E+03	10	3.29785108566284	1.68096E+01	1.22967E-01	8.49807E-03	1.23261E-01	3.95333	0
1.94149E+03	10	3.29785108566284	1.84374E+01	1.23409E-01	6.06763E-03	1.23558E-01	2.81478	0
1.53618E+03	10	3.29785108566284	2.01954E+01	1.23971E-01	4.01545E-03	1.24036E-01	1.85517	0
1.21547E+03	10	3.29785108566284	2.21386E+01	1.24505E-01	2.44342E-03	1.24529E-01	1.12429	0
9.61725E+02	10	3.29785108566284	2.36273E+01	1.24972E-01	1.23163E-03	1.24978E-01	0.564645	0
7.60950E+02	10	3.29785108566284	2.52397E+01	1.25473E-01	2.39478E-04	1.25473E-01	0.109355	0
6.02090E+02	10	3.29785108566284	2.70222E+01	1.26018E-01	-5.31058E-04	1.26019E-01	-0.241452	0
4.76394E+02	10	3.29785108566284	2.90068E+01	1.26496E-01	-1.14028E-03	1.26501E-01	-0.51647	0
3.76939E+02	10	3.29785108566284	3.12590E+01	1.26998E-01	-1.67769E-03	1.27009E-01	-0.756857	0
2.98247E+02	10	3.29785108566284	3.37940E+01	1.27514E-01	-2.10115E-03	1.27532E-01	-0.94402	0
2.35983E+02	10	3.29785108566284	3.73775E+01	1.28987E-01	-2.39361E-03	1.29009E-01	-1.06311	0
1.86718E+02	10	3.29785108566284	4.07526E+01	1.29508E-01	-2.68085E-03	1.29535E-01	-1.18587	0
1.47738E+02	10	3.29785108566284	4.39423E+01	1.30027E-01	-2.91303E-03	1.30060E-01	-1.2834	0
1.16895E+02	10	3.29785108566284	4.77616E+01	1.30594E-01	-3.10746E-03	1.30631E-01	-1.36309	0
9.24915E+01	10	3.29785108566284	4.92248E+01	1.31037E-01	-3.17246E-03	1.31076E-01	-1.38688	0
7.31824E+01	10	3.29785108566284	5.07455E+01	1.31612E-01	-3.19566E-03	1.31650E-01	-1.39092	0
5.79045E+01	10	3.29785108566284	5.24550E+01	1.32159E-01	-3.23588E-03	1.32199E-01	-1.40259	0
4.58160E+01	10	3.29785108566284	5.34614E+01	1.32772E-01	-3.19003E-03	1.32810E-01	-1.37635	0
3.62512E+01	10	3.29785108566284	5.45100E+01	1.33296E-01	-3.19511E-03	1.33334E-01	-1.37313	0
2.86832E+01	10	3.29785108566284	5.57370E+01	1.33604E-01	-3.42951E-03	1.33648E-01	-1.47042	0
2.26951E+01	10	3.29785108566284	5.69255E+01	1.34161E-01	-3.06593E-03	1.34196E-01	-1.30913	0
1.79572E+01	10	3.29785108566284	5.82210E+01	1.34649E-01	-2.93146E-03	1.34681E-01	-1.2472	0
1.42083E+01	10	3.29785108566284	5.96313E+01	1.35053E-01	-2.79108E-03	1.35082E-01	-1.18394	0
1.12421E+01	10	3.29785108566284	6.12159E+01	1.35464E-01	-2.68665E-03	1.35490E-01	-1.1362	0
8.89514E+00	10	3.29785108566284	6.24023E+01	1.35825E-01	-2.57322E-03	1.35850E-01	-1.08534	0
7.03814E+00	10	3.29785108566284	6.36887E+01	1.36126E-01	-2.45576E-03	1.36148E-01	-1.03352	0
