Freq(Hz)	Ampl(mV)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+04	10	3.28982543945313	6.74222E+00	1.11094E-01	4.83104E-02	1.21144E-01	23.5023	0
7.91234E+03	10	3.28982543945313	8.26013E+00	1.10627E-01	3.80772E-02	1.16997E-01	18.9932	0
6.26052E+03	10	3.28982543945313	9.84587E+00	1.10309E-01	2.97541E-02	1.14251E-01	15.0954	0
4.95354E+03	10	3.28982543945313	1.14914E+01	1.10249E-01	2.35843E-02	1.12743E-01	12.0747	0
3.91941E+03	10	3.28982543945313	1.31937E+01	1.10216E-01	1.84743E-02	1.11754E-01	9.51543	0
3.10117E+03	10	3.28982543945313	1.49939E+01	1.10230E-01	1.44085E-02	1.11168E-01	7.44707	0
2.45375E+03	10	3.28982543945313	1.69256E+01	1.10281E-01	1.11166E-02	1.10840E-01	5.75611	0
1.94149E+03	10	3.28982543945313	1.85563E+01	1.10316E-01	8.68445E-03	1.10658E-01	4.50122	0
1.53618E+03	10	3.28982543945313	2.03024E+01	1.10485E-01	6.55602E-03	1.10679E-01	3.39586	0
1.21547E+03	10	3.28982543945313	2.22345E+01	1.10606E-01	4.92685E-03	1.10716E-01	2.55051	0
9.61725E+02	10	3.28982543945313	2.37252E+01	1.10729E-01	3.64270E-03	1.10789E-01	1.88421	0
7.60950E+02	10	3.28982543945313	2.53519E+01	1.10897E-01	2.57627E-03	1.10927E-01	1.33081	0
6.02090E+02	10	3.28982543945313	2.71436E+01	1.11036E-01	1.73845E-03	1.11050E-01	0.896982	0
4.76394E+02	10	3.28982543945313	2.91170E+01	1.11222E-01	1.06035E-03	1.11227E-01	0.546224	0
3.76939E+02	10	3.28982543945313	3.13593E+01	1.11451E-01	4.97280E-04	1.11452E-01	0.255644	0
2.98247E+02	10	3.28982543945313	3.39107E+01	1.11649E-01	5.17888E-05	1.11649E-01	0.0265769	0
2.35983E+02	10	3.28982543945313	3.74854E+01	1.12735E-01	-2.64274E-04	1.12735E-01	-0.134313	0
1.86718E+02	10	3.28982543945313	4.08637E+01	1.13001E-01	-5.33816E-04	1.13003E-01	-0.270662	0
1.47738E+02	10	3.28982543945313	4.40689E+01	1.13242E-01	-7.39455E-04	1.13245E-01	-0.374128	0
