Freq(Hz)	Ampl(mV)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+04	10	3.30072450637817	6.44593E+00	1.18220E-01	4.51489E-02	1.26548E-01	20.9021	0
7.91234E+03	10	3.30072450637817	7.96305E+00	1.18426E-01	3.49602E-02	1.23478E-01	16.447	0
6.26052E+03	10	3.30072450637817	9.53678E+00	1.18660E-01	2.68013E-02	1.21649E-01	12.7276	0
4.95354E+03	10	3.30072450637817	1.11758E+01	1.19072E-01	2.08335E-02	1.20881E-01	9.92433	0
3.91941E+03	10	3.30072450637817	1.28968E+01	1.19458E-01	1.58009E-02	1.20498E-01	7.53486	0
3.10117E+03	10	3.30072450637817	1.47105E+01	1.19907E-01	1.18798E-02	1.20494E-01	5.65813	0
2.45375E+03	10	3.30072450637817	1.66142E+01	1.20335E-01	8.71747E-03	1.20650E-01	4.14347	0
1.94149E+03	10	3.30072450637817	1.82310E+01	1.20712E-01	6.38868E-03	1.20881E-01	3.02956	0
1.53618E+03	10	3.30072450637817	1.99936E+01	1.21196E-01	4.40990E-03	1.21276E-01	2.08387	0
1.21547E+03	10	3.30072450637817	2.19010E+01	1.21623E-01	2.89711E-03	1.21657E-01	1.36455	0
9.61725E+02	10	3.30072450637817	2.34068E+01	1.22007E-01	1.73241E-03	1.22019E-01	0.813504	0
7.60950E+02	10	3.30072450637817	2.50542E+01	1.22426E-01	7.30318E-04	1.22428E-01	0.341788	0
6.02090E+02	10	3.30072450637817	2.68264E+01	1.22797E-01	-5.98828E-05	1.22797E-01	-0.0279407	0
4.76394E+02	10	3.30072450637817	2.88269E+01	1.23207E-01	-6.46707E-04	1.23209E-01	-0.30074	0
3.76939E+02	10	3.30072450637817	3.10247E+01	1.23604E-01	-1.18581E-03	1.23610E-01	-0.549655	0
2.98247E+02	10	3.30072450637817	3.35869E+01	1.24000E-01	-1.61486E-03	1.24011E-01	-0.746123	0
2.35983E+02	10	3.30072450637817	3.71523E+01	1.25433E-01	-2.00382E-03	1.25449E-01	-0.915232	0
1.86718E+02	10	3.30072450637817	4.05397E+01	1.25874E-01	-2.34450E-03	1.25896E-01	-1.06705	0
1.47738E+02	10	3.30072450637817	4.37363E+01	1.26346E-01	-2.65092E-03	1.26374E-01	-1.20197	0
