Freq(Hz)	Ampl(mV)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+04	10	3.28398203849792	6.10346E+00	1.18189E-01	4.47233E-02	1.26368E-01	20.7269	0
7.91234E+03	10	3.28398203849792	7.62513E+00	1.18390E-01	3.45952E-02	1.23341E-01	16.2891	0
6.26052E+03	10	3.28398203849792	9.20491E+00	1.18660E-01	2.63993E-02	1.21561E-01	12.5428	0
4.95354E+03	10	3.28398203849792	1.08454E+01	1.19081E-01	2.04938E-02	1.20832E-01	9.76493	0
3.91941E+03	10	3.28398203849792	1.25500E+01	1.19508E-01	1.54182E-02	1.20499E-01	7.35135	0
3.10117E+03	10	3.28398203849792	1.43465E+01	1.20006E-01	1.14636E-02	1.20552E-01	5.45667	0
2.45375E+03	10	3.28398203849792	1.62651E+01	1.20486E-01	8.26096E-03	1.20769E-01	3.92228	0
1.94149E+03	10	3.28398203849792	1.78974E+01	1.20912E-01	5.89825E-03	1.21056E-01	2.79275	0
1.53618E+03	10	3.28398203849792	1.96611E+01	1.21461E-01	3.85443E-03	1.21522E-01	1.81761	0
1.21547E+03	10	3.28398203849792	2.15580E+01	1.21948E-01	2.30729E-03	1.21970E-01	1.08392	0
9.61725E+02	10	3.28398203849792	2.30572E+01	1.22409E-01	1.07364E-03	1.22413E-01	0.502525	0
7.60950E+02	10	3.28398203849792	2.46916E+01	1.22938E-01	2.32689E-05	1.22938E-01	0.0108446	0
6.02090E+02	10	3.28398203849792	2.64659E+01	1.23446E-01	-7.93044E-04	1.23449E-01	-0.368075	0
4.76394E+02	10	3.28398203849792	2.84595E+01	1.23939E-01	-1.44912E-03	1.23948E-01	-0.669883	0
3.76939E+02	10	3.28398203849792	3.06892E+01	1.24506E-01	-1.99804E-03	1.24522E-01	-0.919386	0
2.98247E+02	10	3.28398203849792	3.32317E+01	1.25042E-01	-2.47469E-03	1.25067E-01	-1.13378	0
2.35983E+02	10	3.28398203849792	3.68043E+01	1.26531E-01	-2.86862E-03	1.26563E-01	-1.29875	0
1.86718E+02	10	3.28398203849792	4.01895E+01	1.27131E-01	-3.21954E-03	1.27172E-01	-1.45068	0
1.47738E+02	10	3.28398203849792	4.33936E+01	1.27772E-01	-3.54324E-03	1.27821E-01	-1.58846	0
1.16895E+02	10	3.28398203849792	4.72004E+01	1.28405E-01	-3.85215E-03	1.28463E-01	-1.71836	0
9.24915E+01	10	3.28398203849792	4.86812E+01	1.29010E-01	-3.95016E-03	1.29070E-01	-1.7538	0
7.31824E+01	10	3.28398203849792	5.01908E+01	1.29718E-01	-4.11702E-03	1.29783E-01	-1.81786	0
5.79045E+01	10	3.28398203849792	5.18891E+01	1.30452E-01	-4.26342E-03	1.30522E-01	-1.87187	0
4.58160E+01	10	3.28398203849792	5.29062E+01	1.31189E-01	-4.30733E-03	1.31260E-01	-1.88051	0
3.62512E+01	10	3.28398203849792	5.39472E+01	1.31905E-01	-4.23871E-03	1.31973E-01	-1.84054	0
2.86832E+01	10	3.28398203849792	5.51698E+01	1.32467E-01	-4.37847E-03	1.32539E-01	-1.89313	0
2.26951E+01	10	3.28398203849792	5.63645E+01	1.33263E-01	-4.21456E-03	1.33330E-01	-1.81142	0
1.79572E+01	10	3.28398203849792	5.76557E+01	1.33956E-01	-4.11892E-03	1.34019E-01	-1.7612	0
1.42083E+01	10	3.28398203849792	5.90756E+01	1.34588E-01	-3.94449E-03	1.34646E-01	-1.67873	0
1.12421E+01	10	3.28398203849792	6.06526E+01	1.35186E-01	-3.79444E-03	1.35240E-01	-1.60777	0
8.89514E+00	10	3.28398203849792	6.18504E+01	1.35691E-01	-3.58960E-03	1.35738E-01	-1.51536	0
7.03814E+00	10	3.28398203849792	6.31292E+01	1.36209E-01	-3.34172E-03	1.36250E-01	-1.4054	0
5.56882E+00	10	3.28398203849792	6.45312E+01	1.36755E-01	-3.21995E-03	1.36793E-01	-1.3488	0
4.40624E+00	10	3.28398203849792	6.60818E+01	1.37072E-01	-3.02595E-03	1.37105E-01	-1.26464	0
3.48637E+00	10	3.28398203849792	6.78290E+01	1.37503E-01	-2.93868E-03	1.37534E-01	-1.22433	0
2.75853E+00	10	3.28398203849792	6.97992E+01	1.37899E-01	-2.76911E-03	1.37927E-01	-1.15039	0
2.18265E+00	10	3.28398203849792	7.20914E+01	1.38240E-01	-2.61072E-03	1.38264E-01	-1.08193	0
1.72698E+00	10	3.28398203849792	7.47628E+01	1.38536E-01	-2.57611E-03	1.38560E-01	-1.06531	0
1.36645E+00	10	3.28398203849792	7.79063E+01	1.38835E-01	-2.47035E-03	1.38857E-01	-1.01938	0
1.08118E+00	10	3.28398203849792	8.16991E+01	1.39101E-01	-2.46622E-03	1.39123E-01	-1.01573	0
8.55468E-01	10	3.28398203849792	8.62371E+01	1.39430E-01	-2.43048E-03	1.39452E-01	-0.998649	0
6.76875E-01	10	3.28398203849792	9.17506E+01	1.39658E-01	-2.39137E-03	1.39679E-01	-0.980979	0
5.35567E-01	10	3.28398203849792	9.84858E+01	1.39924E-01	-2.42027E-03	1.39945E-01	-0.99095	0
4.23759E-01	10	3.28398203849792	1.06786E+02	1.40228E-01	-2.45600E-03	1.40250E-01	-1.00339	0
3.35293E-01	10	3.28398203849792	1.17035E+02	1.40484E-01	-2.46830E-03	1.40506E-01	-1.00658	0
2.65295E-01	10	3.28398203849792	1.25695E+02	1.40768E-01	-2.40118E-03	1.40789E-01	-0.977239	0
2.09910E-01	10	3.28398203849792	1.36281E+02	1.40996E-01	-2.51352E-03	1.41018E-01	-1.0213	0
1.66088E-01	10	3.28398203849792	1.49403E+02	1.41175E-01	-2.67383E-03	1.41200E-01	-1.08505	0
1.31415E-01	10	3.28398203849792	1.65786E+02	1.41327E-01	-2.80783E-03	1.41355E-01	-1.13818	0
1.03980E-01	10	3.28398203849792	1.86242E+02	1.41499E-01	-3.10257E-03	1.41533E-01	-1.25609	0
8.22724E-02	10	3.28398203849792	1.99395E+02	1.41732E-01	-3.48698E-03	1.41774E-01	-1.40935	0
6.50968E-02	10	3.28398203849792	2.15780E+02	1.42031E-01	-3.95281E-03	1.42086E-01	-1.59416	0
5.15068E-02	10	3.28398203849792	2.36254E+02	1.42281E-01	-4.45655E-03	1.42351E-01	-1.79404	0
4.07539E-02	10	3.28398203849792	2.61905E+02	1.42666E-01	-5.10098E-03	1.42757E-01	-2.04772	0
3.22459E-02	10	3.28398203849792	2.94085E+02	1.43070E-01	-5.92263E-03	1.43192E-01	-2.37051	0
2.55141E-02	10	3.28398203849792	3.34547E+02	1.43477E-01	-6.95811E-03	1.43646E-01	-2.77645	0
2.01876E-02	10	3.28398203849792	3.85455E+02	1.44022E-01	-8.25038E-03	1.44258E-01	-3.27863	0
1.59731E-02	10	3.28398203849792	4.49490E+02	1.44658E-01	-9.68608E-03	1.44982E-01	-3.83072	0
1.26385E-02	10	3.28398203849792	5.30219E+02	1.45574E-01	-1.15154E-02	1.46029E-01	-4.52285	0
1.00000E-02	10	3.28398203849792	6.31994E+02	1.46710E-01	-1.36676E-02	1.47345E-01	-5.32236	0
