Freq(Hz)	Ampl(mV)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+04	10	3.29228472709656	6.63241E+00	1.13011E-01	4.76663E-02	1.22652E-01	22.8693	0
7.91234E+03	10	3.29228472709656	8.16835E+00	1.12731E-01	3.74327E-02	1.18784E-01	18.3689	0
6.26052E+03	10	3.29228472709656	9.74396E+00	1.12526E-01	2.91725E-02	1.16246E-01	14.5341	0
4.95354E+03	10	3.29228472709656	1.13812E+01	1.12560E-01	2.30965E-02	1.14905E-01	11.5957	0
3.91941E+03	10	3.29228472709656	1.30939E+01	1.12572E-01	1.80452E-02	1.14009E-01	9.10704	0
3.10117E+03	10	3.29228472709656	1.48914E+01	1.12695E-01	1.39819E-02	1.13559E-01	7.07249	0
2.45375E+03	10	3.29228472709656	1.68157E+01	1.12778E-01	1.07409E-02	1.13288E-01	5.44042	0
1.94149E+03	10	3.29228472709656	1.84377E+01	1.12883E-01	8.31896E-03	1.13189E-01	4.21483	0
1.53618E+03	10	3.29228472709656	2.02047E+01	1.13061E-01	6.23523E-03	1.13233E-01	3.15663	0
1.21547E+03	10	3.29228472709656	2.21227E+01	1.13249E-01	4.64421E-03	1.13344E-01	2.34831	0
9.61725E+02	10	3.29228472709656	2.36080E+01	1.13394E-01	3.37891E-03	1.13444E-01	1.7068	0
7.60950E+02	10	3.29228472709656	2.52319E+01	1.13599E-01	2.33587E-03	1.13623E-01	1.17798	0
6.02090E+02	10	3.29228472709656	2.70258E+01	1.13775E-01	1.51188E-03	1.13785E-01	0.761321	0
4.76394E+02	10	3.29228472709656	2.90129E+01	1.13970E-01	8.30471E-04	1.13973E-01	0.417491	0
3.76939E+02	10	3.29228472709656	3.12402E+01	1.14190E-01	2.92922E-04	1.14190E-01	0.146976	0
2.98247E+02	10	3.29228472709656	3.38002E+01	1.14403E-01	-1.73754E-04	1.14403E-01	-0.0870205	0
2.35983E+02	10	3.29228472709656	3.73854E+01	1.15505E-01	-5.13489E-04	1.15506E-01	-0.254713	0
1.86718E+02	10	3.29228472709656	4.07478E+01	1.15773E-01	-8.26247E-04	1.15776E-01	-0.408901	0
1.47738E+02	10	3.29228472709656	4.39512E+01	1.16047E-01	-1.08452E-03	1.16052E-01	-0.535443	0
1.16895E+02	10	3.29228472709656	4.77579E+01	1.16322E-01	-1.28361E-03	1.16329E-01	-0.632232	0
9.24915E+01	10	3.29228472709656	4.92348E+01	1.16524E-01	-1.38661E-03	1.16532E-01	-0.681773	0
7.31824E+01	10	3.29228472709656	5.07490E+01	1.16815E-01	-1.49162E-03	1.16825E-01	-0.731571	0
5.79045E+01	10	3.29228472709656	5.24487E+01	1.17117E-01	-1.51851E-03	1.17127E-01	-0.742845	0
4.58160E+01	10	3.29228472709656	5.34486E+01	1.17425E-01	-1.58395E-03	1.17436E-01	-0.772816	0
3.62512E+01	10	3.29228472709656	5.45101E+01	1.17699E-01	-1.51800E-03	1.17709E-01	-0.738919	0
2.86832E+01	10	3.29228472709656	5.57411E+01	1.17984E-01	-1.47833E-03	1.17993E-01	-0.717874	0
2.26951E+01	10	3.29228472709656	5.69172E+01	1.18136E-01	-1.39231E-03	1.18144E-01	-0.675238	0
1.79572E+01	10	3.29228472709656	5.82159E+01	1.18412E-01	-1.34325E-03	1.18419E-01	-0.649931	0
1.42083E+01	10	3.29228472709656	5.96322E+01	1.18583E-01	-1.25486E-03	1.18590E-01	-0.606288	0
1.12421E+01	10	3.29228472709656	6.12145E+01	1.18732E-01	-1.11437E-03	1.18737E-01	-0.537739	0
8.89514E+00	10	3.29228472709656	6.23980E+01	1.18857E-01	-1.08383E-03	1.18862E-01	-0.522456	0
7.03814E+00	10	3.29228472709656	6.37114E+01	1.18994E-01	-1.01532E-03	1.18999E-01	-0.488864	0
5.56882E+00	10	3.29228472709656	6.50860E+01	1.19129E-01	-9.92145E-04	1.19133E-01	-0.477168	0
4.40624E+00	10	3.29228472709656	6.66442E+01	1.19193E-01	-9.13935E-04	1.19197E-01	-0.439318	0
3.48637E+00	10	3.29228472709656	6.83790E+01	1.19308E-01	-9.26062E-04	1.19312E-01	-0.444716	0
2.75853E+00	10	3.29228472709656	7.03627E+01	1.19432E-01	-9.03855E-04	1.19435E-01	-0.433604	0
2.18265E+00	10	3.29228472709656	7.26573E+01	1.19510E-01	-8.40678E-04	1.19513E-01	-0.403034	0
1.72698E+00	10	3.29228472709656	7.53457E+01	1.19566E-01	-8.72614E-04	1.19570E-01	-0.418146	0
1.36645E+00	10	3.29228472709656	7.84799E+01	1.19606E-01	-8.61029E-04	1.19609E-01	-0.412458	0
1.08118E+00	10	3.29228472709656	8.22459E+01	1.19716E-01	-9.42744E-04	1.19720E-01	-0.451184	0
8.55468E-01	10	3.29228472709656	8.67914E+01	1.19827E-01	-9.84963E-04	1.19831E-01	-0.470954	0
6.76875E-01	10	3.29228472709656	9.23619E+01	1.19892E-01	-9.80810E-04	1.19896E-01	-0.468714	0
5.35567E-01	10	3.29228472709656	9.90682E+01	1.20019E-01	-1.07734E-03	1.20023E-01	-0.5143	0
4.23759E-01	10	3.29228472709656	1.07361E+02	1.20110E-01	-1.16793E-03	1.20115E-01	-0.557121	0
3.35293E-01	10	3.29228472709656	1.17618E+02	1.20240E-01	-1.26441E-03	1.20247E-01	-0.602482	0
2.65295E-01	10	3.29228472709656	1.26274E+02	1.20355E-01	-1.24608E-03	1.20361E-01	-0.593187	0
2.09910E-01	10	3.29228472709656	1.36854E+02	1.20481E-01	-1.40658E-03	1.20489E-01	-0.668882	0
